,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,5.262184471890643e-07,TUR,2013
1,COD,Growing maize industry,XAM,4.456998172278438e-05,TUR,2013
2,COD,Growing cereals n.e.c industry,XAM,1.2220956102498387e-07,TUR,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.160918024822219e-05,TUR,2013
4,COD,Growing rice industry,XAM,1.3261918181693892e-05,TUR,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,7.790471639335217e-06,TUR,2013
6,COD,Growing sugar beet and cane industry,XAM,1.4536812840034572e-06,TUR,2013
7,COD,Growing tobacco industry,XAM,1.077996294696196e-06,TUR,2013
8,COD,Growing fibre crops industry,XAM,1.3103833432146518e-05,TUR,2013
9,COD,Growing crops n.e.c. industry,XAM,1.3305495310196779e-06,TUR,2013
10,COD,Growing grapes industry,XAM,0.0,TUR,2013
11,COD,Growing fruits and nuts industry,XAM,0.00014015279924020865,TUR,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,3.379733349382501e-08,TUR,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.276813079412989e-08,TUR,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,TUR,2013
15,COD,Raising of cattle industry,XAM,4.446774681478233e-05,TUR,2013
16,COD,Growing wheat industry,XEU,1.242554255602616e-07,TUR,2013
17,COD,Growing maize industry,XEU,9.701267496010239e-06,TUR,2013
18,COD,Growing cereals n.e.c industry,XEU,2.7486894805929796e-08,TUR,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.0453063135215485e-06,TUR,2013
20,COD,Growing rice industry,XEU,3.302560677389667e-06,TUR,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.163756619405726e-06,TUR,2013
22,COD,Growing sugar beet and cane industry,XEU,3.058551441444893e-07,TUR,2013
23,COD,Growing tobacco industry,XEU,3.1919665326706947e-07,TUR,2013
24,COD,Growing fibre crops industry,XEU,3.3940508063678256e-06,TUR,2013
25,COD,Growing crops n.e.c. industry,XEU,1.7998872445954602e-07,TUR,2013
26,COD,Growing grapes industry,XEU,0.0,TUR,2013
27,COD,Growing fruits and nuts industry,XEU,3.2815353971801364e-05,TUR,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,8.123180843323766e-09,TUR,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.681900443913824e-09,TUR,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,TUR,2013
31,COD,Raising of cattle industry,XEU,1.1203774377823603e-05,TUR,2013
32,COD,Growing wheat industry,XAF,1.9720292242811457e-07,TUR,2013
33,COD,Growing maize industry,XAF,1.648381752296583e-05,TUR,2013
34,COD,Growing cereals n.e.c industry,XAF,4.542397932691284e-08,TUR,2013
35,COD,Growing leguminous crops and oil seeds industry,XAF,4.450556354680381e-06,TUR,2013
36,COD,Growing rice industry,XAF,5.112495612009129e-06,TUR,2013
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.108349768830144e-06,TUR,2013
38,COD,Growing sugar beet and cane industry,XAF,5.297690038057645e-07,TUR,2013
39,COD,Growing tobacco industry,XAF,5.165395596580294e-07,TUR,2013
40,COD,Growing fibre crops industry,XAF,5.843090475205235e-06,TUR,2013
41,COD,Growing crops n.e.c. industry,XAF,3.3641598005057514e-07,TUR,2013
42,COD,Growing grapes industry,XAF,0.0,TUR,2013
43,COD,Growing fruits and nuts industry,XAF,5.409610665876189e-05,TUR,2013
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.3582740879960847e-08,TUR,2013
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.2949949476669314e-08,TUR,2013
46,COD,Seeds and plant propagation industry,XAF,0.0,TUR,2013
47,COD,Raising of cattle industry,XAF,1.7938338973768756e-05,TUR,2013
48,COD,Growing wheat industry,XAS,2.58851935569129e-07,TUR,2013
49,COD,Growing maize industry,XAS,1.7330157006217365e-05,TUR,2013
50,COD,Growing cereals n.e.c industry,XAS,5.2812391415786265e-08,TUR,2013
51,COD,Growing leguminous crops and oil seeds industry,XAS,5.333942572931642e-06,TUR,2013
52,COD,Growing rice industry,XAS,6.944776485097326e-06,TUR,2013
53,COD,"Growing vegetables, roots, tubers industry",XAS,3.713063520036644e-06,TUR,2013
54,COD,Growing sugar beet and cane industry,XAS,5.820249870422206e-07,TUR,2013
