,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,6.717433681873286e-07,ZMB,2013
1,COD,Growing maize industry,XAM,0.00014627038971527778,ZMB,2013
2,COD,Growing cereals n.e.c industry,XAM,1.4408411420435244e-07,ZMB,2013
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.8917292714349506e-05,ZMB,2013
4,COD,Growing rice industry,XAM,9.000369345708833e-06,ZMB,2013
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.0811265831237823e-05,ZMB,2013
6,COD,Growing sugar beet and cane industry,XAM,4.4985255447799426e-05,ZMB,2013
7,COD,Growing tobacco industry,XAM,1.5106789262823213e-07,ZMB,2013
8,COD,Growing fibre crops industry,XAM,2.804742792794339e-06,ZMB,2013
9,COD,Growing crops n.e.c. industry,XAM,9.788330430254605e-06,ZMB,2013
10,COD,Growing grapes industry,XAM,0.0,ZMB,2013
11,COD,Growing fruits and nuts industry,XAM,2.7627578169639923e-05,ZMB,2013
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,9.49381356691389e-09,ZMB,2013
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.1211154233680642e-07,ZMB,2013
14,COD,Seeds and plant propagation industry,XAM,0.0,ZMB,2013
15,COD,Raising of cattle industry,XAM,5.3110352652665335e-05,ZMB,2013
16,COD,Growing wheat industry,XEU,8.39383005917151e-08,ZMB,2013
17,COD,Growing maize industry,XEU,1.7817115193133944e-05,ZMB,2013
18,COD,Growing cereals n.e.c industry,XEU,1.6773038275761095e-08,ZMB,2013
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.1111508481762877e-06,ZMB,2013
20,COD,Growing rice industry,XEU,1.4716442594622216e-06,ZMB,2013
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.6509034762168587e-06,ZMB,2013
22,COD,Growing sugar beet and cane industry,XEU,4.992619612223072e-06,ZMB,2013
23,COD,Growing tobacco industry,XEU,1.7606066969725402e-08,ZMB,2013
24,COD,Growing fibre crops industry,XEU,3.2437913471223965e-07,ZMB,2013
25,COD,Growing crops n.e.c. industry,XEU,9.492047115884018e-07,ZMB,2013
26,COD,Growing grapes industry,XEU,0.0,ZMB,2013
27,COD,Growing fruits and nuts industry,XEU,3.1868494388551324e-06,ZMB,2013
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.13644231967639e-09,ZMB,2013
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.452968789677283e-08,ZMB,2013
30,COD,Seeds and plant propagation industry,XEU,0.0,ZMB,2013
31,COD,Raising of cattle industry,XEU,7.822384803713837e-06,ZMB,2013
32,COD,Growing wheat industry,XAF,2.802989143390559e-06,ZMB,2013
33,COD,Growing maize industry,XAF,0.0015314234707956651,ZMB,2013
34,COD,Growing cereals n.e.c industry,XAF,6.049134208446472e-07,ZMB,2013
35,COD,Growing leguminous crops and oil seeds industry,XAF,8.323864069486597e-05,ZMB,2013
36,COD,Growing rice industry,XAF,5.568545023914414e-05,ZMB,2013
37,COD,"Growing vegetables, roots, tubers industry",XAF,0.00016420267722133146,ZMB,2013
38,COD,Growing sugar beet and cane industry,XAF,0.00014266333008125883,ZMB,2013
39,COD,Growing tobacco industry,XAF,5.709649148909253e-07,ZMB,2013
40,COD,Growing fibre crops industry,XAF,1.1583079558038232e-05,ZMB,2013
41,COD,Growing crops n.e.c. industry,XAF,5.4347850240167036e-05,ZMB,2013
42,COD,Growing grapes industry,XAF,0.0,ZMB,2013
43,COD,Growing fruits and nuts industry,XAF,0.0001740501623987987,ZMB,2013
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.5884198555294818e-07,ZMB,2013
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.3842981706024995e-06,ZMB,2013
46,COD,Seeds and plant propagation industry,XAF,0.0,ZMB,2013
47,COD,Raising of cattle industry,XAF,0.00027313348989236913,ZMB,2013
48,COD,Growing wheat industry,XAS,3.821664202162205e-07,ZMB,2013
49,COD,Growing maize industry,XAS,8.687357052581243e-05,ZMB,2013
50,COD,Growing cereals n.e.c industry,XAS,7.944002534104013e-08,ZMB,2013
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.0213454303420453e-05,ZMB,2013
52,COD,Growing rice industry,XAS,5.587799623921114e-06,ZMB,2013
53,COD,"Growing vegetables, roots, tubers industry",XAS,7.681192392405255e-06,ZMB,2013
54,COD,Growing sugar beet and cane industry,XAS,2.4684830276636874e-05,ZMB,2013
55,COD,Growing tobacco industry,XAS,8.4238943922326e-08,ZMB,2013
56,COD,Growing fibre crops industry,XAS,1.545921087602647e-06,ZMB,2013
57,COD,Growing crops n.e.c. industry,XAS,4.879371551852479e-06,ZMB,2013
58,COD,Growing grapes industry,XAS,0.0,ZMB,2013
59,COD,Growing fruits and nuts industry,XAS,1.578143600949408e-05,ZMB,2013
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,7.071127598213942e-09,ZMB,2013
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.5806284097249238e-07,ZMB,2013
62,COD,Seeds and plant propagation industry,XAS,0.0,ZMB,2013
63,COD,Raising of cattle industry,XAS,3.106041719757728e-05,ZMB,2013
64,COD,Growing wheat industry,AFG,2.349723921286147e-07,ZMB,2013
65,COD,Growing maize industry,AFG,4.167742301774137e-05,ZMB,2013
66,COD,Growing cereals n.e.c industry,AFG,4.840835661323574e-08,ZMB,2013
67,COD,Growing leguminous crops and oil seeds industry,AFG,6.058970618677367e-06,ZMB,2013
68,COD,Growing rice industry,AFG,3.1625578635194363e-06,ZMB,2013
69,COD,"Growing vegetables, roots, tubers industry",AFG,3.5162386149199477e-06,ZMB,2013
70,COD,Growing sugar beet and cane industry,AFG,1.544149474133763e-05,ZMB,2013
71,COD,Growing tobacco industry,AFG,5.235077696750092e-08,ZMB,2013
72,COD,Growing fibre crops industry,AFG,9.60938446741959e-07,ZMB,2013
73,COD,Growing crops n.e.c. industry,AFG,2.5170177241529616e-06,ZMB,2013
74,COD,Growing grapes industry,AFG,0.0,ZMB,2013
75,COD,Growing fruits and nuts industry,AFG,9.06931139734226e-06,ZMB,2013
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,2.783461273523304e-09,ZMB,2013
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,7.123156289777064e-08,ZMB,2013
78,COD,Seeds and plant propagation industry,AFG,0.0,ZMB,2013
79,COD,Raising of cattle industry,AFG,1.8616852083795513e-05,ZMB,2013
