,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,4.5784965762954e-08,ARM,2015
1,COD,Growing maize industry,XAM,5.849163579184335e-07,ARM,2015
2,COD,Growing cereals n.e.c industry,XAM,9.667780810168241e-10,ARM,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.5342776563822332e-07,ARM,2015
4,COD,Growing rice industry,XAM,8.505180133378438e-07,ARM,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,5.829541041575623e-07,ARM,2015
6,COD,Growing sugar beet and cane industry,XAM,3.5150548109850466e-07,ARM,2015
7,COD,Growing tobacco industry,XAM,2.541680784288001e-09,ARM,2015
8,COD,Growing fibre crops industry,XAM,1.0617874593278854e-07,ARM,2015
9,COD,Growing crops n.e.c. industry,XAM,8.149481912211909e-08,ARM,2015
10,COD,Growing grapes industry,XAM,0.0,ARM,2015
11,COD,Growing fruits and nuts industry,XAM,1.2552857442932945e-06,ARM,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,3.016642954196403e-07,ARM,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.343956422405475e-10,ARM,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,ARM,2015
15,COD,Raising of cattle industry,XAM,5.961540263853172e-06,ARM,2015
16,COD,Growing wheat industry,XEU,9.765866059423077e-09,ARM,2015
17,COD,Growing maize industry,XEU,1.0419394532973549e-07,ARM,2015
18,COD,Growing cereals n.e.c industry,XEU,1.5618104882279985e-10,ARM,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.29968831346157e-08,ARM,2015
20,COD,Growing rice industry,XEU,1.8941564681667737e-07,ARM,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.0443746279493324e-07,ARM,2015
22,COD,Growing sugar beet and cane industry,XEU,5.653244666867463e-08,ARM,2015
23,COD,Growing tobacco industry,XEU,4.4270778479596553e-10,ARM,2015
24,COD,Growing fibre crops industry,XEU,2.1070953626458734e-08,ARM,2015
25,COD,Growing crops n.e.c. industry,XEU,1.69597394494537e-08,ARM,2015
26,COD,Growing grapes industry,XEU,0.0,ARM,2015
27,COD,Growing fruits and nuts industry,XEU,2.1614760927622247e-07,ARM,2015
