,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,4.190149076275928e-08,DJI,2015
1,COD,Growing maize industry,XAM,4.5909302806295815e-07,DJI,2015
2,COD,Growing cereals n.e.c industry,XAM,5.187134652376193e-10,DJI,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,6.78039974387325e-08,DJI,2015
4,COD,Growing rice industry,XAM,8.14328415783708e-07,DJI,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,9.074349070402395e-08,DJI,2015
6,COD,Growing sugar beet and cane industry,XAM,6.910884262474884e-08,DJI,2015
7,COD,Growing tobacco industry,XAM,2.3291607139447353e-09,DJI,2015
8,COD,Growing fibre crops industry,XAM,1.5010476812674909e-06,DJI,2015
9,COD,Growing crops n.e.c. industry,XAM,9.997531837022245e-08,DJI,2015
10,COD,Growing grapes industry,XAM,0.0,DJI,2015
11,COD,Growing fruits and nuts industry,XAM,9.531869870866444e-07,DJI,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,6.273923131398042e-08,DJI,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.577311962315655e-11,DJI,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,DJI,2015
15,COD,Raising of cattle industry,XAM,9.945833558523658e-06,DJI,2015
16,COD,Growing wheat industry,XEU,1.711931185108021e-07,DJI,2015
17,COD,Growing maize industry,XEU,7.57361472379413e-07,DJI,2015
18,COD,Growing cereals n.e.c industry,XEU,2.137820375626838e-09,DJI,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.42626852676458e-07,DJI,2015
20,COD,Growing rice industry,XEU,3.702383687382626e-06,DJI,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.0423700326849374e-07,DJI,2015
22,COD,Growing sugar beet and cane industry,XEU,2.535896176136293e-07,DJI,2015
23,COD,Growing tobacco industry,XEU,4.990214686842152e-09,DJI,2015
24,COD,Growing fibre crops industry,XEU,1.166434875589926e-06,DJI,2015
25,COD,Growing crops n.e.c. industry,XEU,3.4548521494336485e-07,DJI,2015
26,COD,Growing grapes industry,XEU,0.0,DJI,2015
27,COD,Growing fruits and nuts industry,XEU,7.320019493764936e-07,DJI,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,7.460888750767166e-08,DJI,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,7.964885130232236e-11,DJI,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,DJI,2015
31,COD,Raising of cattle industry,XEU,2.9928897324348664e-05,DJI,2015
32,COD,Growing wheat industry,XAF,4.4015459430217065e-08,DJI,2015
33,COD,Growing maize industry,XAF,3.8161104520379975e-07,DJI,2015
34,COD,Growing cereals n.e.c industry,XAF,5.38125820669584e-10,DJI,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,6.591117141696854e-08,DJI,2015
36,COD,Growing rice industry,XAF,8.546724864023805e-07,DJI,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,6.553782843755943e-08,DJI,2015
38,COD,Growing sugar beet and cane industry,XAF,6.368306152058992e-08,DJI,2015
39,COD,Growing tobacco industry,XAF,2.089109669048776e-09,DJI,2015
40,COD,Growing fibre crops industry,XAF,8.567009863134912e-07,DJI,2015
41,COD,Growing crops n.e.c. industry,XAF,9.499482450843459e-08,DJI,2015
42,COD,Growing grapes industry,XAF,0.0,DJI,2015
43,COD,Growing fruits and nuts industry,XAF,7.118037179059279e-07,DJI,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.7863690030464904e-08,DJI,2015
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.185346111360194e-11,DJI,2015
46,COD,Seeds and plant propagation industry,XAF,0.0,DJI,2015
47,COD,Raising of cattle industry,XAF,1.0506431126753739e-05,DJI,2015
48,COD,Growing wheat industry,XAS,3.7562717115619596e-08,DJI,2015
49,COD,Growing maize industry,XAS,5.637946816177518e-07,DJI,2015
50,COD,Growing cereals n.e.c industry,XAS,4.752911669136824e-10,DJI,2015
51,COD,Growing leguminous crops and oil seeds industry,XAS,6.346087326695211e-08,DJI,2015
52,COD,Growing rice industry,XAS,7.340164255501829e-07,DJI,2015
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.046189493066005e-07,DJI,2015
54,COD,Growing sugar beet and cane industry,XAS,6.440087248835607e-08,DJI,2015
55,COD,Growing tobacco industry,XAS,2.1177040992091383e-09,DJI,2015
56,COD,Growing fibre crops industry,XAS,1.2463110928940128e-06,DJI,2015
57,COD,Growing crops n.e.c. industry,XAS,9.148094485470767e-08,DJI,2015
58,COD,Growing grapes industry,XAS,0.0,DJI,2015
59,COD,Growing fruits and nuts industry,XAS,2.2568782944209485e-06,DJI,2015
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,6.790747144147213e-08,DJI,2015
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,5.390002498179139e-11,DJI,2015
62,COD,Seeds and plant propagation industry,XAS,0.0,DJI,2015
63,COD,Raising of cattle industry,XAS,8.246370745697709e-06,DJI,2015
64,COD,Growing wheat industry,AFG,3.7878739936146733e-08,DJI,2015
65,COD,Growing maize industry,AFG,2.8883813277407444e-07,DJI,2015
66,COD,Growing cereals n.e.c industry,AFG,4.651457931755054e-10,DJI,2015
67,COD,Growing leguminous crops and oil seeds industry,AFG,5.7008995227111814e-08,DJI,2015
68,COD,Growing rice industry,AFG,7.699669755764722e-07,DJI,2015
69,COD,"Growing vegetables, roots, tubers industry",AFG,6.074972198900082e-08,DJI,2015
70,COD,Growing sugar beet and cane industry,AFG,5.5766720529836535e-08,DJI,2015
71,COD,Growing tobacco industry,AFG,1.5331776852475007e-09,DJI,2015
72,COD,Growing fibre crops industry,AFG,6.626373886778207e-07,DJI,2015
73,COD,Growing crops n.e.c. industry,AFG,8.126529371555833e-08,DJI,2015
74,COD,Growing grapes industry,AFG,0.0,DJI,2015
75,COD,Growing fruits and nuts industry,AFG,5.947445570170416e-07,DJI,2015
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,4.293873107456273e-08,DJI,2015
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,3.163019241081489e-11,DJI,2015
78,COD,Seeds and plant propagation industry,AFG,0.0,DJI,2015
79,COD,Raising of cattle industry,AFG,7.050184690351803e-06,DJI,2015
80,COD,Growing wheat industry,AGO,2.614829519844715e-07,DJI,2015
81,COD,Growing maize industry,AGO,3.1681376049308005e-06,DJI,2015
82,COD,Growing cereals n.e.c industry,AGO,3.2259590518299303e-09,DJI,2015
83,COD,Growing leguminous crops and oil seeds industry,AGO,4.574153050573708e-07,DJI,2015
