,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,3.5595216489226273e-07,GIN,2015
1,COD,Growing maize industry,XAM,1.6747135912468287e-06,GIN,2015
2,COD,Growing cereals n.e.c industry,XAM,4.26640098442777e-09,GIN,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,5.144591891811632e-07,GIN,2015
4,COD,Growing rice industry,XAM,6.996072851062445e-06,GIN,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,7.389444485061659e-07,GIN,2015
6,COD,Growing sugar beet and cane industry,XAM,4.4567926800047587e-07,GIN,2015
7,COD,Growing tobacco industry,XAM,1.6704724642350368e-08,GIN,2015
8,COD,Growing fibre crops industry,XAM,1.040777502055786e-06,GIN,2015
9,COD,Growing crops n.e.c. industry,XAM,6.753224386717119e-07,GIN,2015
10,COD,Growing grapes industry,XAM,0.0,GIN,2015
11,COD,Growing fruits and nuts industry,XAM,1.7013524322100493e-06,GIN,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.998051151054473e-08,GIN,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,9.305309564169194e-10,GIN,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,GIN,2015
15,COD,Raising of cattle industry,XAM,9.676032684087704e-05,GIN,2015
16,COD,Growing wheat industry,XEU,5.0543910892258184e-08,GIN,2015
17,COD,Growing maize industry,XEU,4.479098106423237e-07,GIN,2015
18,COD,Growing cereals n.e.c industry,XEU,6.080645444251474e-10,GIN,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,8.930147867835327e-08,GIN,2015
20,COD,Growing rice industry,XEU,9.55253451164711e-07,GIN,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.7101411274311197e-07,GIN,2015
22,COD,Growing sugar beet and cane industry,XEU,7.450290304725942e-08,GIN,2015
23,COD,Growing tobacco industry,XEU,2.496802763592782e-09,GIN,2015
24,COD,Growing fibre crops industry,XEU,1.9144596023006656e-07,GIN,2015
25,COD,Growing crops n.e.c. industry,XEU,1.0244078363306804e-07,GIN,2015
26,COD,Growing grapes industry,XEU,0.0,GIN,2015
27,COD,Growing fruits and nuts industry,XEU,5.087322363464157e-07,GIN,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.4276885016353583e-08,GIN,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.0851673181015543e-10,GIN,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,GIN,2015
31,COD,Raising of cattle industry,XEU,1.2170851779801208e-05,GIN,2015
32,COD,Growing wheat industry,XAF,2.9419751407092795e-07,GIN,2015
33,COD,Growing maize industry,XAF,1.76626315120887e-06,GIN,2015
34,COD,Growing cereals n.e.c industry,XAF,3.4970832221497555e-09,GIN,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,4.377893601637997e-07,GIN,2015
36,COD,Growing rice industry,XAF,5.476591428942761e-06,GIN,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.1038842877211177e-06,GIN,2015
38,COD,Growing sugar beet and cane industry,XAF,4.076521055738711e-07,GIN,2015
39,COD,Growing tobacco industry,XAF,2.00380655703104e-08,GIN,2015
40,COD,Growing fibre crops industry,XAF,7.120823728400702e-07,GIN,2015
41,COD,Growing crops n.e.c. industry,XAF,5.600155835760712e-07,GIN,2015
42,COD,Growing grapes industry,XAF,0.0,GIN,2015
43,COD,Growing fruits and nuts industry,XAF,2.2795005422253967e-06,GIN,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,6.928166395249037e-08,GIN,2015
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.7069939676505794e-09,GIN,2015
46,COD,Seeds and plant propagation industry,XAF,0.0,GIN,2015
47,COD,Raising of cattle industry,XAF,5.878561710738449e-05,GIN,2015
48,COD,Growing wheat industry,XAS,9.760962764491419e-08,GIN,2015
49,COD,Growing maize industry,XAS,5.808191363636556e-07,GIN,2015
50,COD,Growing cereals n.e.c industry,XAS,1.1744735607330604e-09,GIN,2015
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.438599943664445e-07,GIN,2015
52,COD,Growing rice industry,XAS,1.8697027821967797e-06,GIN,2015
53,COD,"Growing vegetables, roots, tubers industry",XAS,3.338089723823044e-07,GIN,2015
54,COD,Growing sugar beet and cane industry,XAS,1.3261120608198498e-07,GIN,2015
55,COD,Growing tobacco industry,XAS,6.459049727540775e-09,GIN,2015
56,COD,Growing fibre crops industry,XAS,2.385025977175311e-07,GIN,2015
57,COD,Growing crops n.e.c. industry,XAS,1.883322914824122e-07,GIN,2015
58,COD,Growing grapes industry,XAS,0.0,GIN,2015
59,COD,Growing fruits and nuts industry,XAS,7.142414807117764e-07,GIN,2015
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,2.0138803919976287e-08,GIN,2015
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,5.507684606834457e-10,GIN,2015
62,COD,Seeds and plant propagation industry,XAS,0.0,GIN,2015
63,COD,Raising of cattle industry,XAS,2.236044114913367e-05,GIN,2015
64,COD,Growing wheat industry,AFG,6.974496100670952e-08,GIN,2015
65,COD,Growing maize industry,AFG,1.2550008018002e-06,GIN,2015
66,COD,Growing cereals n.e.c industry,AFG,8.467922410998707e-10,GIN,2015
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.720951324759967e-07,GIN,2015
68,COD,Growing rice industry,AFG,1.153685427486117e-06,GIN,2015
69,COD,"Growing vegetables, roots, tubers industry",AFG,4.7464483782070557e-07,GIN,2015
70,COD,Growing sugar beet and cane industry,AFG,1.4307457766071733e-07,GIN,2015
