,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,6.9063748057456215e-06,HKG,2015
1,COD,Growing maize industry,XAM,0.0002622470903542737,HKG,2015
2,COD,Growing cereals n.e.c industry,XAM,8.059769699051607e-08,HKG,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,0.00018853128147089794,HKG,2015
4,COD,Growing rice industry,XAM,0.00018931267573560378,HKG,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,6.374022272598828e-05,HKG,2015
6,COD,Growing sugar beet and cane industry,XAM,1.0894665049250058e-05,HKG,2015
7,COD,Growing tobacco industry,XAM,2.847835525294889e-07,HKG,2015
8,COD,Growing fibre crops industry,XAM,0.00018331221590217917,HKG,2015
9,COD,Growing crops n.e.c. industry,XAM,1.0097549014486317e-05,HKG,2015
10,COD,Growing grapes industry,XAM,0.0,HKG,2015
11,COD,Growing fruits and nuts industry,XAM,0.0009757070982372094,HKG,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.133860233918918e-05,HKG,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.261374264457751e-08,HKG,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,HKG,2015
15,COD,Raising of cattle industry,XAM,0.00023785487136364483,HKG,2015
16,COD,Growing wheat industry,XEU,3.960920909351823e-06,HKG,2015
17,COD,Growing maize industry,XEU,0.00012044210486261155,HKG,2015
18,COD,Growing cereals n.e.c industry,XEU,4.296906882304236e-08,HKG,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,0.00013582856305188615,HKG,2015
20,COD,Growing rice industry,XEU,0.0001300986958079166,HKG,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.2456712004965e-05,HKG,2015
22,COD,Growing sugar beet and cane industry,XEU,3.896687885420016e-06,HKG,2015
23,COD,Growing tobacco industry,XEU,1.421309837736654e-07,HKG,2015
24,COD,Growing fibre crops industry,XEU,8.616224735423012e-05,HKG,2015
25,COD,Growing crops n.e.c. industry,XEU,3.2911740417033606e-06,HKG,2015
26,COD,Growing grapes industry,XEU,0.0,HKG,2015
27,COD,Growing fruits and nuts industry,XEU,0.00048598297230049905,HKG,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,4.99211721352385e-06,HKG,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.253376137423095e-08,HKG,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,HKG,2015
31,COD,Raising of cattle industry,XEU,9.474079725614998e-05,HKG,2015
32,COD,Growing wheat industry,XAF,4.255111803398892e-06,HKG,2015
33,COD,Growing maize industry,XAF,0.00018929455130117266,HKG,2015
34,COD,Growing cereals n.e.c industry,XAF,5.3889286341396006e-08,HKG,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,9.911934379449644e-05,HKG,2015
36,COD,Growing rice industry,XAF,0.00010131056227614547,HKG,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,4.78759427618704e-05,HKG,2015
38,COD,Growing sugar beet and cane industry,XAF,8.94009986306076e-06,HKG,2015
39,COD,Growing tobacco industry,XAF,2.068508591920606e-07,HKG,2015
40,COD,Growing fibre crops industry,XAF,0.00017702517874535078,HKG,2015
41,COD,Growing crops n.e.c. industry,XAF,8.455789084620614e-06,HKG,2015
42,COD,Growing grapes industry,XAF,0.0,HKG,2015
43,COD,Growing fruits and nuts industry,XAF,0.0005731102302663219,HKG,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,6.506815924531382e-06,HKG,2015
