,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,9.093482181488922e-07,HND,2015
1,COD,Growing maize industry,XAM,3.9729901594587425e-05,HND,2015
2,COD,Growing cereals n.e.c industry,XAM,1.4426821097907526e-08,HND,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.7905256663180786e-06,HND,2015
4,COD,Growing rice industry,XAM,1.682246569213052e-05,HND,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.5403485849977512e-06,HND,2015
6,COD,Growing sugar beet and cane industry,XAM,1.9250042839828612e-05,HND,2015
7,COD,Growing tobacco industry,XAM,4.095264059354563e-08,HND,2015
8,COD,Growing fibre crops industry,XAM,4.097610459729829e-06,HND,2015
9,COD,Growing crops n.e.c. industry,XAM,1.874590681199248e-06,HND,2015
10,COD,Growing grapes industry,XAM,0.0,HND,2015
11,COD,Growing fruits and nuts industry,XAM,1.4030247703082009e-05,HND,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.5773856314169115e-07,HND,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.941192249943637e-10,HND,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,HND,2015
15,COD,Raising of cattle industry,XAM,0.0001932628445307671,HND,2015
16,COD,Growing wheat industry,XEU,9.743177974673097e-08,HND,2015
17,COD,Growing maize industry,XEU,3.368201492603613e-06,HND,2015
18,COD,Growing cereals n.e.c industry,XEU,1.447680301095417e-09,HND,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.5512985525523992e-07,HND,2015
20,COD,Growing rice industry,XEU,1.9484342565132825e-06,HND,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,8.974198530175584e-08,HND,2015
22,COD,Growing sugar beet and cane industry,XEU,1.892707922801801e-06,HND,2015
23,COD,Growing tobacco industry,XEU,4.11811959199413e-09,HND,2015
24,COD,Growing fibre crops industry,XEU,3.1334567595419386e-07,HND,2015
25,COD,Growing crops n.e.c. industry,XEU,1.9514128653395842e-07,HND,2015
26,COD,Growing grapes industry,XEU,0.0,HND,2015
27,COD,Growing fruits and nuts industry,XEU,6.743376793684745e-07,HND,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,8.820632492007788e-09,HND,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.795854578736531e-11,HND,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,HND,2015
31,COD,Raising of cattle industry,XEU,2.4088806776226595e-05,HND,2015
32,COD,Growing wheat industry,XAF,4.2869993817776397e-08,HND,2015
33,COD,Growing maize industry,XAF,3.0639191220635115e-06,HND,2015
34,COD,Growing cereals n.e.c industry,XAF,7.739582293478457e-10,HND,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,6.61151002731293e-08,HND,2015
36,COD,Growing rice industry,XAF,8.389040898144789e-07,HND,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.621863405137122e-08,HND,2015
38,COD,Growing sugar beet and cane industry,XAF,1.99657704443179e-06,HND,2015
39,COD,Growing tobacco industry,XAF,1.611288295293552e-09,HND,2015
40,COD,Growing fibre crops industry,XAF,1.1806474784781266e-07,HND,2015
41,COD,Growing crops n.e.c. industry,XAF,8.823283396046026e-08,HND,2015
42,COD,Growing grapes industry,XAF,0.0,HND,2015
43,COD,Growing fruits and nuts industry,XAF,3.060601707471352e-07,HND,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.758019557425658e-09,HND,2015
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.5076575028427653e-11,HND,2015
46,COD,Seeds and plant propagation industry,XAF,0.0,HND,2015
47,COD,Raising of cattle industry,XAF,7.927026771950981e-06,HND,2015
48,COD,Growing wheat industry,XAS,5.197448750660944e-08,HND,2015
49,COD,Growing maize industry,XAS,9.69400443390682e-06,HND,2015
50,COD,Growing cereals n.e.c industry,XAS,1.4381698156108891e-09,HND,2015
51,COD,Growing leguminous crops and oil seeds industry,XAS,9.009730101723689e-08,HND,2015
52,COD,Growing rice industry,XAS,9.572127720371272e-07,HND,2015
53,COD,"Growing vegetables, roots, tubers industry",XAS,5.647822331027067e-08,HND,2015
54,COD,Growing sugar beet and cane industry,XAS,6.465920309710318e-06,HND,2015
55,COD,Growing tobacco industry,XAS,1.834789064314666e-09,HND,2015
56,COD,Growing fibre crops industry,XAS,2.36549254214786e-07,HND,2015
57,COD,Growing crops n.e.c. industry,XAS,1.1188089147943001e-07,HND,2015
58,COD,Growing grapes industry,XAS,0.0,HND,2015
59,COD,Growing fruits and nuts industry,XAS,4.726402602136891e-07,HND,2015
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,5.713982003273408e-09,HND,2015
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.4444961411336277e-11,HND,2015
62,COD,Seeds and plant propagation industry,XAS,0.0,HND,2015
63,COD,Raising of cattle industry,XAS,9.824530895648462e-06,HND,2015
64,COD,Growing wheat industry,AFG,1.7502272301090528e-08,HND,2015
65,COD,Growing maize industry,AFG,1.0710276559248035e-06,HND,2015
66,COD,Growing cereals n.e.c industry,AFG,3.0801153262804147e-10,HND,2015
67,COD,Growing leguminous crops and oil seeds industry,AFG,2.907027453492998e-08,HND,2015
68,COD,Growing rice industry,AFG,3.2980341036765707e-07,HND,2015
69,COD,"Growing vegetables, roots, tubers industry",AFG,1.7865314768767956e-08,HND,2015
70,COD,Growing sugar beet and cane industry,AFG,6.814974247255441e-07,HND,2015
71,COD,Growing tobacco industry,AFG,6.185639888492657e-10,HND,2015
72,COD,Growing fibre crops industry,AFG,5.700349380974239e-08,HND,2015
73,COD,Growing crops n.e.c. industry,AFG,3.741155140143157e-08,HND,2015
74,COD,Growing grapes industry,AFG,0.0,HND,2015
75,COD,Growing fruits and nuts industry,AFG,1.584630821273624e-07,HND,2015
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,1.8620249824007137e-09,HND,2015
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,7.618850734326785e-12,HND,2015
78,COD,Seeds and plant propagation industry,AFG,0.0,HND,2015
79,COD,Raising of cattle industry,AFG,3.3820243585258385e-06,HND,2015
80,COD,Growing wheat industry,AGO,2.1811517909430437e-07,HND,2015
81,COD,Growing maize industry,AGO,9.14267152334931e-06,HND,2015
82,COD,Growing cereals n.e.c industry,AGO,3.453340977482645e-09,HND,2015
83,COD,Growing leguminous crops and oil seeds industry,AGO,3.823326211901554e-07,HND,2015
84,COD,Growing rice industry,AGO,4.196447441766696e-06,HND,2015
85,COD,"Growing vegetables, roots, tubers industry",AGO,2.7383932489453747e-07,HND,2015
86,COD,Growing sugar beet and cane industry,AGO,5.406555508140436e-06,HND,2015
87,COD,Growing tobacco industry,AGO,8.30589121349192e-09,HND,2015
88,COD,Growing fibre crops industry,AGO,9.631860307916026e-07,HND,2015
89,COD,Growing crops n.e.c. industry,AGO,4.662850161958576e-07,HND,2015
90,COD,Growing grapes industry,AGO,0.0,HND,2015
91,COD,Growing fruits and nuts industry,AGO,3.88097516380687e-06,HND,2015
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,2.9269460317982286e-08,HND,2015
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.2041636428961649e-10,HND,2015
94,COD,Seeds and plant propagation industry,AGO,0.0,HND,2015
95,COD,Raising of cattle industry,AGO,4.1927469834007346e-05,HND,2015
96,COD,Growing wheat industry,ALB,2.7368817552095257e-08,HND,2015
97,COD,Growing maize industry,ALB,2.819476114004578e-06,HND,2015
98,COD,Growing cereals n.e.c industry,ALB,5.89023385255013e-10,HND,2015
99,COD,Growing leguminous crops and oil seeds industry,ALB,4.136168660848162e-08,HND,2015
100,COD,Growing rice industry,ALB,5.795977248474825e-07,HND,2015
101,COD,"Growing vegetables, roots, tubers industry",ALB,1.9859637976767297e-08,HND,2015
102,COD,Growing sugar beet and cane industry,ALB,1.8787209571438362e-06,HND,2015
103,COD,Growing tobacco industry,ALB,8.351449753210388e-10,HND,2015
104,COD,Growing fibre crops industry,ALB,5.617772335746535e-08,HND,2015
105,COD,Growing crops n.e.c. industry,ALB,6.021595870861557e-08,HND,2015
106,COD,Growing grapes industry,ALB,0.0,HND,2015
107,COD,Growing fruits and nuts industry,ALB,1.2495634350438144e-07,HND,2015
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,2.032495790276864e-09,HND,2015
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,7.840773121209537e-12,HND,2015
110,COD,Seeds and plant propagation industry,ALB,0.0,HND,2015
111,COD,Raising of cattle industry,ALB,4.946468567862666e-06,HND,2015
112,COD,Growing wheat industry,ARE,3.288367475834779e-07,HND,2015
113,COD,Growing maize industry,ARE,6.981239384052463e-05,HND,2015
114,COD,Growing cereals n.e.c industry,ARE,9.81587783141401e-09,HND,2015
115,COD,Growing leguminous crops and oil seeds industry,ARE,6.492369599417369e-07,HND,2015
116,COD,Growing rice industry,ARE,5.826111295616035e-06,HND,2015
117,COD,"Growing vegetables, roots, tubers industry",ARE,4.997592166215863e-07,HND,2015
118,COD,Growing sugar beet and cane industry,ARE,4.5780465585914744e-05,HND,2015
119,COD,Growing tobacco industry,ARE,1.1807515513680669e-08,HND,2015
120,COD,Growing fibre crops industry,ARE,2.0500506570834426e-06,HND,2015
121,COD,Growing crops n.e.c. industry,ARE,7.190780202124684e-07,HND,2015
122,COD,Growing grapes industry,ARE,0.0,HND,2015
123,COD,Growing fruits and nuts industry,ARE,4.905765216448207e-06,HND,2015
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,4.868188583416183e-08,HND,2015
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,2.2313644877686524e-10,HND,2015
126,COD,Seeds and plant propagation industry,ARE,0.0,HND,2015
