,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,5.514860348225142e-08,SYR,2015
1,COD,Growing maize industry,XAM,6.186615960603934e-07,SYR,2015
2,COD,Growing cereals n.e.c industry,XAM,7.679086962803065e-10,SYR,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.0621745058643562e-07,SYR,2015
4,COD,Growing rice industry,XAM,1.1525942476961378e-06,SYR,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.2211401363722375e-06,SYR,2015
6,COD,Growing sugar beet and cane industry,XAM,8.974095528147272e-08,SYR,2015
7,COD,Growing tobacco industry,XAM,8.965241242521041e-09,SYR,2015
8,COD,Growing fibre crops industry,XAM,2.2404618654719046e-07,SYR,2015
9,COD,Growing crops n.e.c. industry,XAM,1.2190400438665534e-07,SYR,2015
10,COD,Growing grapes industry,XAM,0.0,SYR,2015
11,COD,Growing fruits and nuts industry,XAM,2.2848786351290455e-06,SYR,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.6170831984849779e-07,SYR,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.878198153668431e-10,SYR,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,SYR,2015
15,COD,Raising of cattle industry,XAM,1.3953044496663891e-05,SYR,2015
16,COD,Growing wheat industry,XEU,1.5099933203354973e-08,SYR,2015
17,COD,Growing maize industry,XEU,2.0918730489151067e-07,SYR,2015
18,COD,Growing cereals n.e.c industry,XEU,2.0647933769897552e-10,SYR,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.6954558248962776e-08,SYR,2015
20,COD,Growing rice industry,XEU,2.7365584188419957e-07,SYR,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,6.158764755161196e-07,SYR,2015
22,COD,Growing sugar beet and cane industry,XEU,2.8855053697131382e-08,SYR,2015
23,COD,Growing tobacco industry,XEU,4.750554580574796e-09,SYR,2015
24,COD,Growing fibre crops industry,XEU,1.0016464936484373e-07,SYR,2015
25,COD,Growing crops n.e.c. industry,XEU,3.165312434087118e-08,SYR,2015
26,COD,Growing grapes industry,XEU,0.0,SYR,2015
27,COD,Growing fruits and nuts industry,XEU,1.084916996890761e-06,SYR,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.202366825980475e-07,SYR,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.0742963383967993e-10,SYR,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,SYR,2015
31,COD,Raising of cattle industry,XEU,2.9319715217149818e-06,SYR,2015
32,COD,Growing wheat industry,XAF,4.3681946926928645e-08,SYR,2015
33,COD,Growing maize industry,XAF,3.4042481386397325e-07,SYR,2015
34,COD,Growing cereals n.e.c industry,XAF,5.533319532337307e-10,SYR,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,7.782589369681542e-08,SYR,2015
36,COD,Growing rice industry,XAF,8.053416126791643e-07,SYR,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,6.696883174950149e-07,SYR,2015
38,COD,Growing sugar beet and cane industry,XAF,6.400393698415803e-08,SYR,2015
39,COD,Growing tobacco industry,XAF,5.389892453319819e-09,SYR,2015
40,COD,Growing fibre crops industry,XAF,1.5694511736993829e-07,SYR,2015
41,COD,Growing crops n.e.c. industry,XAF,8.615762575746166e-08,SYR,2015
42,COD,Growing grapes industry,XAF,0.0,SYR,2015
43,COD,Growing fruits and nuts industry,XAF,1.3181174494037489e-06,SYR,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.1063908493235674e-07,SYR,2015
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.304257953586204e-10,SYR,2015
46,COD,Seeds and plant propagation industry,XAF,0.0,SYR,2015
47,COD,Raising of cattle industry,XAF,7.608825321483287e-06,SYR,2015
48,COD,Growing wheat industry,XAS,4.7980798675836094e-08,SYR,2015
49,COD,Growing maize industry,XAS,3.395968352657235e-07,SYR,2015
50,COD,Growing cereals n.e.c industry,XAS,6.018091293578102e-10,SYR,2015
51,COD,Growing leguminous crops and oil seeds industry,XAS,8.297917012372958e-08,SYR,2015
52,COD,Growing rice industry,XAS,8.53381786085078e-07,SYR,2015
53,COD,"Growing vegetables, roots, tubers industry",XAS,6.986816719942123e-07,SYR,2015
54,COD,Growing sugar beet and cane industry,XAS,6.826916886550008e-08,SYR,2015
55,COD,Growing tobacco industry,XAS,5.1344693360870055e-09,SYR,2015
56,COD,Growing fibre crops industry,XAS,1.5955186186689603e-07,SYR,2015
57,COD,Growing crops n.e.c. industry,XAS,9.411737108743559e-08,SYR,2015
58,COD,Growing grapes industry,XAS,0.0,SYR,2015
59,COD,Growing fruits and nuts industry,XAS,1.3603312597830836e-06,SYR,2015
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,9.128968851165083e-08,SYR,2015
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.5021287584719815e-10,SYR,2015
62,COD,Seeds and plant propagation industry,XAS,0.0,SYR,2015
63,COD,Raising of cattle industry,XAS,8.353475124940188e-06,SYR,2015
64,COD,Growing wheat industry,AFG,2.7938005598433317e-08,SYR,2015
65,COD,Growing maize industry,AFG,2.6699180445906546e-07,SYR,2015
66,COD,Growing cereals n.e.c industry,AFG,3.556666687420175e-10,SYR,2015
67,COD,Growing leguminous crops and oil seeds industry,AFG,5.1823565860446996e-08,SYR,2015
68,COD,Growing rice industry,AFG,5.103348939485555e-07,SYR,2015
69,COD,"Growing vegetables, roots, tubers industry",AFG,3.905167217779564e-07,SYR,2015
70,COD,Growing sugar beet and cane industry,AFG,4.226260425503469e-08,SYR,2015
71,COD,Growing tobacco industry,AFG,2.8572858096413046e-09,SYR,2015
72,COD,Growing fibre crops industry,AFG,1.722385821948478e-07,SYR,2015
73,COD,Growing crops n.e.c. industry,AFG,5.419106619779709e-08,SYR,2015
74,COD,Growing grapes industry,AFG,0.0,SYR,2015
75,COD,Growing fruits and nuts industry,AFG,9.482460424766708e-07,SYR,2015
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,5.024665051907074e-08,SYR,2015
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.4336458844349967e-10,SYR,2015
78,COD,Seeds and plant propagation industry,AFG,0.0,SYR,2015
79,COD,Raising of cattle industry,AFG,4.765511887654602e-06,SYR,2015
80,COD,Growing wheat industry,AGO,5.711048379011041e-07,SYR,2015
81,COD,Growing maize industry,AGO,9.538626439759165e-06,SYR,2015
82,COD,Growing cereals n.e.c industry,AGO,8.269794600781955e-09,SYR,2015
83,COD,Growing leguminous crops and oil seeds industry,AGO,1.3235977292424736e-06,SYR,2015
84,COD,Growing rice industry,AGO,1.0704644943269908e-05,SYR,2015
85,COD,"Growing vegetables, roots, tubers industry",AGO,1.2129801688747143e-05,SYR,2015
86,COD,Growing sugar beet and cane industry,AGO,1.1716757611266835e-06,SYR,2015
87,COD,Growing tobacco industry,AGO,7.708289300638589e-08,SYR,2015
88,COD,Growing fibre crops industry,AGO,6.460928145366934e-06,SYR,2015
89,COD,Growing crops n.e.c. industry,AGO,1.2341262207106276e-06,SYR,2015
90,COD,Growing grapes industry,AGO,0.0,SYR,2015
91,COD,Growing fruits and nuts industry,AGO,3.415881860367153e-05,SYR,2015
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,1.2103933771157626e-06,SYR,2015
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,7.045977243139646e-09,SYR,2015
94,COD,Seeds and plant propagation industry,AGO,0.0,SYR,2015
95,COD,Raising of cattle industry,AGO,0.00011364231496213544,SYR,2015
96,COD,Growing wheat industry,ALB,3.7090317923123765e-08,SYR,2015
97,COD,Growing maize industry,ALB,8.135104667931562e-07,SYR,2015
98,COD,Growing cereals n.e.c industry,ALB,5.604370915245483e-10,SYR,2015
99,COD,Growing leguminous crops and oil seeds industry,ALB,1.1848487492724018e-07,SYR,2015
100,COD,Growing rice industry,ALB,6.36695739690869e-07,SYR,2015
101,COD,"Growing vegetables, roots, tubers industry",ALB,2.128411213260031e-06,SYR,2015
102,COD,Growing sugar beet and cane industry,ALB,8.888503238668588e-08,SYR,2015
103,COD,Growing tobacco industry,ALB,1.735879904254991e-08,SYR,2015
104,COD,Growing fibre crops industry,ALB,7.328050103838166e-07,SYR,2015
105,COD,Growing crops n.e.c. industry,ALB,8.401793117911566e-08,SYR,2015
106,COD,Growing grapes industry,ALB,0.0,SYR,2015
107,COD,Growing fruits and nuts industry,ALB,4.17468132451621e-06,SYR,2015
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,4.618995685562511e-07,SYR,2015
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,1.4258846784695314e-09,SYR,2015
110,COD,Seeds and plant propagation industry,ALB,0.0,SYR,2015
111,COD,Raising of cattle industry,ALB,7.377548574882748e-06,SYR,2015
112,COD,Growing wheat industry,ARE,1.753324410895403e-06,SYR,2015
113,COD,Growing maize industry,ARE,0.00020015505096117876,SYR,2015
114,COD,Growing cereals n.e.c industry,ARE,3.741735232297421e-08,SYR,2015
115,COD,Growing leguminous crops and oil seeds industry,ARE,5.308018969448973e-06,SYR,2015
116,COD,Growing rice industry,ARE,2.9104631961373187e-05,SYR,2015
117,COD,"Growing vegetables, roots, tubers industry",ARE,7.977428130074999e-05,SYR,2015
118,COD,Growing sugar beet and cane industry,ARE,4.108323755156385e-06,SYR,2015
119,COD,Growing tobacco industry,ARE,4.376606076270794e-07,SYR,2015
120,COD,Growing fibre crops industry,ARE,2.112974555082764e-05,SYR,2015
121,COD,Growing crops n.e.c. industry,ARE,3.834754364287144e-06,SYR,2015
122,COD,Growing grapes industry,ARE,0.0,SYR,2015
123,COD,Growing fruits and nuts industry,ARE,0.00022965973265645827,SYR,2015
