,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.2931645246131693e-08,YEM,2015
1,COD,Growing maize industry,XAM,2.0934604377303975e-07,YEM,2015
2,COD,Growing cereals n.e.c industry,XAM,2.75066296367876e-10,YEM,2015
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.8081118147125156e-08,YEM,2015
4,COD,Growing rice industry,XAM,4.466586591759271e-07,YEM,2015
5,COD,"Growing vegetables, roots, tubers industry",XAM,9.30523513117738e-08,YEM,2015
6,COD,Growing sugar beet and cane industry,XAM,3.833578140606846e-08,YEM,2015
7,COD,Growing tobacco industry,XAM,2.4491378532131287e-09,YEM,2015
8,COD,Growing fibre crops industry,XAM,7.01117106021317e-08,YEM,2015
9,COD,Growing crops n.e.c. industry,XAM,5.424686306202146e-08,YEM,2015
10,COD,Growing grapes industry,XAM,0.0,YEM,2015
11,COD,Growing fruits and nuts industry,XAM,3.075282844756232e-07,YEM,2015
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,3.160446922377452e-08,YEM,2015
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.3702534556055545e-11,YEM,2015
14,COD,Seeds and plant propagation industry,XAM,0.0,YEM,2015
15,COD,Raising of cattle industry,XAM,4.128649060747065e-06,YEM,2015
16,COD,Growing wheat industry,XEU,8.031658536908987e-09,YEM,2015
17,COD,Growing maize industry,XEU,1.0514565440324409e-07,YEM,2015
18,COD,Growing cereals n.e.c industry,XEU,1.0002658377903521e-10,YEM,2015
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.7221332662585186e-08,YEM,2015
20,COD,Growing rice industry,XEU,1.5185532358110744e-07,YEM,2015
21,COD,"Growing vegetables, roots, tubers industry",XEU,5.271039263936728e-08,YEM,2015
22,COD,Growing sugar beet and cane industry,XEU,1.4687997669482389e-08,YEM,2015
23,COD,Growing tobacco industry,XEU,1.3025821838934232e-09,YEM,2015
24,COD,Growing fibre crops industry,XEU,5.45512767194636e-08,YEM,2015
25,COD,Growing crops n.e.c. industry,XEU,1.753252821824784e-08,YEM,2015
26,COD,Growing grapes industry,XEU,0.0,YEM,2015
27,COD,Growing fruits and nuts industry,XEU,1.8120797975691443e-07,YEM,2015
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.897821227368785e-08,YEM,2015
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.990014036074901e-11,YEM,2015
30,COD,Seeds and plant propagation industry,XEU,0.0,YEM,2015
31,COD,Raising of cattle industry,XEU,1.350236094591177e-06,YEM,2015
32,COD,Growing wheat industry,XAF,2.844223143114292e-07,YEM,2015
33,COD,Growing maize industry,XAF,3.863933311292304e-06,YEM,2015
34,COD,Growing cereals n.e.c industry,XAF,3.3958793610289892e-09,YEM,2015
35,COD,Growing leguminous crops and oil seeds industry,XAF,5.74913124549359e-07,YEM,2015
36,COD,Growing rice industry,XAF,5.935850255574283e-06,YEM,2015
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.8143437828230595e-06,YEM,2015
38,COD,Growing sugar beet and cane industry,XAF,4.952897571050828e-07,YEM,2015
39,COD,Growing tobacco industry,XAF,3.609008641755775e-08,YEM,2015
40,COD,Growing fibre crops industry,XAF,1.9430830802466133e-06,YEM,2015
41,COD,Growing crops n.e.c. industry,XAF,5.501114999847342e-07,YEM,2015
42,COD,Growing grapes industry,XAF,0.0,YEM,2015
43,COD,Growing fruits and nuts industry,XAF,5.775016968899608e-06,YEM,2015
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,7.965860358183203e-07,YEM,2015
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,6.888713348304843e-10,YEM,2015
46,COD,Seeds and plant propagation industry,XAF,0.0,YEM,2015
47,COD,Raising of cattle industry,XAF,7.097596042307527e-05,YEM,2015
48,COD,Growing wheat industry,XAS,5.281957950947575e-08,YEM,2015
49,COD,Growing maize industry,XAS,3.4180790630882635e-07,YEM,2015
50,COD,Growing cereals n.e.c industry,XAS,6.376496208871575e-10,YEM,2015
51,COD,Growing leguminous crops and oil seeds industry,XAS,8.272677484736496e-08,YEM,2015
52,COD,Growing rice industry,XAS,1.046359897716953e-06,YEM,2015
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.190844772327342e-07,YEM,2015
54,COD,Growing sugar beet and cane industry,XAS,7.631120418356746e-08,YEM,2015
55,COD,Growing tobacco industry,XAS,4.427675777507539e-09,YEM,2015
56,COD,Growing fibre crops industry,XAS,1.2056874907348335e-07,YEM,2015
57,COD,Growing crops n.e.c. industry,XAS,1.051830432451448e-07,YEM,2015
58,COD,Growing grapes industry,XAS,0.0,YEM,2015
59,COD,Growing fruits and nuts industry,XAS,5.699640774262754e-07,YEM,2015
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,4.93488495157304e-08,YEM,2015
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,7.692518647607932e-11,YEM,2015
62,COD,Seeds and plant propagation industry,XAS,0.0,YEM,2015
63,COD,Raising of cattle industry,XAS,9.341439919736726e-06,YEM,2015
64,COD,Growing wheat industry,AFG,1.6719308793053888e-08,YEM,2015
65,COD,Growing maize industry,AFG,1.0713962476423621e-07,YEM,2015
66,COD,Growing cereals n.e.c industry,AFG,1.984062503692009e-10,YEM,2015
67,COD,Growing leguminous crops and oil seeds industry,AFG,2.563795309000318e-08,YEM,2015
68,COD,Growing rice industry,AFG,3.250520622682228e-07,YEM,2015
69,COD,"Growing vegetables, roots, tubers industry",AFG,5.272573094930458e-08,YEM,2015
70,COD,Growing sugar beet and cane industry,AFG,2.3971724186989563e-08,YEM,2015
71,COD,Growing tobacco industry,AFG,1.0457113719743771e-09,YEM,2015
72,COD,Growing fibre crops industry,AFG,4.1542097318287106e-08,YEM,2015
73,COD,Growing crops n.e.c. industry,AFG,3.291574057920637e-08,YEM,2015
74,COD,Growing grapes industry,AFG,0.0,YEM,2015
75,COD,Growing fruits and nuts industry,AFG,1.2761854410737174e-07,YEM,2015
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,2.121355426015806e-08,YEM,2015
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.7590355657407785e-11,YEM,2015
78,COD,Seeds and plant propagation industry,AFG,0.0,YEM,2015
79,COD,Raising of cattle industry,AFG,2.9669886048312386e-06,YEM,2015
80,COD,Growing wheat industry,AGO,5.5585894395346466e-08,YEM,2015
81,COD,Growing maize industry,AGO,4.923444056593933e-07,YEM,2015
82,COD,Growing cereals n.e.c industry,AGO,6.673600697848417e-10,YEM,2015
83,COD,Growing leguminous crops and oil seeds industry,AGO,9.217961573211828e-08,YEM,2015
84,COD,Growing rice industry,AGO,1.0754862773248223e-06,YEM,2015
85,COD,"Growing vegetables, roots, tubers industry",AGO,2.441342914767182e-07,YEM,2015
86,COD,Growing sugar beet and cane industry,AGO,9.04601166474813e-08,YEM,2015
87,COD,Growing tobacco industry,AGO,6.0108069964211656e-09,YEM,2015
88,COD,Growing fibre crops industry,AGO,1.618750395243247e-07,YEM,2015
89,COD,Growing crops n.e.c. industry,AGO,1.2245819871072102e-07,YEM,2015
90,COD,Growing grapes industry,AGO,0.0,YEM,2015
91,COD,Growing fruits and nuts industry,AGO,6.754932315930366e-07,YEM,2015
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,8.492368327025509e-08,YEM,2015
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,8.681931768482022e-11,YEM,2015
94,COD,Seeds and plant propagation industry,AGO,0.0,YEM,2015
95,COD,Raising of cattle industry,AGO,1.0429563596804986e-05,YEM,2015
96,COD,Growing wheat industry,ALB,7.737674616707561e-09,YEM,2015
97,COD,Growing maize industry,ALB,4.893072608826351e-08,YEM,2015
