,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,8.351595041376554e-08,BLR,2016
1,COD,Growing maize industry,XAM,4.250078827321397e-06,BLR,2016
2,COD,Growing cereals n.e.c industry,XAM,1.5471599561508921e-09,BLR,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.8600887524718597e-07,BLR,2016
4,COD,Growing rice industry,XAM,3.7730761772510845e-07,BLR,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.6196709398637426e-06,BLR,2016
6,COD,Growing sugar beet and cane industry,XAM,3.2092995202991407e-07,BLR,2016
7,COD,Growing tobacco industry,XAM,1.2886026803394455e-08,BLR,2016
8,COD,Growing fibre crops industry,XAM,6.033174403891523e-06,BLR,2016
9,COD,Growing crops n.e.c. industry,XAM,3.1467211146483567e-07,BLR,2016
10,COD,Growing grapes industry,XAM,0.0,BLR,2016
11,COD,Growing fruits and nuts industry,XAM,3.641018433854967e-05,BLR,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.971218452724958e-06,BLR,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.7100474860429052e-09,BLR,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,BLR,2016
15,COD,Raising of cattle industry,XAM,3.6682307702132133e-06,BLR,2016
16,COD,Growing wheat industry,XEU,2.445915197631402e-08,BLR,2016
17,COD,Growing maize industry,XEU,1.6133973662714616e-06,BLR,2016
18,COD,Growing cereals n.e.c industry,XEU,4.5158951554813894e-10,BLR,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,9.317371134928085e-08,BLR,2016
20,COD,Growing rice industry,XEU,1.0501967308987688e-07,BLR,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,5.658352149965718e-07,BLR,2016
22,COD,Growing sugar beet and cane industry,XEU,9.455580583644536e-08,BLR,2016
23,COD,Growing tobacco industry,XEU,3.828285567057063e-09,BLR,2016
24,COD,Growing fibre crops industry,XEU,1.6436115227717574e-06,BLR,2016
25,COD,Growing crops n.e.c. industry,XEU,8.995962530631294e-08,BLR,2016
26,COD,Growing grapes industry,XEU,0.0,BLR,2016
27,COD,Growing fruits and nuts industry,XEU,1.2158874730027032e-05,BLR,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,6.633685433249879e-07,BLR,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.028113015261405e-09,BLR,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,BLR,2016
31,COD,Raising of cattle industry,XEU,9.713084969197982e-07,BLR,2016
32,COD,Growing wheat industry,XAF,3.5812173648002475e-08,BLR,2016
33,COD,Growing maize industry,XAF,3.0325724661818053e-06,BLR,2016
34,COD,Growing cereals n.e.c industry,XAF,7.363734237525676e-10,BLR,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.3945496158558288e-07,BLR,2016
36,COD,Growing rice industry,XAF,1.4881014813337945e-07,BLR,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,7.985555615661287e-07,BLR,2016
38,COD,Growing sugar beet and cane industry,XAF,1.598948830463779e-07,BLR,2016
39,COD,Growing tobacco industry,XAF,7.57853183113175e-09,BLR,2016
40,COD,Growing fibre crops industry,XAF,3.356899557605338e-06,BLR,2016
41,COD,Growing crops n.e.c. industry,XAF,1.4128131433966797e-07,BLR,2016
42,COD,Growing grapes industry,XAF,0.0,BLR,2016
43,COD,Growing fruits and nuts industry,XAF,1.8148316129742138e-05,BLR,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.0114840426066316e-06,BLR,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.585245976082101e-09,BLR,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,BLR,2016
47,COD,Raising of cattle industry,XAF,1.4043583283494452e-06,BLR,2016
48,COD,Growing wheat industry,XAS,4.502418783244949e-08,BLR,2016
49,COD,Growing maize industry,XAS,2.9385495725872888e-06,BLR,2016
50,COD,Growing cereals n.e.c industry,XAS,8.881453390194194e-10,BLR,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.770266397427204e-07,BLR,2016
52,COD,Growing rice industry,XAS,1.9459460365682574e-07,BLR,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,9.265571871134219e-07,BLR,2016
54,COD,Growing sugar beet and cane industry,XAS,2.2567833896946785e-07,BLR,2016
55,COD,Growing tobacco industry,XAS,9.942041238432852e-09,BLR,2016
56,COD,Growing fibre crops industry,XAS,4.841797557260204e-06,BLR,2016
57,COD,Growing crops n.e.c. industry,XAS,1.8464704689183234e-07,BLR,2016
58,COD,Growing grapes industry,XAS,0.0,BLR,2016
59,COD,Growing fruits and nuts industry,XAS,2.388283007464665e-05,BLR,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.3302459767607469e-06,BLR,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.950993905657043e-09,BLR,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,BLR,2016
63,COD,Raising of cattle industry,XAS,1.932327325704067e-06,BLR,2016
64,COD,Growing wheat industry,AFG,7.586634409582856e-08,BLR,2016
