,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.5435384291394012e-07,CAF,2016
1,COD,Growing maize industry,XAM,9.351068760578651e-06,CAF,2016
2,COD,Growing cereals n.e.c industry,XAM,8.382539118247537e-10,CAF,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.1077276231080027e-07,CAF,2016
4,COD,Growing rice industry,XAM,4.442748097639961e-07,CAF,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.4200511164835665e-06,CAF,2016
6,COD,Growing sugar beet and cane industry,XAM,1.8993309481526043e-07,CAF,2016
7,COD,Growing tobacco industry,XAM,1.0047342043765055e-09,CAF,2016
8,COD,Growing fibre crops industry,XAM,7.166294965914173e-08,CAF,2016
9,COD,Growing crops n.e.c. industry,XAM,1.6984789878171204e-07,CAF,2016
10,COD,Growing grapes industry,XAM,0.0,CAF,2016
11,COD,Growing fruits and nuts industry,XAM,8.860028555992529e-05,CAF,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.211452009084128e-05,CAF,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.7633153524731365e-08,CAF,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,CAF,2016
15,COD,Raising of cattle industry,XAM,4.3311875439851946e-06,CAF,2016
16,COD,Growing wheat industry,XEU,9.61546811738465e-09,CAF,2016
17,COD,Growing maize industry,XEU,2.5120154405060843e-07,CAF,2016
18,COD,Growing cereals n.e.c industry,XEU,7.56479677251695e-11,CAF,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.0042341370067771e-08,CAF,2016
20,COD,Growing rice industry,XEU,5.074079877489791e-08,CAF,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,4.627191646826139e-08,CAF,2016
22,COD,Growing sugar beet and cane industry,XEU,2.1059740125026114e-08,CAF,2016
23,COD,Growing tobacco industry,XEU,1.1367006942892247e-10,CAF,2016
24,COD,Growing fibre crops industry,XEU,8.0085464929548e-09,CAF,2016
25,COD,Growing crops n.e.c. industry,XEU,2.0725076795629174e-08,CAF,2016
26,COD,Growing grapes industry,XEU,0.0,CAF,2016
27,COD,Growing fruits and nuts industry,XEU,4.174739507884018e-06,CAF,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.0163053230496937e-06,CAF,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.2082771856716557e-09,CAF,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,CAF,2016
31,COD,Raising of cattle industry,XEU,5.026486544939193e-07,CAF,2016
32,COD,Growing wheat industry,XAF,1.0637190816381927e-07,CAF,2016
33,COD,Growing maize industry,XAF,1.8140600325785813e-06,CAF,2016
34,COD,Growing cereals n.e.c industry,XAF,5.029427513289245e-10,CAF,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,7.481182908887719e-08,CAF,2016
36,COD,Growing rice industry,XAF,3.2474518820050933e-07,CAF,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,5.909656460302625e-07,CAF,2016
38,COD,Growing sugar beet and cane industry,XAF,1.3527995498803127e-07,CAF,2016
39,COD,Growing tobacco industry,XAF,7.458972884147763e-10,CAF,2016
40,COD,Growing fibre crops industry,XAF,5.093372007065571e-08,CAF,2016
41,COD,Growing crops n.e.c. industry,XAF,1.2325097176412073e-07,CAF,2016
42,COD,Growing grapes industry,XAF,0.0,CAF,2016
43,COD,Growing fruits and nuts industry,XAF,2.6716057060222178e-05,CAF,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.4372600197684078e-05,CAF,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.4328707483970853e-08,CAF,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,CAF,2016
47,COD,Raising of cattle industry,XAF,3.2764491989108328e-06,CAF,2016
48,COD,Growing wheat industry,XAS,6.960914296087289e-08,CAF,2016
49,COD,Growing maize industry,XAS,5.536654894377773e-07,CAF,2016
50,COD,Growing cereals n.e.c industry,XAS,5.068435867192626e-10,CAF,2016
