,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,0.00010574954697570071,EU27,2016
1,COD,Growing maize industry,XAM,0.05652414465716081,EU27,2016
2,COD,Growing cereals n.e.c industry,XAM,8.293078648632058e-06,EU27,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,0.0005977249554257086,EU27,2016
4,COD,Growing rice industry,XAM,0.0001571639059512457,EU27,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.0020074457907508156,EU27,2016
6,COD,Growing sugar beet and cane industry,XAM,0.0003284716287521555,EU27,2016
7,COD,Growing tobacco industry,XAM,2.315419148488478e-05,EU27,2016
8,COD,Growing fibre crops industry,XAM,0.011557486291203335,EU27,2016
9,COD,Growing crops n.e.c. industry,XAM,0.00030087565515810033,EU27,2016
10,COD,Growing grapes industry,XAM,0.0,EU27,2016
11,COD,Growing fruits and nuts industry,XAM,0.004045727769355527,EU27,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0011869193567091883,EU27,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.4283980424929183e-06,EU27,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,EU27,2016
15,COD,Raising of cattle industry,XAM,0.001476790101288886,EU27,2016
16,COD,Growing wheat industry,XEU,6.3143457008498e-05,EU27,2016
17,COD,Growing maize industry,XEU,0.015326821797327899,EU27,2016
18,COD,Growing cereals n.e.c industry,XEU,3.179582198511886e-05,EU27,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,0.00045427064935055873,EU27,2016
20,COD,Growing rice industry,XEU,0.00014900003392250325,EU27,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,0.0012519500835698944,EU27,2016
22,COD,Growing sugar beet and cane industry,XEU,0.00013796630262784244,EU27,2016
23,COD,Growing tobacco industry,XEU,1.031485841154224e-05,EU27,2016
24,COD,Growing fibre crops industry,XEU,0.0016066344415743396,EU27,2016
25,COD,Growing crops n.e.c. industry,XEU,9.94655666873858e-05,EU27,2016
26,COD,Growing grapes industry,XEU,0.0,EU27,2016
27,COD,Growing fruits and nuts industry,XEU,0.003002324508147925,EU27,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,0.001267613579118181,EU27,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.5514920212719874e-06,EU27,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,EU27,2016
31,COD,Raising of cattle industry,XEU,0.0009551299695810931,EU27,2016
32,COD,Growing wheat industry,XAF,5.528512504873601e-05,EU27,2016
33,COD,Growing maize industry,XAF,0.026489475111231616,EU27,2016
34,COD,Growing cereals n.e.c industry,XAF,2.816840638041612e-06,EU27,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,0.000290311692385275,EU27,2016
36,COD,Growing rice industry,XAF,8.533671274704213e-05,EU27,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,0.0013642490114165913,EU27,2016
38,COD,Growing sugar beet and cane industry,XAF,0.00024604216118801576,EU27,2016
39,COD,Growing tobacco industry,XAF,7.09486770219569e-06,EU27,2016
40,COD,Growing fibre crops industry,XAF,0.07042311612549501,EU27,2016
41,COD,Growing crops n.e.c. industry,XAF,0.00012111012218390901,EU27,2016
42,COD,Growing grapes industry,XAF,0.0,EU27,2016
43,COD,Growing fruits and nuts industry,XAF,0.0013413072306982113,EU27,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0005302070700031959,EU27,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.5120253402310597e-06,EU27,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,EU27,2016
47,COD,Raising of cattle industry,XAF,0.0007480107177665447,EU27,2016
48,COD,Growing wheat industry,XAS,3.427825485545336e-05,EU27,2016
49,COD,Growing maize industry,XAS,0.024790575476814274,EU27,2016
50,COD,Growing cereals n.e.c industry,XAS,2.767627244629533e-06,EU27,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,0.00018799216247518676,EU27,2016
52,COD,Growing rice industry,XAS,5.744643838634664e-05,EU27,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,0.000631406374606463,EU27,2016
54,COD,Growing sugar beet and cane industry,XAS,0.00014663487620147442,EU27,2016
55,COD,Growing tobacco industry,XAS,5.505688109508954e-06,EU27,2016
56,COD,Growing fibre crops industry,XAS,0.010076207964595813,EU27,2016
57,COD,Growing crops n.e.c. industry,XAS,0.00011567859432696226,EU27,2016
58,COD,Growing grapes industry,XAS,0.0,EU27,2016
59,COD,Growing fruits and nuts industry,XAS,0.0010265284840072204,EU27,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,0.00036801201180002577,EU27,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,7.843750225398734e-07,EU27,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,EU27,2016
63,COD,Raising of cattle industry,XAS,0.0005651687657353099,EU27,2016
64,COD,Growing wheat industry,AFG,7.172987330918597e-05,EU27,2016
65,COD,Growing maize industry,AFG,0.005596830872064978,EU27,2016
66,COD,Growing cereals n.e.c industry,AFG,9.228039052060179e-07,EU27,2016
67,COD,Growing leguminous crops and oil seeds industry,AFG,0.0005046051299908515,EU27,2016
68,COD,Growing rice industry,AFG,2.204394287007286e-05,EU27,2016
69,COD,"Growing vegetables, roots, tubers industry",AFG,0.00029090982811483403,EU27,2016
70,COD,Growing sugar beet and cane industry,AFG,3.3824525421766086e-05,EU27,2016
71,COD,Growing tobacco industry,AFG,4.651443147825937e-06,EU27,2016
72,COD,Growing fibre crops industry,AFG,0.00023422908255589606,EU27,2016
73,COD,Growing crops n.e.c. industry,AFG,2.5517100094061108e-05,EU27,2016
74,COD,Growing grapes industry,AFG,0.0,EU27,2016
75,COD,Growing fruits and nuts industry,AFG,0.0003879798936132859,EU27,2016
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,0.00017057388470253018,EU27,2016
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,3.5887036662236343e-07,EU27,2016
78,COD,Seeds and plant propagation industry,AFG,0.0,EU27,2016
79,COD,Raising of cattle industry,AFG,0.00017396652716604018,EU27,2016
80,COD,Growing wheat industry,AGO,0.00020421372044502535,EU27,2016
81,COD,Growing maize industry,AGO,0.14717948890963223,EU27,2016
82,COD,Growing cereals n.e.c industry,AGO,1.2372573415005199e-05,EU27,2016
83,COD,Growing leguminous crops and oil seeds industry,AGO,0.0008734501795229606,EU27,2016
84,COD,Growing rice industry,AGO,0.00031795508910482646,EU27,2016
85,COD,"Growing vegetables, roots, tubers industry",AGO,0.004864699472803309,EU27,2016
86,COD,Growing sugar beet and cane industry,AGO,0.0010273354173291696,EU27,2016
87,COD,Growing tobacco industry,AGO,1.929357629312497e-05,EU27,2016
88,COD,Growing fibre crops industry,AGO,0.3512629854237651,EU27,2016
89,COD,Growing crops n.e.c. industry,AGO,0.0005325913729527159,EU27,2016
90,COD,Growing grapes industry,AGO,0.0,EU27,2016
91,COD,Growing fruits and nuts industry,AGO,0.005038000782816088,EU27,2016
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0021719536452809527,EU27,2016
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,3.5587935833004314e-06,EU27,2016
94,COD,Seeds and plant propagation industry,AGO,0.0,EU27,2016
95,COD,Raising of cattle industry,AGO,0.003376891949796817,EU27,2016
96,COD,Growing wheat industry,ALB,2.6517960885684897e-05,EU27,2016
97,COD,Growing maize industry,ALB,0.015960082968750917,EU27,2016
98,COD,Growing cereals n.e.c industry,ALB,6.42112741991042e-06,EU27,2016
99,COD,Growing leguminous crops and oil seeds industry,ALB,0.00011045769599279275,EU27,2016
100,COD,Growing rice industry,ALB,7.127219434008838e-05,EU27,2016
101,COD,"Growing vegetables, roots, tubers industry",ALB,0.0013578172716416028,EU27,2016
102,COD,Growing sugar beet and cane industry,ALB,0.0001242357845889554,EU27,2016
103,COD,Growing tobacco industry,ALB,3.3335286697062362e-06,EU27,2016
104,COD,Growing fibre crops industry,ALB,0.0006688467654045101,EU27,2016
105,COD,Growing crops n.e.c. industry,ALB,9.221370899759857e-05,EU27,2016
106,COD,Growing grapes industry,ALB,0.0,EU27,2016
107,COD,Growing fruits and nuts industry,ALB,0.001580325801115502,EU27,2016
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,0.0006507176213180225,EU27,2016
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,9.843857364321818e-07,EU27,2016
110,COD,Seeds and plant propagation industry,ALB,0.0,EU27,2016
111,COD,Raising of cattle industry,ALB,0.0007704157820441638,EU27,2016
112,COD,Growing wheat industry,ARE,0.0004183006741686476,EU27,2016
113,COD,Growing maize industry,ARE,0.259642085329771,EU27,2016
114,COD,Growing cereals n.e.c industry,ARE,3.662468013010458e-05,EU27,2016
115,COD,Growing leguminous crops and oil seeds industry,ARE,0.0028812495275569346,EU27,2016
116,COD,Growing rice industry,ARE,0.00047015071626881327,EU27,2016
117,COD,"Growing vegetables, roots, tubers industry",ARE,0.006106300748153396,EU27,2016
118,COD,Growing sugar beet and cane industry,ARE,0.0009165567799684184,EU27,2016
119,COD,Growing tobacco industry,ARE,6.132321493534537e-05,EU27,2016
120,COD,Growing fibre crops industry,ARE,0.014840010166210144,EU27,2016
121,COD,Growing crops n.e.c. industry,ARE,0.0007438283934791479,EU27,2016
122,COD,Growing grapes industry,ARE,0.0,EU27,2016
123,COD,Growing fruits and nuts industry,ARE,0.013237598053977848,EU27,2016
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0050799677436128956,EU27,2016
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,8.751098391407736e-06,EU27,2016
126,COD,Seeds and plant propagation industry,ARE,0.0,EU27,2016
127,COD,Raising of cattle industry,ARE,0.003779000917109079,EU27,2016
128,COD,Growing wheat industry,ARG,0.00021255256074820736,EU27,2016
129,COD,Growing maize industry,ARG,0.06535802474411805,EU27,2016
130,COD,Growing cereals n.e.c industry,ARG,1.7859989435267187e-05,EU27,2016
131,COD,Growing leguminous crops and oil seeds industry,ARG,0.0012182846744910232,EU27,2016
132,COD,Growing rice industry,ARG,0.000287124840606683,EU27,2016
133,COD,"Growing vegetables, roots, tubers industry",ARG,0.00473635066712273,EU27,2016
134,COD,Growing sugar beet and cane industry,ARG,0.0007533765871340231,EU27,2016
135,COD,Growing tobacco industry,ARG,3.578439315098948e-05,EU27,2016
136,COD,Growing fibre crops industry,ARG,0.014741195256624793,EU27,2016
137,COD,Growing crops n.e.c. industry,ARG,0.00046697000272047145,EU27,2016
138,COD,Growing grapes industry,ARG,0.0,EU27,2016
139,COD,Growing fruits and nuts industry,ARG,0.00635109650338572,EU27,2016
140,COD,"Growing beverage crops (coffee, tea etc) industry",ARG,0.0026738815989372417,EU27,2016
141,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,4.721501226868292e-06,EU27,2016
142,COD,Seeds and plant propagation industry,ARG,0.0,EU27,2016
143,COD,Raising of cattle industry,ARG,0.0027103305699024845,EU27,2016
144,COD,Growing wheat industry,ARM,3.006855982119199e-05,EU27,2016
145,COD,Growing maize industry,ARM,0.008723282318426166,EU27,2016
146,COD,Growing cereals n.e.c industry,ARM,3.8575204197706115e-06,EU27,2016
147,COD,Growing leguminous crops and oil seeds industry,ARM,0.0001897859453721949,EU27,2016
148,COD,Growing rice industry,ARM,3.541657471968324e-05,EU27,2016
149,COD,"Growing vegetables, roots, tubers industry",ARM,0.00041003290894393797,EU27,2016
150,COD,Growing sugar beet and cane industry,ARM,6.1021185835776317e-05,EU27,2016
151,COD,Growing tobacco industry,ARM,1.0272944409957424e-05,EU27,2016
152,COD,Growing fibre crops industry,ARM,0.0007023841872547719,EU27,2016
153,COD,Growing crops n.e.c. industry,ARM,4.8312648834780053e-05,EU27,2016
154,COD,Growing grapes industry,ARM,0.0,EU27,2016
155,COD,Growing fruits and nuts industry,ARM,0.0008906472221754104,EU27,2016
156,COD,"Growing beverage crops (coffee, tea etc) industry",ARM,0.00031170023577797347,EU27,2016
157,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,9.692044421597606e-07,EU27,2016
158,COD,Seeds and plant propagation industry,ARM,0.0,EU27,2016
159,COD,Raising of cattle industry,ARM,0.00031664880566486137,EU27,2016
160,COD,Growing wheat industry,AUS,0.0007322339970468818,EU27,2016
161,COD,Growing maize industry,AUS,0.42785098389522286,EU27,2016
162,COD,Growing cereals n.e.c industry,AUS,8.523757633728443e-05,EU27,2016
163,COD,Growing leguminous crops and oil seeds industry,AUS,0.004266920373871705,EU27,2016
164,COD,Growing rice industry,AUS,0.0012104360147308533,EU27,2016
165,COD,"Growing vegetables, roots, tubers industry",AUS,0.014097313750961286,EU27,2016
166,COD,Growing sugar beet and cane industry,AUS,0.002588285818995108,EU27,2016
167,COD,Growing tobacco industry,AUS,0.0001543509336292436,EU27,2016
168,COD,Growing fibre crops industry,AUS,0.03751095770446366,EU27,2016
169,COD,Growing crops n.e.c. industry,AUS,0.002068606960339112,EU27,2016
170,COD,Growing grapes industry,AUS,0.0,EU27,2016
171,COD,Growing fruits and nuts industry,AUS,0.028048721119518154,EU27,2016
172,COD,"Growing beverage crops (coffee, tea etc) industry",AUS,0.010499332241953872,EU27,2016
173,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,1.7782399598386468e-05,EU27,2016
174,COD,Seeds and plant propagation industry,AUS,0.0,EU27,2016
175,COD,Raising of cattle industry,AUS,0.011226730902212151,EU27,2016
176,COD,Growing wheat industry,AUT,0.0,EU27,2016
177,COD,Growing maize industry,AUT,0.0,EU27,2016
178,COD,Growing cereals n.e.c industry,AUT,0.0,EU27,2016
179,COD,Growing leguminous crops and oil seeds industry,AUT,0.0,EU27,2016
180,COD,Growing rice industry,AUT,0.0,EU27,2016
181,COD,"Growing vegetables, roots, tubers industry",AUT,0.0,EU27,2016
182,COD,Growing sugar beet and cane industry,AUT,0.0,EU27,2016
183,COD,Growing tobacco industry,AUT,0.0,EU27,2016
184,COD,Growing fibre crops industry,AUT,0.0,EU27,2016
185,COD,Growing crops n.e.c. industry,AUT,0.0,EU27,2016
186,COD,Growing grapes industry,AUT,0.0,EU27,2016
187,COD,Growing fruits and nuts industry,AUT,0.0,EU27,2016
