,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,7.108129744882023e-06,GAB,2016
1,COD,Growing maize industry,XAM,1.7847918907124014e-05,GAB,2016
2,COD,Growing cereals n.e.c industry,XAM,2.0708695674666364e-08,GAB,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,4.1812228786908766e-06,GAB,2016
4,COD,Growing rice industry,XAM,1.0380587137057024e-05,GAB,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.0002808481393915012,GAB,2016
6,COD,Growing sugar beet and cane industry,XAM,3.0168704038457003e-06,GAB,2016
7,COD,Growing tobacco industry,XAM,2.6859425334298502e-08,GAB,2016
8,COD,Growing fibre crops industry,XAM,1.3791388467429584e-05,GAB,2016
9,COD,Growing crops n.e.c. industry,XAM,1.7771337403760486e-06,GAB,2016
10,COD,Growing grapes industry,XAM,0.0,GAB,2016
11,COD,Growing fruits and nuts industry,XAM,8.427987120483077e-05,GAB,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.865329749998394e-05,GAB,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.492175781925783e-07,GAB,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,GAB,2016
15,COD,Raising of cattle industry,XAM,6.981907366529269e-05,GAB,2016
16,COD,Growing wheat industry,XEU,8.845232873597103e-07,GAB,2016
17,COD,Growing maize industry,XEU,1.1045387286988565e-06,GAB,2016
18,COD,Growing cereals n.e.c industry,XEU,2.7779628634526636e-09,GAB,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,5.020292882049539e-07,GAB,2016
20,COD,Growing rice industry,XEU,1.3970167960164609e-06,GAB,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.0054759609552787e-05,GAB,2016
22,COD,Growing sugar beet and cane industry,XEU,3.8530974012674446e-07,GAB,2016
23,COD,Growing tobacco industry,XEU,3.1364348960590485e-09,GAB,2016
24,COD,Growing fibre crops industry,XEU,5.588682669785497e-07,GAB,2016
25,COD,Growing crops n.e.c. industry,XEU,3.2418207974474123e-07,GAB,2016
26,COD,Growing grapes industry,XEU,0.0,GAB,2016
27,COD,Growing fruits and nuts industry,XEU,1.664705513013766e-05,GAB,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,3.057865277574797e-06,GAB,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.6044811766461186e-08,GAB,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,GAB,2016
31,COD,Raising of cattle industry,XEU,1.017515924260741e-05,GAB,2016
32,COD,Growing wheat industry,XAF,2.852596079174075e-06,GAB,2016
33,COD,Growing maize industry,XAF,8.531334255382941e-06,GAB,2016
34,COD,Growing cereals n.e.c industry,XAF,8.517306246723645e-09,GAB,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.2473042010261782e-06,GAB,2016
36,COD,Growing rice industry,XAF,4.404250248051715e-06,GAB,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.1023297291698994e-05,GAB,2016
38,COD,Growing sugar beet and cane industry,XAF,1.4519157263317073e-06,GAB,2016
39,COD,Growing tobacco industry,XAF,7.89191274156919e-09,GAB,2016
40,COD,Growing fibre crops industry,XAF,4.341134536487669e-06,GAB,2016
41,COD,Growing crops n.e.c. industry,XAF,1.129527420590212e-06,GAB,2016
42,COD,Growing grapes industry,XAF,0.0,GAB,2016
43,COD,Growing fruits and nuts industry,XAF,1.4156177513768397e-05,GAB,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.1780086102226612e-06,GAB,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.9158929696211548e-08,GAB,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,GAB,2016
47,COD,Raising of cattle industry,XAF,2.3274884898977523e-05,GAB,2016
48,COD,Growing wheat industry,XAS,8.468197756074149e-07,GAB,2016
49,COD,Growing maize industry,XAS,1.401781885509628e-06,GAB,2016
50,COD,Growing cereals n.e.c industry,XAS,2.862275518279282e-09,GAB,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,5.02204895048021e-07,GAB,2016
52,COD,Growing rice industry,XAS,1.509604139782978e-06,GAB,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.9641225492389182e-05,GAB,2016
54,COD,Growing sugar beet and cane industry,XAS,4.2865789604930083e-07,GAB,2016
55,COD,Growing tobacco industry,XAS,3.5583894041548107e-09,GAB,2016
56,COD,Growing fibre crops industry,XAS,9.217044716841127e-07,GAB,2016
57,COD,Growing crops n.e.c. industry,XAS,3.8970635801326066e-07,GAB,2016
58,COD,Growing grapes industry,XAS,0.0,GAB,2016
59,COD,Growing fruits and nuts industry,XAS,1.2086549257556093e-05,GAB,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,3.0240976364990505e-06,GAB,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.571583056236987e-08,GAB,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,GAB,2016
63,COD,Raising of cattle industry,XAS,1.1296397476509566e-05,GAB,2016
64,COD,Growing wheat industry,AFG,2.214043882817229e-07,GAB,2016
65,COD,Growing maize industry,AFG,6.501221907738278e-07,GAB,2016
66,COD,Growing cereals n.e.c industry,AFG,9.60321809972092e-10,GAB,2016
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.3065963675543802e-07,GAB,2016
68,COD,Growing rice industry,AFG,5.26410814119059e-07,GAB,2016
69,COD,"Growing vegetables, roots, tubers industry",AFG,4.183136445482726e-06,GAB,2016
70,COD,Growing sugar beet and cane industry,AFG,1.5044753526921344e-07,GAB,2016
71,COD,Growing tobacco industry,AFG,1.110260119735157e-09,GAB,2016
72,COD,Growing fibre crops industry,AFG,3.5688899328410874e-07,GAB,2016
73,COD,Growing crops n.e.c. industry,AFG,1.7329502913919622e-07,GAB,2016
74,COD,Growing grapes industry,AFG,0.0,GAB,2016
75,COD,Growing fruits and nuts industry,AFG,2.22941063161684e-06,GAB,2016
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,4.1542670159342467e-07,GAB,2016
