,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.4904743092224293e-07,ISL,2016
1,COD,Growing maize industry,XAM,5.415270716704321e-06,ISL,2016
2,COD,Growing cereals n.e.c industry,XAM,2.524671839384059e-09,ISL,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.760205693661302e-07,ISL,2016
4,COD,Growing rice industry,XAM,9.745163388732403e-07,ISL,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,7.528275645865276e-07,ISL,2016
6,COD,Growing sugar beet and cane industry,XAM,3.8881641315689514e-07,ISL,2016
7,COD,Growing tobacco industry,XAM,7.236647978111561e-09,ISL,2016
8,COD,Growing fibre crops industry,XAM,1.3656071371545762e-06,ISL,2016
9,COD,Growing crops n.e.c. industry,XAM,5.459215484861499e-07,ISL,2016
10,COD,Growing grapes industry,XAM,0.0,ISL,2016
11,COD,Growing fruits and nuts industry,XAM,1.0232296347615778e-06,ISL,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.451542942579017e-07,ISL,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.948518412939453e-10,ISL,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,ISL,2016
15,COD,Raising of cattle industry,XAM,1.2103422278686176e-05,ISL,2016
16,COD,Growing wheat industry,XEU,9.58773807628689e-07,ISL,2016
17,COD,Growing maize industry,XEU,3.6073039721664975e-05,ISL,2016
18,COD,Growing cereals n.e.c industry,XEU,1.5150449900029235e-08,ISL,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.2621046246019176e-06,ISL,2016
20,COD,Growing rice industry,XEU,6.23964874717215e-06,ISL,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,6.223501041475421e-06,ISL,2016
22,COD,Growing sugar beet and cane industry,XEU,2.272164009647949e-06,ISL,2016
23,COD,Growing tobacco industry,XEU,4.0878250474142876e-08,ISL,2016
24,COD,Growing fibre crops industry,XEU,1.2068188625450564e-05,ISL,2016
25,COD,Growing crops n.e.c. industry,XEU,3.217587918960699e-06,ISL,2016
26,COD,Growing grapes industry,XEU,0.0,ISL,2016
27,COD,Growing fruits and nuts industry,XEU,7.729530383444232e-06,ISL,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.8562083927599497e-06,ISL,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.917004871762553e-09,ISL,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,ISL,2016
31,COD,Raising of cattle industry,XEU,7.242734325175213e-05,ISL,2016
32,COD,Growing wheat industry,XAF,4.897462260412745e-08,ISL,2016
33,COD,Growing maize industry,XAF,1.370310138591723e-06,ISL,2016
34,COD,Growing cereals n.e.c industry,XAF,7.695718055218985e-10,ISL,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.0301025154654501e-07,ISL,2016
36,COD,Growing rice industry,XAF,3.3890993182505157e-07,ISL,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.8002382164757486e-07,ISL,2016
38,COD,Growing sugar beet and cane industry,XAF,1.224489089339551e-07,ISL,2016
39,COD,Growing tobacco industry,XAF,1.7551401298204288e-09,ISL,2016
40,COD,Growing fibre crops industry,XAF,2.7691128364839626e-07,ISL,2016
41,COD,Growing crops n.e.c. industry,XAF,1.7976578467031385e-07,ISL,2016
42,COD,Growing grapes industry,XAF,0.0,ISL,2016
43,COD,Growing fruits and nuts industry,XAF,2.373943185566315e-07,ISL,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,9.962955530517353e-08,ISL,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.5712962703847962e-10,ISL,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,ISL,2016
47,COD,Raising of cattle industry,XAF,3.7348076416507033e-06,ISL,2016
48,COD,Growing wheat industry,XAS,4.478076162136402e-08,ISL,2016
49,COD,Growing maize industry,XAS,2.504012893143841e-06,ISL,2016
50,COD,Growing cereals n.e.c industry,XAS,7.666210486174011e-10,ISL,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.0693908291366343e-07,ISL,2016
52,COD,Growing rice industry,XAS,2.991606271669351e-07,ISL,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.0845212721247965e-07,ISL,2016
54,COD,Growing sugar beet and cane industry,XAS,1.1823606737254438e-07,ISL,2016
55,COD,Growing tobacco industry,XAS,1.934307359076401e-09,ISL,2016
56,COD,Growing fibre crops industry,XAS,4.586725252333691e-07,ISL,2016
57,COD,Growing crops n.e.c. industry,XAS,1.620198238786718e-07,ISL,2016
58,COD,Growing grapes industry,XAS,0.0,ISL,2016
59,COD,Growing fruits and nuts industry,XAS,2.99231647215398e-07,ISL,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.2170995287750322e-07,ISL,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.97314602880721e-10,ISL,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,ISL,2016
63,COD,Raising of cattle industry,XAS,3.675574274970948e-06,ISL,2016
64,COD,Growing wheat industry,AFG,8.645564525474677e-09,ISL,2016
65,COD,Growing maize industry,AFG,3.851096491299997e-07,ISL,2016
66,COD,Growing cereals n.e.c industry,AFG,1.5192671704687705e-10,ISL,2016
67,COD,Growing leguminous crops and oil seeds industry,AFG,2.8264725160027407e-08,ISL,2016
68,COD,Growing rice industry,AFG,5.4213478481935824e-08,ISL,2016
69,COD,"Growing vegetables, roots, tubers industry",AFG,5.708971950251279e-08,ISL,2016
70,COD,Growing sugar beet and cane industry,AFG,2.2340021329217484e-08,ISL,2016
71,COD,Growing tobacco industry,AFG,4.5479083429886593e-10,ISL,2016
72,COD,Growing fibre crops industry,AFG,7.619505191830534e-08,ISL,2016
73,COD,Growing crops n.e.c. industry,AFG,3.0659958479432736e-08,ISL,2016
74,COD,Growing grapes industry,AFG,0.0,ISL,2016
75,COD,Growing fruits and nuts industry,AFG,7.650938751129251e-08,ISL,2016
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,3.1379025073612924e-08,ISL,2016
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,5.055362862029719e-11,ISL,2016
78,COD,Seeds and plant propagation industry,AFG,0.0,ISL,2016
79,COD,Raising of cattle industry,AFG,6.583733218007314e-07,ISL,2016
80,COD,Growing wheat industry,AGO,1.7202265804164483e-07,ISL,2016
81,COD,Growing maize industry,AGO,1.7782962749110082e-05,ISL,2016
82,COD,Growing cereals n.e.c industry,AGO,3.442602683741898e-09,ISL,2016
83,COD,Growing leguminous crops and oil seeds industry,AGO,4.4949940946208937e-07,ISL,2016
84,COD,Growing rice industry,AGO,1.1148183198571338e-06,ISL,2016
85,COD,"Growing vegetables, roots, tubers industry",AGO,8.949427134344125e-07,ISL,2016
86,COD,Growing sugar beet and cane industry,AGO,4.790543154806013e-07,ISL,2016
87,COD,Growing tobacco industry,AGO,8.693509307267851e-09,ISL,2016
88,COD,Growing fibre crops industry,AGO,1.6004650040982923e-06,ISL,2016
89,COD,Growing crops n.e.c. industry,AGO,6.361612878750819e-07,ISL,2016
90,COD,Growing grapes industry,AGO,0.0,ISL,2016
91,COD,Growing fruits and nuts industry,AGO,1.4016849845743921e-06,ISL,2016
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,5.237565180774176e-07,ISL,2016
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,8.31566809684615e-10,ISL,2016
94,COD,Seeds and plant propagation industry,AGO,0.0,ISL,2016
95,COD,Raising of cattle industry,AGO,1.4514459519178404e-05,ISL,2016
96,COD,Growing wheat industry,ALB,1.4385584725109366e-08,ISL,2016
97,COD,Growing maize industry,ALB,6.680251278037773e-07,ISL,2016
98,COD,Growing cereals n.e.c industry,ALB,2.511702749325123e-10,ISL,2016
99,COD,Growing leguminous crops and oil seeds industry,ALB,3.733985148259423e-08,ISL,2016
100,COD,Growing rice industry,ALB,9.428002969440615e-08,ISL,2016
101,COD,"Growing vegetables, roots, tubers industry",ALB,7.510545364384128e-08,ISL,2016
102,COD,Growing sugar beet and cane industry,ALB,3.810659160900843e-08,ISL,2016
103,COD,Growing tobacco industry,ALB,7.177813125277852e-10,ISL,2016
104,COD,Growing fibre crops industry,ALB,9.825420378237955e-08,ISL,2016
105,COD,Growing crops n.e.c. industry,ALB,5.259325976106243e-08,ISL,2016
106,COD,Growing grapes industry,ALB,0.0,ISL,2016
107,COD,Growing fruits and nuts industry,ALB,1.0216821445889541e-07,ISL,2016
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,4.394670103581567e-08,ISL,2016
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,7.008832031724447e-11,ISL,2016
110,COD,Seeds and plant propagation industry,ALB,0.0,ISL,2016
111,COD,Raising of cattle industry,ALB,1.202647319501282e-06,ISL,2016
112,COD,Growing wheat industry,ARE,4.2813863574577423e-07,ISL,2016
113,COD,Growing maize industry,ARE,3.012445823294935e-05,ISL,2016
114,COD,Growing cereals n.e.c industry,ARE,8.35520466512107e-09,ISL,2016
115,COD,Growing leguminous crops and oil seeds industry,ARE,1.666240366830185e-06,ISL,2016
116,COD,Growing rice industry,ARE,2.6289234023133123e-06,ISL,2016
117,COD,"Growing vegetables, roots, tubers industry",ARE,3.4490862947983753e-06,ISL,2016
118,COD,Growing sugar beet and cane industry,ARE,1.1893519334312855e-06,ISL,2016
119,COD,Growing tobacco industry,ARE,2.4920804641876756e-08,ISL,2016
120,COD,Growing fibre crops industry,ARE,5.823279588676773e-06,ISL,2016
121,COD,Growing crops n.e.c. industry,ARE,1.472348958492856e-06,ISL,2016
122,COD,Growing grapes industry,ARE,0.0,ISL,2016
123,COD,Growing fruits and nuts industry,ARE,5.266252184520243e-06,ISL,2016
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,2.158375512069538e-06,ISL,2016
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,3.0989546009818896e-09,ISL,2016
126,COD,Seeds and plant propagation industry,ARE,0.0,ISL,2016
127,COD,Raising of cattle industry,ARE,3.045863060891905e-05,ISL,2016
128,COD,Growing wheat industry,ARG,1.517193424323265e-07,ISL,2016
129,COD,Growing maize industry,ARG,5.950741778336755e-06,ISL,2016
130,COD,Growing cereals n.e.c industry,ARG,2.5923635851180028e-09,ISL,2016
131,COD,Growing leguminous crops and oil seeds industry,ARG,4.278108627990348e-07,ISL,2016
132,COD,Growing rice industry,ARG,9.83130681956478e-07,ISL,2016
133,COD,"Growing vegetables, roots, tubers industry",ARG,8.482240073077601e-07,ISL,2016
134,COD,Growing sugar beet and cane industry,ARG,3.972806607116644e-07,ISL,2016
135,COD,Growing tobacco industry,ARG,7.414764238685932e-09,ISL,2016
136,COD,Growing fibre crops industry,ARG,1.1962018362338054e-06,ISL,2016
137,COD,Growing crops n.e.c. industry,ARG,5.47473983600516e-07,ISL,2016
138,COD,Growing grapes industry,ARG,0.0,ISL,2016
139,COD,Growing fruits and nuts industry,ARG,1.1613336232033712e-06,ISL,2016
140,COD,"Growing beverage crops (coffee, tea etc) industry",ARG,4.946674524474331e-07,ISL,2016
141,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,7.591419727743075e-10,ISL,2016
142,COD,Seeds and plant propagation industry,ARG,0.0,ISL,2016
143,COD,Raising of cattle industry,ARG,1.1930511774854846e-05,ISL,2016
144,COD,Growing wheat industry,ARM,1.9295703215854274e-08,ISL,2016
145,COD,Growing maize industry,ARM,1.8397924183667631e-06,ISL,2016
146,COD,Growing cereals n.e.c industry,ARM,3.9432712337371425e-10,ISL,2016
147,COD,Growing leguminous crops and oil seeds industry,ARM,5.415277459587546e-08,ISL,2016
148,COD,Growing rice industry,ARM,1.2756372982219165e-07,ISL,2016
149,COD,"Growing vegetables, roots, tubers industry",ARM,1.0976684065983943e-07,ISL,2016
150,COD,Growing sugar beet and cane industry,ARM,5.2652659468247796e-08,ISL,2016
151,COD,Growing tobacco industry,ARM,9.430900226546467e-10,ISL,2016
152,COD,Growing fibre crops industry,ARM,1.6391723069455067e-07,ISL,2016
153,COD,Growing crops n.e.c. industry,ARM,7.072259707829233e-08,ISL,2016
154,COD,Growing grapes industry,ARM,0.0,ISL,2016
155,COD,Growing fruits and nuts industry,ARM,2.1240819381976123e-07,ISL,2016
156,COD,"Growing beverage crops (coffee, tea etc) industry",ARM,6.310823361659031e-08,ISL,2016
157,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,1.0318330638717483e-10,ISL,2016
158,COD,Seeds and plant propagation industry,ARM,0.0,ISL,2016
159,COD,Raising of cattle industry,ARM,1.475794738474879e-06,ISL,2016
160,COD,Growing wheat industry,AUS,1.1522517702353442e-06,ISL,2016
161,COD,Growing maize industry,AUS,6.990287207730609e-05,ISL,2016
162,COD,Growing cereals n.e.c industry,AUS,2.1081367380772746e-08,ISL,2016
163,COD,Growing leguminous crops and oil seeds industry,AUS,3.548559305634665e-06,ISL,2016
164,COD,Growing rice industry,AUS,7.37250321946441e-06,ISL,2016
165,COD,"Growing vegetables, roots, tubers industry",AUS,7.379888180000503e-06,ISL,2016
166,COD,Growing sugar beet and cane industry,AUS,3.2544146306939695e-06,ISL,2016
167,COD,Growing tobacco industry,AUS,5.7291259440889265e-08,ISL,2016
168,COD,Growing fibre crops industry,AUS,1.381459620349476e-05,ISL,2016
169,COD,Growing crops n.e.c. industry,AUS,4.100255102308278e-06,ISL,2016
170,COD,Growing grapes industry,AUS,0.0,ISL,2016
171,COD,Growing fruits and nuts industry,AUS,1.1041945067490813e-05,ISL,2016
172,COD,"Growing beverage crops (coffee, tea etc) industry",AUS,4.522244114183759e-06,ISL,2016
173,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,7.108043924209892e-09,ISL,2016
174,COD,Seeds and plant propagation industry,AUS,0.0,ISL,2016
175,COD,Raising of cattle industry,AUS,8.567998563118157e-05,ISL,2016
176,COD,Growing wheat industry,AUT,1.2478761451396195e-06,ISL,2016
177,COD,Growing maize industry,AUT,5.644383557685815e-05,ISL,2016
178,COD,Growing cereals n.e.c industry,AUT,2.1640651206854243e-08,ISL,2016
179,COD,Growing leguminous crops and oil seeds industry,AUT,3.260501857363473e-06,ISL,2016
180,COD,Growing rice industry,AUT,8.175076796995965e-06,ISL,2016
181,COD,"Growing vegetables, roots, tubers industry",AUT,6.503178721158595e-06,ISL,2016
182,COD,Growing sugar beet and cane industry,AUT,3.4710607980311085e-06,ISL,2016
183,COD,Growing tobacco industry,AUT,5.942634566741938e-08,ISL,2016
184,COD,Growing fibre crops industry,AUT,1.1843109121361254e-05,ISL,2016
185,COD,Growing crops n.e.c. industry,AUT,4.558517848879379e-06,ISL,2016
186,COD,Growing grapes industry,AUT,0.0,ISL,2016
187,COD,Growing fruits and nuts industry,AUT,9.362222264924452e-06,ISL,2016
188,COD,"Growing beverage crops (coffee, tea etc) industry",AUT,4.234026627001791e-06,ISL,2016
189,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,5.899774030978005e-09,ISL,2016
190,COD,Seeds and plant propagation industry,AUT,0.0,ISL,2016
191,COD,Raising of cattle industry,AUT,9.68522440941611e-05,ISL,2016
192,COD,Growing wheat industry,AZE,5.161524705357711e-08,ISL,2016
193,COD,Growing maize industry,AZE,2.3684383803842437e-06,ISL,2016
194,COD,Growing cereals n.e.c industry,AZE,8.868226306598079e-10,ISL,2016
