,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.5062084251572852e-06,LAO,2016
1,COD,Growing maize industry,XAM,9.955277993915448e-06,LAO,2016
2,COD,Growing cereals n.e.c industry,XAM,1.9463136298147895e-08,LAO,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.8115985700895064e-06,LAO,2016
4,COD,Growing rice industry,XAM,1.1473422119483273e-05,LAO,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.995425350521474e-06,LAO,2016
6,COD,Growing sugar beet and cane industry,XAM,4.284963486495808e-06,LAO,2016
7,COD,Growing tobacco industry,XAM,2.4900381122732633e-08,LAO,2016
8,COD,Growing fibre crops industry,XAM,1.8420487187833833e-06,LAO,2016
9,COD,Growing crops n.e.c. industry,XAM,5.835955297967366e-06,LAO,2016
10,COD,Growing grapes industry,XAM,0.0,LAO,2016
11,COD,Growing fruits and nuts industry,XAM,7.371669226393895e-07,LAO,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.6041017948248685e-07,LAO,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.0040401744570168e-09,LAO,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,LAO,2016
15,COD,Raising of cattle industry,XAM,0.00012048838269527379,LAO,2016
16,COD,Growing wheat industry,XEU,4.015401259673918e-07,LAO,2016
17,COD,Growing maize industry,XEU,2.5779900925211758e-06,LAO,2016
18,COD,Growing cereals n.e.c industry,XEU,5.1784039744713285e-09,LAO,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,4.815745279651137e-07,LAO,2016
20,COD,Growing rice industry,XEU,3.1070612858352896e-06,LAO,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,5.331093748721457e-07,LAO,2016
22,COD,Growing sugar beet and cane industry,XEU,1.1535481961457172e-06,LAO,2016
23,COD,Growing tobacco industry,XEU,6.585040492489092e-09,LAO,2016
24,COD,Growing fibre crops industry,XEU,4.702724046966727e-07,LAO,2016
25,COD,Growing crops n.e.c. industry,XEU,1.5514062298516536e-06,LAO,2016
26,COD,Growing grapes industry,XEU,0.0,LAO,2016
27,COD,Growing fruits and nuts industry,XEU,1.843311958597474e-07,LAO,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.196405079544778e-07,LAO,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.6497153454123207e-10,LAO,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,LAO,2016
31,COD,Raising of cattle industry,XEU,3.166555551397137e-05,LAO,2016
32,COD,Growing wheat industry,XAF,1.0774238466345718e-06,LAO,2016
33,COD,Growing maize industry,XAF,7.749508267307685e-06,LAO,2016
34,COD,Growing cereals n.e.c industry,XAF,1.3998508375081775e-08,LAO,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.3316248943818462e-06,LAO,2016
36,COD,Growing rice industry,XAF,8.232063818265463e-06,LAO,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.6326870898596128e-06,LAO,2016
38,COD,Growing sugar beet and cane industry,XAF,3.107686936340373e-06,LAO,2016
39,COD,Growing tobacco industry,XAF,1.8048396336594407e-08,LAO,2016
40,COD,Growing fibre crops industry,XAF,1.396609748849757e-06,LAO,2016
41,COD,Growing crops n.e.c. industry,XAF,4.215266401630743e-06,LAO,2016
42,COD,Growing grapes industry,XAF,0.0,LAO,2016
43,COD,Growing fruits and nuts industry,XAF,6.704182300044851e-07,LAO,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.773603313336963e-07,LAO,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,8.969797754071212e-10,LAO,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,LAO,2016
47,COD,Raising of cattle industry,XAF,8.692226242849104e-05,LAO,2016
48,COD,Growing wheat industry,XAS,4.7529544837297725e-06,LAO,2016
49,COD,Growing maize industry,XAS,4.4549544736578555e-05,LAO,2016
50,COD,Growing cereals n.e.c industry,XAS,6.455906620753659e-08,LAO,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,6.358284462978286e-06,LAO,2016
52,COD,Growing rice industry,XAS,3.7716165361482106e-05,LAO,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.1994850174294631e-05,LAO,2016
54,COD,Growing sugar beet and cane industry,XAS,1.6805676144336517e-05,LAO,2016
55,COD,Growing tobacco industry,XAS,8.764351300494303e-08,LAO,2016
56,COD,Growing fibre crops industry,XAS,7.744533888686321e-06,LAO,2016
57,COD,Growing crops n.e.c. industry,XAS,1.966447835273793e-05,LAO,2016
58,COD,Growing grapes industry,XAS,0.0,LAO,2016
59,COD,Growing fruits and nuts industry,XAS,5.088182778071679e-06,LAO,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,2.5606355070320257e-06,LAO,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,7.764575583719154e-09,LAO,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,LAO,2016
63,COD,Raising of cattle industry,XAS,0.00039731958308683466,LAO,2016
64,COD,Growing wheat industry,AFG,1.909604891606057e-06,LAO,2016
65,COD,Growing maize industry,AFG,1.0752454933176047e-05,LAO,2016
66,COD,Growing cereals n.e.c industry,AFG,2.3532607385101137e-08,LAO,2016
