,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,4.9724700867273814e-06,PAN,2016
1,COD,Growing maize industry,XAM,0.00035833469245051525,PAN,2016
2,COD,Growing cereals n.e.c industry,XAM,7.160899817570353e-08,PAN,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.111811012339084e-05,PAN,2016
4,COD,Growing rice industry,XAM,2.9246143849776286e-05,PAN,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.000195749896127695,PAN,2016
6,COD,Growing sugar beet and cane industry,XAM,2.4775428684374056e-05,PAN,2016
7,COD,Growing tobacco industry,XAM,1.7799344844778284e-07,PAN,2016
8,COD,Growing fibre crops industry,XAM,0.00011488562252763946,PAN,2016
9,COD,Growing crops n.e.c. industry,XAM,2.36956834542768e-05,PAN,2016
10,COD,Growing grapes industry,XAM,0.0,PAN,2016
11,COD,Growing fruits and nuts industry,XAM,0.0001250554353900026,PAN,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.149292409224101e-05,PAN,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,9.874830047024234e-08,PAN,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,PAN,2016
15,COD,Raising of cattle industry,XAM,0.00025915263264650947,PAN,2016
16,COD,Growing wheat industry,XEU,1.245972870081785e-06,PAN,2016
17,COD,Growing maize industry,XEU,9.763767395995017e-05,PAN,2016
18,COD,Growing cereals n.e.c industry,XEU,1.7679387792006868e-08,PAN,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,8.932653233339039e-06,PAN,2016
20,COD,Growing rice industry,XEU,7.302311029321737e-06,PAN,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,5.219275528949883e-05,PAN,2016
22,COD,Growing sugar beet and cane industry,XEU,6.499007207993995e-06,PAN,2016
23,COD,Growing tobacco industry,XEU,4.3140066855612924e-08,PAN,2016
24,COD,Growing fibre crops industry,XEU,3.787738132553901e-05,PAN,2016
25,COD,Growing crops n.e.c. industry,XEU,6.318078450936239e-06,PAN,2016
26,COD,Growing grapes industry,XEU,0.0,PAN,2016
27,COD,Growing fruits and nuts industry,XEU,3.5696307219274494e-05,PAN,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,9.499682386376709e-06,PAN,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.6703453495420174e-08,PAN,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,PAN,2016
31,COD,Raising of cattle industry,XEU,5.8752427533963496e-05,PAN,2016
32,COD,Growing wheat industry,XAF,1.3009340280950063e-07,PAN,2016
33,COD,Growing maize industry,XAF,9.934812347058292e-06,PAN,2016
34,COD,Growing cereals n.e.c industry,XAF,1.953161907911189e-09,PAN,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,6.012881765778726e-07,PAN,2016
36,COD,Growing rice industry,XAF,9.513997004121888e-07,PAN,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,6.711011259350227e-06,PAN,2016
38,COD,Growing sugar beet and cane industry,XAF,4.0273541593166944e-07,PAN,2016
39,COD,Growing tobacco industry,XAF,2.9933325101427497e-09,PAN,2016
40,COD,Growing fibre crops industry,XAF,1.2335118129157159e-06,PAN,2016
41,COD,Growing crops n.e.c. industry,XAF,5.252889215321303e-07,PAN,2016
42,COD,Growing grapes industry,XAF,0.0,PAN,2016
43,COD,Growing fruits and nuts industry,XAF,1.710757567450682e-06,PAN,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,7.278499765841321e-07,PAN,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.858419603349408e-09,PAN,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,PAN,2016
47,COD,Raising of cattle industry,XAF,8.59413589762771e-06,PAN,2016
48,COD,Growing wheat industry,XAS,2.3958712329874247e-07,PAN,2016
49,COD,Growing maize industry,XAS,2.401383935012008e-05,PAN,2016
50,COD,Growing cereals n.e.c industry,XAS,3.2800042023584263e-09,PAN,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,2.8731054774731453e-06,PAN,2016
52,COD,Growing rice industry,XAS,1.8907308825724983e-06,PAN,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.6989348773732293e-05,PAN,2016
54,COD,Growing sugar beet and cane industry,XAS,7.037883540042939e-07,PAN,2016
55,COD,Growing tobacco industry,XAS,5.9361561240432696e-09,PAN,2016
56,COD,Growing fibre crops industry,XAS,3.214551809016673e-06,PAN,2016
57,COD,Growing crops n.e.c. industry,XAS,7.279489323055305e-07,PAN,2016
58,COD,Growing grapes industry,XAS,0.0,PAN,2016
59,COD,Growing fruits and nuts industry,XAS,5.25670452806614e-06,PAN,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.8974254474045808e-06,PAN,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,8.352281509372732e-09,PAN,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,PAN,2016
63,COD,Raising of cattle industry,XAS,1.1284516121613445e-05,PAN,2016
64,COD,Growing wheat industry,AFG,4.0803445789902194e-08,PAN,2016
65,COD,Growing maize industry,AFG,1.4941369312648162e-06,PAN,2016
66,COD,Growing cereals n.e.c industry,AFG,5.946672720858941e-10,PAN,2016
67,COD,Growing leguminous crops and oil seeds industry,AFG,1.4665943577282606e-07,PAN,2016
68,COD,Growing rice industry,AFG,2.953582331449049e-07,PAN,2016
69,COD,"Growing vegetables, roots, tubers industry",AFG,8.799799175109805e-07,PAN,2016
70,COD,Growing sugar beet and cane industry,AFG,1.2559980538289203e-07,PAN,2016
71,COD,Growing tobacco industry,AFG,7.935138288037332e-10,PAN,2016
72,COD,Growing fibre crops industry,AFG,4.0454056830531116e-07,PAN,2016
73,COD,Growing crops n.e.c. industry,AFG,1.763085289228278e-07,PAN,2016
74,COD,Growing grapes industry,AFG,0.0,PAN,2016
75,COD,Growing fruits and nuts industry,AFG,4.058338442301341e-07,PAN,2016
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,1.3596535217972416e-07,PAN,2016
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,4.1820144619969927e-10,PAN,2016
78,COD,Seeds and plant propagation industry,AFG,0.0,PAN,2016
79,COD,Raising of cattle industry,AFG,2.2993916522599156e-06,PAN,2016
80,COD,Growing wheat industry,AGO,6.858553727205967e-06,PAN,2016
81,COD,Growing maize industry,AGO,8.204202726420993e-05,PAN,2016
82,COD,Growing cereals n.e.c industry,AGO,1.0123241741119771e-07,PAN,2016
83,COD,Growing leguminous crops and oil seeds industry,AGO,1.1364316630972958e-05,PAN,2016
84,COD,Growing rice industry,AGO,6.12443055334902e-05,PAN,2016
85,COD,"Growing vegetables, roots, tubers industry",AGO,3.4221750744328943e-05,PAN,2016
86,COD,Growing sugar beet and cane industry,AGO,3.208893766335157e-05,PAN,2016
87,COD,Growing tobacco industry,AGO,1.1652634198901126e-07,PAN,2016
88,COD,Growing fibre crops industry,AGO,1.7619019098713983e-05,PAN,2016
89,COD,Growing crops n.e.c. industry,AGO,3.122224141191498e-05,PAN,2016
90,COD,Growing grapes industry,AGO,0.0,PAN,2016
91,COD,Growing fruits and nuts industry,AGO,1.4911499294089531e-05,PAN,2016
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,5.857233374364589e-06,PAN,2016
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.5928206454921856e-08,PAN,2016
94,COD,Seeds and plant propagation industry,AGO,0.0,PAN,2016
95,COD,Raising of cattle industry,AGO,0.0004979039923424097,PAN,2016
96,COD,Growing wheat industry,ALB,4.475089093887592e-08,PAN,2016
97,COD,Growing maize industry,ALB,2.731090770187727e-06,PAN,2016
98,COD,Growing cereals n.e.c industry,ALB,6.560927967528053e-10,PAN,2016
99,COD,Growing leguminous crops and oil seeds industry,ALB,2.1949699900672888e-07,PAN,2016
100,COD,Growing rice industry,ALB,2.9251017080450517e-07,PAN,2016
101,COD,"Growing vegetables, roots, tubers industry",ALB,1.7173389592635346e-06,PAN,2016
102,COD,Growing sugar beet and cane industry,ALB,1.6799767285234283e-07,PAN,2016
103,COD,Growing tobacco industry,ALB,1.2595008298730243e-09,PAN,2016
104,COD,Growing fibre crops industry,ALB,7.985287443331881e-07,PAN,2016
105,COD,Growing crops n.e.c. industry,ALB,1.8720989957615268e-07,PAN,2016
106,COD,Growing grapes industry,ALB,0.0,PAN,2016
107,COD,Growing fruits and nuts industry,ALB,8.518967594841554e-07,PAN,2016
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,2.673251990645525e-07,PAN,2016
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,8.070903170110923e-10,PAN,2016
110,COD,Seeds and plant propagation industry,ALB,0.0,PAN,2016
111,COD,Raising of cattle industry,ALB,2.6431916532399077e-06,PAN,2016
112,COD,Growing wheat industry,ARE,8.493419934322862e-07,PAN,2016
113,COD,Growing maize industry,ARE,5.7180881816039254e-05,PAN,2016
114,COD,Growing cereals n.e.c industry,ARE,1.1972110579797786e-08,PAN,2016
115,COD,Growing leguminous crops and oil seeds industry,ARE,6.26246231844045e-06,PAN,2016
116,COD,Growing rice industry,ARE,6.16386271989623e-06,PAN,2016
117,COD,"Growing vegetables, roots, tubers industry",ARE,3.692728107977562e-05,PAN,2016
118,COD,Growing sugar beet and cane industry,ARE,2.85368791708188e-06,PAN,2016
119,COD,Growing tobacco industry,ARE,2.1706738458989022e-08,PAN,2016
120,COD,Growing fibre crops industry,ARE,1.3142881076873412e-05,PAN,2016
121,COD,Growing crops n.e.c. industry,ARE,3.316960221615967e-06,PAN,2016
122,COD,Growing grapes industry,ARE,0.0,PAN,2016
123,COD,Growing fruits and nuts industry,ARE,1.6074431600862392e-05,PAN,2016
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,5.207027156457804e-06,PAN,2016
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.809442204361332e-08,PAN,2016
126,COD,Seeds and plant propagation industry,ARE,0.0,PAN,2016
127,COD,Raising of cattle industry,ARE,4.712985184320818e-05,PAN,2016
128,COD,Growing wheat industry,ARG,2.7379498421631587e-06,PAN,2016
129,COD,Growing maize industry,ARG,0.00016093893216109886,PAN,2016
130,COD,Growing cereals n.e.c industry,ARG,3.6873218111725815e-08,PAN,2016
131,COD,Growing leguminous crops and oil seeds industry,ARG,1.9800150277465605e-05,PAN,2016
132,COD,Growing rice industry,ARG,1.604792180313949e-05,PAN,2016
133,COD,"Growing vegetables, roots, tubers industry",ARG,7.88859136143177e-05,PAN,2016
134,COD,Growing sugar beet and cane industry,ARG,1.2753871195592444e-05,PAN,2016
