,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.184026022353277e-05,RUS,2016
1,COD,Growing maize industry,XAM,0.0007108029151228836,RUS,2016
2,COD,Growing cereals n.e.c industry,XAM,4.086697562954552e-07,RUS,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,8.651990793119945e-05,RUS,2016
4,COD,Growing rice industry,XAM,5.821746481504036e-05,RUS,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.0003791664583185428,RUS,2016
6,COD,Growing sugar beet and cane industry,XAM,4.691179938492548e-05,RUS,2016
7,COD,Growing tobacco industry,XAM,2.9473664907075534e-06,RUS,2016
8,COD,Growing fibre crops industry,XAM,0.00016893909871758205,RUS,2016
9,COD,Growing crops n.e.c. industry,XAM,3.353308191578795e-05,RUS,2016
10,COD,Growing grapes industry,XAM,0.0,RUS,2016
11,COD,Growing fruits and nuts industry,XAM,0.0017994166428321869,RUS,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0001431526049976491,RUS,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.89380812167843e-07,RUS,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,RUS,2016
15,COD,Raising of cattle industry,XAM,0.00024398760296236895,RUS,2016
16,COD,Growing wheat industry,XEU,2.01317096567682e-06,RUS,2016
17,COD,Growing maize industry,XEU,4.814300001358365e-05,RUS,2016
18,COD,Growing cereals n.e.c industry,XEU,3.152911761697618e-08,RUS,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,6.366355486267079e-06,RUS,2016
20,COD,Growing rice industry,XEU,4.634293848845478e-06,RUS,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.06753360293575e-05,RUS,2016
22,COD,Growing sugar beet and cane industry,XEU,3.550766851729205e-06,RUS,2016
23,COD,Growing tobacco industry,XEU,2.3254895214757663e-07,RUS,2016
24,COD,Growing fibre crops industry,XEU,1.095228848112526e-05,RUS,2016
25,COD,Growing crops n.e.c. industry,XEU,2.2685971067198027e-06,RUS,2016
26,COD,Growing grapes industry,XEU,0.0,RUS,2016
27,COD,Growing fruits and nuts industry,XEU,0.00013986356603592866,RUS,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.0779674034093393e-05,RUS,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.2283148579745046e-08,RUS,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,RUS,2016
31,COD,Raising of cattle industry,XEU,1.7150790886189117e-05,RUS,2016
32,COD,Growing wheat industry,XAF,2.6434082989188306e-06,RUS,2016
33,COD,Growing maize industry,XAF,4.679966244185315e-05,RUS,2016
34,COD,Growing cereals n.e.c industry,XAF,2.739550919649864e-08,RUS,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,6.989247961964488e-06,RUS,2016
36,COD,Growing rice industry,XAF,5.495471860267645e-06,RUS,2016
