,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,8.512411150982016e-07,SRB,2016
1,COD,Growing maize industry,XAM,3.133735688679519e-05,SRB,2016
2,COD,Growing cereals n.e.c industry,XAM,7.030525255465603e-09,SRB,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.9781237110744055e-06,SRB,2016
4,COD,Growing rice industry,XAM,2.6520032164024927e-06,SRB,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.1262972707215327e-05,SRB,2016
6,COD,Growing sugar beet and cane industry,XAM,1.2566759425680408e-06,SRB,2016
7,COD,Growing tobacco industry,XAM,1.7377096598080843e-08,SRB,2016
8,COD,Growing fibre crops industry,XAM,4.110425278185818e-06,SRB,2016
9,COD,Growing crops n.e.c. industry,XAM,1.3425572560744303e-06,SRB,2016
10,COD,Growing grapes industry,XAM,0.0,SRB,2016
11,COD,Growing fruits and nuts industry,XAM,6.8299989137232454e-06,SRB,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,3.7590363097313183e-06,SRB,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.525661830194265e-09,SRB,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,SRB,2016
15,COD,Raising of cattle industry,XAM,1.950696127359504e-05,SRB,2016
16,COD,Growing wheat industry,XEU,1.698997119286561e-06,SRB,2016
17,COD,Growing maize industry,XEU,0.00013574260690134496,SRB,2016
18,COD,Growing cereals n.e.c industry,XEU,2.2722423647467183e-08,SRB,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.697315559030862e-06,SRB,2016
20,COD,Growing rice industry,XEU,1.2521632405763827e-05,SRB,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.766411559101047e-05,SRB,2016
22,COD,Growing sugar beet and cane industry,XEU,4.388299316814542e-06,SRB,2016
23,COD,Growing tobacco industry,XEU,3.431006402663723e-08,SRB,2016
24,COD,Growing fibre crops industry,XEU,2.5126961406910286e-06,SRB,2016
25,COD,Growing crops n.e.c. industry,XEU,6.589203795974729e-06,SRB,2016
26,COD,Growing grapes industry,XEU,0.0,SRB,2016
27,COD,Growing fruits and nuts industry,XEU,4.958867415231894e-06,SRB,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.9456118637266133e-05,SRB,2016
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,7.946186944631417e-09,SRB,2016
30,COD,Seeds and plant propagation industry,XEU,0.0,SRB,2016
31,COD,Raising of cattle industry,XEU,0.0001137253253918064,SRB,2016
32,COD,Growing wheat industry,XAF,4.7038957031831715e-08,SRB,2016
33,COD,Growing maize industry,XAF,2.553206568231973e-06,SRB,2016
34,COD,Growing cereals n.e.c industry,XAF,5.843152893046001e-10,SRB,2016
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.341233063114688e-07,SRB,2016
36,COD,Growing rice industry,XAF,2.0062540707749074e-07,SRB,2016
37,COD,"Growing vegetables, roots, tubers industry",XAF,7.407220482789137e-07,SRB,2016
38,COD,Growing sugar beet and cane industry,XAF,1.0327887305328459e-07,SRB,2016
39,COD,Growing tobacco industry,XAF,1.2420075205704757e-09,SRB,2016
40,COD,Growing fibre crops industry,XAF,2.0510318672747863e-07,SRB,2016
41,COD,Growing crops n.e.c. industry,XAF,1.4393011359810778e-07,SRB,2016
42,COD,Growing grapes industry,XAF,0.0,SRB,2016
43,COD,Growing fruits and nuts industry,XAF,4.049178886353359e-07,SRB,2016
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,3.549903014085922e-07,SRB,2016
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.4398993757232045e-10,SRB,2016
46,COD,Seeds and plant propagation industry,XAF,0.0,SRB,2016
47,COD,Raising of cattle industry,XAF,1.8010593779713923e-06,SRB,2016
48,COD,Growing wheat industry,XAS,5.5563282430041066e-08,SRB,2016
49,COD,Growing maize industry,XAS,3.374207644032231e-06,SRB,2016
50,COD,Growing cereals n.e.c industry,XAS,6.791695139833943e-10,SRB,2016
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.6961254154141997e-07,SRB,2016
52,COD,Growing rice industry,XAS,2.1787136450782423e-07,SRB,2016
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.0195330242837004e-06,SRB,2016
54,COD,Growing sugar beet and cane industry,XAS,1.2457806626662786e-07,SRB,2016
55,COD,Growing tobacco industry,XAS,1.500926219135981e-09,SRB,2016
56,COD,Growing fibre crops industry,XAS,2.279415347853221e-07,SRB,2016
57,COD,Growing crops n.e.c. industry,XAS,1.716069057191297e-07,SRB,2016
58,COD,Growing grapes industry,XAS,0.0,SRB,2016
59,COD,Growing fruits and nuts industry,XAS,4.986614765028195e-07,SRB,2016
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,5.246860707584636e-07,SRB,2016
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.544686956741971e-10,SRB,2016
62,COD,Seeds and plant propagation industry,XAS,0.0,SRB,2016
63,COD,Raising of cattle industry,XAS,1.929545301362327e-06,SRB,2016
64,COD,Growing wheat industry,AFG,2.1262371931406833e-08,SRB,2016
65,COD,Growing maize industry,AFG,1.6452740276785582e-06,SRB,2016
66,COD,Growing cereals n.e.c industry,AFG,2.766936150876586e-10,SRB,2016
67,COD,Growing leguminous crops and oil seeds industry,AFG,6.266656578145649e-08,SRB,2016
68,COD,Growing rice industry,AFG,1.0535191514925402e-07,SRB,2016
69,COD,"Growing vegetables, roots, tubers industry",AFG,3.4593981607107475e-07,SRB,2016
70,COD,Growing sugar beet and cane industry,AFG,5.521112476998593e-08,SRB,2016
71,COD,Growing tobacco industry,AFG,5.276685946867876e-10,SRB,2016
72,COD,Growing fibre crops industry,AFG,7.322087529289288e-08,SRB,2016
73,COD,Growing crops n.e.c. industry,AFG,8.810019863060873e-08,SRB,2016
74,COD,Growing grapes industry,AFG,0.0,SRB,2016
75,COD,Growing fruits and nuts industry,AFG,1.541371008292152e-07,SRB,2016
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,2.7178135939527144e-07,SRB,2016
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.6095436275473148e-10,SRB,2016
