,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,5.59485384879664e-06,XEU,2016
1,COD,Growing maize industry,XAM,0.0004552142395973782,XEU,2016
2,COD,Growing cereals n.e.c industry,XAM,1.010363415150532e-07,XEU,2016
3,COD,Growing leguminous crops and oil seeds industry,XAM,9.675343563634537e-06,XEU,2016
4,COD,Growing rice industry,XAM,2.7100423154032286e-05,XEU,2016
5,COD,"Growing vegetables, roots, tubers industry",XAM,2.0587117365355696e-05,XEU,2016
6,COD,Growing sugar beet and cane industry,XAM,1.012238363006548e-05,XEU,2016
7,COD,Growing tobacco industry,XAM,1.4294308386372132e-07,XEU,2016
8,COD,Growing fibre crops industry,XAM,1.3857804774839601e-05,XEU,2016
9,COD,Growing crops n.e.c. industry,XAM,1.8000833089173524e-05,XEU,2016
10,COD,Growing grapes industry,XAM,0.0,XEU,2016
11,COD,Growing fruits and nuts industry,XAM,2.13495522680648e-05,XEU,2016
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0006286521037784192,XEU,2016
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.2874847289687675e-08,XEU,2016
14,COD,Seeds and plant propagation industry,XAM,0.0,XEU,2016
15,COD,Raising of cattle industry,XAM,0.00032993697832296807,XEU,2016
16,COD,Growing wheat industry,XEU,0.0,XEU,2016
17,COD,Growing maize industry,XEU,0.0,XEU,2016
18,COD,Growing cereals n.e.c industry,XEU,0.0,XEU,2016
19,COD,Growing leguminous crops and oil seeds industry,XEU,0.0,XEU,2016
20,COD,Growing rice industry,XEU,0.0,XEU,2016
21,COD,"Growing vegetables, roots, tubers industry",XEU,0.0,XEU,2016
22,COD,Growing sugar beet and cane industry,XEU,0.0,XEU,2016
23,COD,Growing tobacco industry,XEU,0.0,XEU,2016
24,COD,Growing fibre crops industry,XEU,0.0,XEU,2016
25,COD,Growing crops n.e.c. industry,XEU,0.0,XEU,2016
26,COD,Growing grapes industry,XEU,0.0,XEU,2016
27,COD,Growing fruits and nuts industry,XEU,0.0,XEU,2016
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0,XEU,2016
