,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.4853211608928084e-07,BOL,2018
1,COD,Growing maize industry,XAM,1.6324159247525693e-06,BOL,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,BOL,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,5.630065267228283e-07,BOL,2018
4,COD,Growing rice industry,XAM,9.29918781015274e-07,BOL,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,9.54863544734346e-07,BOL,2018
6,COD,Growing sugar beet and cane industry,XAM,5.059396674198449e-07,BOL,2018
7,COD,Growing tobacco industry,XAM,1.6575508196143678e-09,BOL,2018
8,COD,Growing fibre crops industry,XAM,9.908601217933265e-08,BOL,2018
9,COD,Growing crops n.e.c. industry,XAM,1.3375654482604969e-06,BOL,2018
10,COD,Growing grapes industry,XAM,0.0,BOL,2018
11,COD,Growing fruits and nuts industry,XAM,2.406031299497622e-07,BOL,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.068119844505471e-07,BOL,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.2092540650086695e-09,BOL,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,BOL,2018
15,COD,Raising of cattle industry,XAM,6.227217296756567e-05,BOL,2018
16,COD,Growing wheat industry,XEU,7.2297394695525e-07,BOL,2018
17,COD,Growing maize industry,XEU,3.9272447592122534e-06,BOL,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,BOL,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.5844138056838095e-06,BOL,2018
20,COD,Growing rice industry,XEU,2.869695667085001e-06,BOL,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.3232651144943502e-06,BOL,2018
22,COD,Growing sugar beet and cane industry,XEU,1.267535133590137e-06,BOL,2018
23,COD,Growing tobacco industry,XEU,4.300571125104579e-09,BOL,2018
24,COD,Growing fibre crops industry,XEU,1.9536481563092082e-07,BOL,2018
25,COD,Growing crops n.e.c. industry,XEU,7.070770355849189e-06,BOL,2018
26,COD,Growing grapes industry,XEU,0.0,BOL,2018
27,COD,Growing fruits and nuts industry,XEU,3.277138444767751e-07,BOL,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,7.970224928528274e-07,BOL,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.524335082491349e-09,BOL,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,BOL,2018
31,COD,Raising of cattle industry,XEU,0.00020851920652517893,BOL,2018
32,COD,Growing wheat industry,XAF,4.5188502321124095e-08,BOL,2018
33,COD,Growing maize industry,XAF,2.5616647364393405e-07,BOL,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,BOL,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.0196242341116554e-07,BOL,2018
36,COD,Growing rice industry,XAF,1.747078825346867e-07,BOL,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.462114018026951e-07,BOL,2018
38,COD,Growing sugar beet and cane industry,XAF,8.70067822618773e-08,BOL,2018
39,COD,Growing tobacco industry,XAF,2.642637183864337e-10,BOL,2018
40,COD,Growing fibre crops industry,XAF,1.4578714721364463e-08,BOL,2018
41,COD,Growing crops n.e.c. industry,XAF,2.5665405775061017e-07,BOL,2018
42,COD,Growing grapes industry,XAF,0.0,BOL,2018
43,COD,Growing fruits and nuts industry,XAF,3.155155786151185e-08,BOL,2018
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,6.294696158422444e-08,BOL,2018
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.525070524373523e-10,BOL,2018
46,COD,Seeds and plant propagation industry,XAF,0.0,BOL,2018
47,COD,Raising of cattle industry,XAF,1.0900658467457642e-05,BOL,2018
48,COD,Growing wheat industry,XAS,7.994976697231722e-08,BOL,2018
49,COD,Growing maize industry,XAS,5.386477879747622e-07,BOL,2018
50,COD,Growing cereals n.e.c industry,XAS,0.0,BOL,2018
51,COD,Growing leguminous crops and oil seeds industry,XAS,1.8168339779077417e-07,BOL,2018
52,COD,Growing rice industry,XAS,2.805368341158646e-07,BOL,2018
53,COD,"Growing vegetables, roots, tubers industry",XAS,3.451181153030267e-07,BOL,2018
54,COD,Growing sugar beet and cane industry,XAS,1.5789758399771047e-07,BOL,2018
55,COD,Growing tobacco industry,XAS,5.037642530163521e-10,BOL,2018
56,COD,Growing fibre crops industry,XAS,3.073287466458263e-08,BOL,2018
57,COD,Growing crops n.e.c. industry,XAS,4.2441819256139866e-07,BOL,2018
58,COD,Growing grapes industry,XAS,0.0,BOL,2018
59,COD,Growing fruits and nuts industry,XAS,8.511090418349792e-08,BOL,2018
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.52322121690835e-07,BOL,2018
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.504819210788469e-10,BOL,2018
