,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,4.896389860205587e-06,BRA,2018
1,COD,Growing maize industry,XAM,0.00010516945828166378,BRA,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,BRA,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.4612198593851888e-05,BRA,2018
4,COD,Growing rice industry,XAM,6.008614515925522e-06,BRA,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.00014844125610728091,BRA,2018
6,COD,Growing sugar beet and cane industry,XAM,1.2883784465026036e-05,BRA,2018
7,COD,Growing tobacco industry,XAM,9.80154184014712e-08,BRA,2018
8,COD,Growing fibre crops industry,XAM,1.5637335700587215e-05,BRA,2018
9,COD,Growing crops n.e.c. industry,XAM,1.4966652256705582e-05,BRA,2018
10,COD,Growing grapes industry,XAM,0.0,BRA,2018
11,COD,Growing fruits and nuts industry,XAM,1.9427383482504427e-05,BRA,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.536486433483557e-05,BRA,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.731303430063794e-07,BRA,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,BRA,2018
15,COD,Raising of cattle industry,XAM,0.00023245745344544153,BRA,2018
16,COD,Growing wheat industry,XEU,4.843149652988008e-07,BRA,2018
17,COD,Growing maize industry,XEU,9.569373209965647e-06,BRA,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,BRA,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.3975035284112082e-06,BRA,2018
20,COD,Growing rice industry,XEU,6.144110383039834e-07,BRA,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,1.4499092482661138e-05,BRA,2018
22,COD,Growing sugar beet and cane industry,XEU,1.2133780827391974e-06,BRA,2018
23,COD,Growing tobacco industry,XEU,9.55331504033506e-09,BRA,2018
24,COD,Growing fibre crops industry,XEU,9.995287928756544e-07,BRA,2018
25,COD,Growing crops n.e.c. industry,XEU,1.4570202384221681e-06,BRA,2018
26,COD,Growing grapes industry,XEU,0.0,BRA,2018
27,COD,Growing fruits and nuts industry,XEU,1.741776062964152e-06,BRA,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,4.292155536075801e-06,BRA,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.6618873530854763e-08,BRA,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,BRA,2018
31,COD,Raising of cattle industry,XEU,2.4709227560902095e-05,BRA,2018
32,COD,Growing wheat industry,XAF,1.8608019929524531e-07,BRA,2018
33,COD,Growing maize industry,XAF,7.194662153340737e-06,BRA,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,BRA,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.032640032156068e-06,BRA,2018
36,COD,Growing rice industry,XAF,3.839945152287918e-07,BRA,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,5.343833200261045e-06,BRA,2018
38,COD,Growing sugar beet and cane industry,XAF,7.575760658533058e-07,BRA,2018
39,COD,Growing tobacco industry,XAF,3.3195141434504008e-09,BRA,2018
40,COD,Growing fibre crops industry,XAF,1.7551953578217119e-06,BRA,2018
41,COD,Growing crops n.e.c. industry,XAF,1.0945346155480275e-06,BRA,2018
42,COD,Growing grapes industry,XAF,0.0,BRA,2018
43,COD,Growing fruits and nuts industry,XAF,1.5794312474669492e-06,BRA,2018
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,2.8179925774102443e-06,BRA,2018
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.065871916513241e-08,BRA,2018
