,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.5908485769041817e-06,CHE,2018
1,COD,Growing maize industry,XAM,0.00016982477762311296,CHE,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,CHE,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,6.341514875634901e-05,CHE,2018
4,COD,Growing rice industry,XAM,2.5215352302086645e-06,CHE,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,0.00012962321450837996,CHE,2018
6,COD,Growing sugar beet and cane industry,XAM,5.626849232116948e-06,CHE,2018
7,COD,Growing tobacco industry,XAM,1.294247669329859e-07,CHE,2018
8,COD,Growing fibre crops industry,XAM,6.616390987015091e-06,CHE,2018
9,COD,Growing crops n.e.c. industry,XAM,8.830862322228307e-06,CHE,2018
10,COD,Growing grapes industry,XAM,0.0,CHE,2018
11,COD,Growing fruits and nuts industry,XAM,2.309514026785594e-05,CHE,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,6.241705601224977e-05,CHE,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.8323576123131024e-07,CHE,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,CHE,2018
15,COD,Raising of cattle industry,XAM,9.651685875477131e-05,CHE,2018
16,COD,Growing wheat industry,XEU,3.026880661658671e-07,CHE,2018
17,COD,Growing maize industry,XEU,3.9358533014554245e-05,CHE,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,CHE,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,2.033003236637497e-05,CHE,2018
20,COD,Growing rice industry,XEU,4.987591283656035e-07,CHE,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.69119774974411e-05,CHE,2018
22,COD,Growing sugar beet and cane industry,XEU,8.880442781771652e-07,CHE,2018
23,COD,Growing tobacco industry,XEU,6.12385194096013e-08,CHE,2018
24,COD,Growing fibre crops industry,XEU,2.0596061595775686e-06,CHE,2018
25,COD,Growing crops n.e.c. industry,XEU,1.3011340535259792e-06,CHE,2018
26,COD,Growing grapes industry,XEU,0.0,CHE,2018
27,COD,Growing fruits and nuts industry,XEU,4.1226510103814455e-06,CHE,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,1.8201944292215453e-05,CHE,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.535755566015919e-08,CHE,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,CHE,2018
31,COD,Raising of cattle industry,XEU,2.1911148502593717e-05,CHE,2018
32,COD,Growing wheat industry,XAF,9.811517566426339e-07,CHE,2018
33,COD,Growing maize industry,XAF,0.00015161832756396812,CHE,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,CHE,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,4.0068122582756056e-05,CHE,2018
36,COD,Growing rice industry,XAF,1.782727944439055e-06,CHE,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,0.00010474498536082844,CHE,2018
38,COD,Growing sugar beet and cane industry,XAF,3.1277275126499385e-06,CHE,2018
39,COD,Growing tobacco industry,XAF,1.0438779115941483e-07,CHE,2018
40,COD,Growing fibre crops industry,XAF,3.572683616929607e-06,CHE,2018
41,COD,Growing crops n.e.c. industry,XAF,4.441946391777859e-06,CHE,2018
42,COD,Growing grapes industry,XAF,0.0,CHE,2018
43,COD,Growing fruits and nuts industry,XAF,1.2637848452679065e-05,CHE,2018
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,5.38646416912469e-05,CHE,2018
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.2206998587316628e-07,CHE,2018
46,COD,Seeds and plant propagation industry,XAF,0.0,CHE,2018
47,COD,Raising of cattle industry,XAF,6.432451878763483e-05,CHE,2018
48,COD,Growing wheat industry,XAS,9.324466865533342e-07,CHE,2018
49,COD,Growing maize industry,XAS,0.00017149199979777467,CHE,2018
50,COD,Growing cereals n.e.c industry,XAS,0.0,CHE,2018
51,COD,Growing leguminous crops and oil seeds industry,XAS,4.0613196659976e-05,CHE,2018
52,COD,Growing rice industry,XAS,2.034150274155017e-06,CHE,2018
53,COD,"Growing vegetables, roots, tubers industry",XAS,9.451625987940305e-05,CHE,2018
54,COD,Growing sugar beet and cane industry,XAS,2.7698563633557087e-06,CHE,2018
55,COD,Growing tobacco industry,XAS,8.858040666202504e-08,CHE,2018
56,COD,Growing fibre crops industry,XAS,3.3503299690977172e-06,CHE,2018
57,COD,Growing crops n.e.c. industry,XAS,4.180874824562447e-06,CHE,2018
58,COD,Growing grapes industry,XAS,0.0,CHE,2018
59,COD,Growing fruits and nuts industry,XAS,1.1237210506122671e-05,CHE,2018
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,7.646785470341904e-05,CHE,2018
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.1178374012258627e-07,CHE,2018
62,COD,Seeds and plant propagation industry,XAS,0.0,CHE,2018
63,COD,Raising of cattle industry,XAS,6.787269955264848e-05,CHE,2018
64,COD,Growing wheat industry,AFG,1.155381510605308e-07,CHE,2018
65,COD,Growing maize industry,AFG,1.765272826397168e-05,CHE,2018
66,COD,Growing cereals n.e.c industry,AFG,0.0,CHE,2018
67,COD,Growing leguminous crops and oil seeds industry,AFG,5.943615582978346e-06,CHE,2018
68,COD,Growing rice industry,AFG,2.111787480679697e-07,CHE,2018
69,COD,"Growing vegetables, roots, tubers industry",AFG,1.0975001723113474e-05,CHE,2018
70,COD,Growing sugar beet and cane industry,AFG,3.9359175627029254e-07,CHE,2018
71,COD,Growing tobacco industry,AFG,1.3912273795759906e-08,CHE,2018
72,COD,Growing fibre crops industry,AFG,9.754154585459474e-07,CHE,2018
73,COD,Growing crops n.e.c. industry,AFG,5.901799201401675e-07,CHE,2018
74,COD,Growing grapes industry,AFG,0.0,CHE,2018
75,COD,Growing fruits and nuts industry,AFG,1.627168325405148e-06,CHE,2018
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,8.607536519808848e-06,CHE,2018
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.4701411510619921e-08,CHE,2018
78,COD,Seeds and plant propagation industry,AFG,0.0,CHE,2018
79,COD,Raising of cattle industry,AFG,7.748433221878577e-06,CHE,2018
80,COD,Growing wheat industry,AGO,1.907382076456708e-06,CHE,2018
81,COD,Growing maize industry,AGO,0.00021145791380450135,CHE,2018
82,COD,Growing cereals n.e.c industry,AGO,0.0,CHE,2018
83,COD,Growing leguminous crops and oil seeds industry,AGO,8.240927688341895e-05,CHE,2018
84,COD,Growing rice industry,AGO,3.858807540585536e-06,CHE,2018
85,COD,"Growing vegetables, roots, tubers industry",AGO,0.0001659285863890462,CHE,2018
86,COD,Growing sugar beet and cane industry,AGO,6.654460219554003e-06,CHE,2018
87,COD,Growing tobacco industry,AGO,1.6770940631232384e-07,CHE,2018
88,COD,Growing fibre crops industry,AGO,7.707324078289558e-06,CHE,2018
89,COD,Growing crops n.e.c. industry,AGO,9.84620762369215e-06,CHE,2018
90,COD,Growing grapes industry,AGO,0.0,CHE,2018
91,COD,Growing fruits and nuts industry,AGO,2.6711908791923933e-05,CHE,2018
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0002177474537193238,CHE,2018
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.2736118724960085e-07,CHE,2018
94,COD,Seeds and plant propagation industry,AGO,0.0,CHE,2018
95,COD,Raising of cattle industry,AGO,0.00012489263436896717,CHE,2018
96,COD,Growing wheat industry,ALB,3.241788005932673e-07,CHE,2018
97,COD,Growing maize industry,ALB,8.000255595857192e-05,CHE,2018
98,COD,Growing cereals n.e.c industry,ALB,0.0,CHE,2018
99,COD,Growing leguminous crops and oil seeds industry,ALB,1.652531178380132e-05,CHE,2018
100,COD,Growing rice industry,ALB,5.362504330217253e-07,CHE,2018
101,COD,"Growing vegetables, roots, tubers industry",ALB,3.0417810498612042e-05,CHE,2018
102,COD,Growing sugar beet and cane industry,ALB,9.994416613268647e-07,CHE,2018
103,COD,Growing tobacco industry,ALB,4.638367806053351e-08,CHE,2018
104,COD,Growing fibre crops industry,ALB,1.695383643858854e-06,CHE,2018
105,COD,Growing crops n.e.c. industry,ALB,1.5396476740545423e-06,CHE,2018
106,COD,Growing grapes industry,ALB,0.0,CHE,2018
107,COD,Growing fruits and nuts industry,ALB,4.436095054803347e-06,CHE,2018
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,2.0625664015877632e-05,CHE,2018
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,4.020902099672133e-08,CHE,2018
110,COD,Seeds and plant propagation industry,ALB,0.0,CHE,2018
111,COD,Raising of cattle industry,ALB,2.0144474594552564e-05,CHE,2018
112,COD,Growing wheat industry,ARE,4.287070808587934e-06,CHE,2018
113,COD,Growing maize industry,ARE,0.0012665432605933231,CHE,2018
114,COD,Growing cereals n.e.c industry,ARE,0.0,CHE,2018
115,COD,Growing leguminous crops and oil seeds industry,ARE,0.0002033357921514608,CHE,2018
116,COD,Growing rice industry,ARE,7.208831231720699e-06,CHE,2018
117,COD,"Growing vegetables, roots, tubers industry",ARE,0.000392822114215579,CHE,2018
118,COD,Growing sugar beet and cane industry,ARE,1.562243283367894e-05,CHE,2018
119,COD,Growing tobacco industry,ARE,4.095180166245198e-07,CHE,2018
120,COD,Growing fibre crops industry,ARE,1.9412988739249657e-05,CHE,2018
121,COD,Growing crops n.e.c. industry,ARE,2.4270787047326732e-05,CHE,2018
122,COD,Growing grapes industry,ARE,0.0,CHE,2018
123,COD,Growing fruits and nuts industry,ARE,6.340234831722797e-05,CHE,2018
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0002330984448634741,CHE,2018
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,5.308389765676109e-07,CHE,2018
126,COD,Seeds and plant propagation industry,ARE,0.0,CHE,2018
127,COD,Raising of cattle industry,ARE,0.00026243613625343096,CHE,2018
128,COD,Growing wheat industry,ARG,5.048545860732195e-06,CHE,2018
129,COD,Growing maize industry,ARG,0.0008222214151674881,CHE,2018
130,COD,Growing cereals n.e.c industry,ARG,0.0,CHE,2018
131,COD,Growing leguminous crops and oil seeds industry,ARG,0.00036357502623486117,CHE,2018
132,COD,Growing rice industry,ARG,7.772486864339056e-06,CHE,2018
133,COD,"Growing vegetables, roots, tubers industry",ARG,0.0006416516261256115,CHE,2018
134,COD,Growing sugar beet and cane industry,ARG,1.542021309101449e-05,CHE,2018
135,COD,Growing tobacco industry,ARG,5.81166986105181e-07,CHE,2018
136,COD,Growing fibre crops industry,ARG,2.4383321890132665e-05,CHE,2018
137,COD,Growing crops n.e.c. industry,ARG,2.2568360212433477e-05,CHE,2018
138,COD,Growing grapes industry,ARG,0.0,CHE,2018
139,COD,Growing fruits and nuts industry,ARG,7.604292945451426e-05,CHE,2018
140,COD,"Growing beverage crops (coffee, tea etc) industry",ARG,0.0002566503482809982,CHE,2018
141,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,8.026208166767855e-07,CHE,2018
142,COD,Seeds and plant propagation industry,ARG,0.0,CHE,2018
143,COD,Raising of cattle industry,ARG,0.0002948072851460188,CHE,2018
144,COD,Growing wheat industry,ARM,2.888916531552975e-07,CHE,2018
145,COD,Growing maize industry,ARM,4.00222110954486e-05,CHE,2018
146,COD,Growing cereals n.e.c industry,ARM,0.0,CHE,2018
147,COD,Growing leguminous crops and oil seeds industry,ARM,1.2993976609499885e-05,CHE,2018
148,COD,Growing rice industry,ARM,4.842664819972327e-07,CHE,2018
149,COD,"Growing vegetables, roots, tubers industry",ARM,2.5795259432559893e-05,CHE,2018
150,COD,Growing sugar beet and cane industry,ARM,9.498999728192108e-07,CHE,2018
151,COD,Growing tobacco industry,ARM,3.431713800060565e-08,CHE,2018
152,COD,Growing fibre crops industry,ARM,2.2205324067321437e-06,CHE,2018
153,COD,Growing crops n.e.c. industry,ARM,1.4410420836548314e-06,CHE,2018
154,COD,Growing grapes industry,ARM,0.0,CHE,2018
155,COD,Growing fruits and nuts industry,ARM,3.980335750820921e-06,CHE,2018
156,COD,"Growing beverage crops (coffee, tea etc) industry",ARM,1.3691759173227903e-05,CHE,2018
157,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,3.464159726864569e-08,CHE,2018
158,COD,Seeds and plant propagation industry,ARM,0.0,CHE,2018
159,COD,Raising of cattle industry,ARM,1.859448564383513e-05,CHE,2018
160,COD,Growing wheat industry,AUS,2.2987486345355063e-05,CHE,2018
161,COD,Growing maize industry,AUS,0.0038837049278233047,CHE,2018
162,COD,Growing cereals n.e.c industry,AUS,0.0,CHE,2018
163,COD,Growing leguminous crops and oil seeds industry,AUS,0.0016439807182228369,CHE,2018
164,COD,Growing rice industry,AUS,4.032591476853762e-05,CHE,2018
165,COD,"Growing vegetables, roots, tubers industry",AUS,0.002904286973670923,CHE,2018
166,COD,Growing sugar beet and cane industry,AUS,7.538760636714779e-05,CHE,2018
167,COD,Growing tobacco industry,AUS,2.5986883047947995e-06,CHE,2018
168,COD,Growing fibre crops industry,AUS,0.00013141848376345766,CHE,2018
169,COD,Growing crops n.e.c. industry,AUS,0.00011208608864182814,CHE,2018
170,COD,Growing grapes industry,AUS,0.0,CHE,2018
171,COD,Growing fruits and nuts industry,AUS,0.00036410813644972617,CHE,2018
172,COD,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0020319025883244538,CHE,2018
173,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,3.694123868049267e-06,CHE,2018
174,COD,Seeds and plant propagation industry,AUS,0.0,CHE,2018
175,COD,Raising of cattle industry,AUS,0.001385931412252926,CHE,2018
176,COD,Growing wheat industry,AUT,4.053580360743572e-05,CHE,2018
177,COD,Growing maize industry,AUT,0.008515571999587223,CHE,2018
178,COD,Growing cereals n.e.c industry,AUT,0.0,CHE,2018
179,COD,Growing leguminous crops and oil seeds industry,AUT,0.0030898513557808113,CHE,2018
180,COD,Growing rice industry,AUT,7.876152002185797e-05,CHE,2018
181,COD,"Growing vegetables, roots, tubers industry",AUT,0.005349824664768524,CHE,2018
182,COD,Growing sugar beet and cane industry,AUT,0.0001285348034332053,CHE,2018
183,COD,Growing tobacco industry,AUT,5.448834745135516e-06,CHE,2018
184,COD,Growing fibre crops industry,AUT,0.0003234743052771845,CHE,2018
185,COD,Growing crops n.e.c. industry,AUT,0.00018669676094628103,CHE,2018
186,COD,Growing grapes industry,AUT,0.0,CHE,2018
187,COD,Growing fruits and nuts industry,AUT,0.0006249760291526226,CHE,2018
188,COD,"Growing beverage crops (coffee, tea etc) industry",AUT,0.005164625481747069,CHE,2018
189,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,6.7262622395364186e-06,CHE,2018
190,COD,Seeds and plant propagation industry,AUT,0.0,CHE,2018
191,COD,Raising of cattle industry,AUT,0.002541852944150849,CHE,2018
192,COD,Growing wheat industry,AZE,3.43724767251616e-06,CHE,2018
193,COD,Growing maize industry,AZE,0.0004609986584221466,CHE,2018
194,COD,Growing cereals n.e.c industry,AZE,0.0,CHE,2018
