,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.595606253410948e-08,KGZ,2018
1,COD,Growing maize industry,XAM,7.28257113688011e-08,KGZ,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,KGZ,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,3.600425745978954e-08,KGZ,2018
4,COD,Growing rice industry,XAM,6.297058789447068e-08,KGZ,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,9.004776131411884e-08,KGZ,2018
6,COD,Growing sugar beet and cane industry,XAM,2.660098008462078e-08,KGZ,2018
7,COD,Growing tobacco industry,XAM,5.323380424216985e-11,KGZ,2018
8,COD,Growing fibre crops industry,XAM,3.3746961981714204e-09,KGZ,2018
9,COD,Growing crops n.e.c. industry,XAM,7.436369217808531e-08,KGZ,2018
10,COD,Growing grapes industry,XAM,0.0,KGZ,2018
11,COD,Growing fruits and nuts industry,XAM,1.9521612339810808e-08,KGZ,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,2.6291454589186615e-08,KGZ,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.1138288341859011e-10,KGZ,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,KGZ,2018
15,COD,Raising of cattle industry,XAM,2.2687276628725275e-06,KGZ,2018
16,COD,Growing wheat industry,XEU,4.195592670673633e-09,KGZ,2018
17,COD,Growing maize industry,XEU,1.886157949224473e-08,KGZ,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,KGZ,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,9.382660131908842e-09,KGZ,2018
20,COD,Growing rice industry,XEU,1.677942779718558e-08,KGZ,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,2.3528044198979102e-08,KGZ,2018
22,COD,Growing sugar beet and cane industry,XEU,6.970431560354245e-09,KGZ,2018
23,COD,Growing tobacco industry,XEU,1.3449289029357958e-11,KGZ,2018
24,COD,Growing fibre crops industry,XEU,8.304343585643589e-10,KGZ,2018
25,COD,Growing crops n.e.c. industry,XEU,1.9569604847176154e-08,KGZ,2018
26,COD,Growing grapes industry,XEU,0.0,KGZ,2018
27,COD,Growing fruits and nuts industry,XEU,4.1207330086550325e-09,KGZ,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,6.434076139108336e-09,KGZ,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.8700597625422072e-11,KGZ,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,KGZ,2018
31,COD,Raising of cattle industry,XEU,5.93881998315556e-07,KGZ,2018
32,COD,Growing wheat industry,XAF,1.04900147635694e-08,KGZ,2018
33,COD,Growing maize industry,XAF,4.09958475252578e-08,KGZ,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,KGZ,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,2.2820391221683753e-08,KGZ,2018
36,COD,Growing rice industry,XAF,4.224174993164063e-08,KGZ,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,4.654456215499625e-08,KGZ,2018
38,COD,Growing sugar beet and cane industry,XAF,1.7509901568910365e-08,KGZ,2018
39,COD,Growing tobacco industry,XAF,3.338761600354103e-11,KGZ,2018
40,COD,Growing fibre crops industry,XAF,1.869159958793161e-09,KGZ,2018
41,COD,Growing crops n.e.c. industry,XAF,4.909894913350759e-08,KGZ,2018
42,COD,Growing grapes industry,XAF,0.0,KGZ,2018
43,COD,Growing fruits and nuts industry,XAF,9.079111613588313e-09,KGZ,2018
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.3350219473483401e-08,KGZ,2018
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,5.848082397097366e-11,KGZ,2018
46,COD,Seeds and plant propagation industry,XAF,0.0,KGZ,2018
47,COD,Raising of cattle industry,XAF,1.5218649053547097e-06,KGZ,2018
48,COD,Growing wheat industry,XAS,1.1687239823480082e-08,KGZ,2018
49,COD,Growing maize industry,XAS,5.055148940312778e-08,KGZ,2018
50,COD,Growing cereals n.e.c industry,XAS,0.0,KGZ,2018
51,COD,Growing leguminous crops and oil seeds industry,XAS,2.6041068862865578e-08,KGZ,2018
52,COD,Growing rice industry,XAS,4.663296762200029e-08,KGZ,2018
53,COD,"Growing vegetables, roots, tubers industry",XAS,6.121998547131532e-08,KGZ,2018
54,COD,Growing sugar beet and cane industry,XAS,1.9511659490954603e-08,KGZ,2018
55,COD,Growing tobacco industry,XAS,3.746253316139482e-11,KGZ,2018
56,COD,Growing fibre crops industry,XAS,2.2277134582661745e-09,KGZ,2018
57,COD,Growing crops n.e.c. industry,XAS,5.4401698946725035e-08,KGZ,2018
58,COD,Growing grapes industry,XAS,0.0,KGZ,2018
59,COD,Growing fruits and nuts industry,XAS,1.1648194401396556e-08,KGZ,2018
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.6971434967164132e-08,KGZ,2018
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,7.579164922487416e-11,KGZ,2018
62,COD,Seeds and plant propagation industry,XAS,0.0,KGZ,2018
63,COD,Raising of cattle industry,XAS,1.6749387577926902e-06,KGZ,2018
64,COD,Growing wheat industry,AFG,2.8164223227357774e-07,KGZ,2018
65,COD,Growing maize industry,AFG,1.0873727438394049e-06,KGZ,2018
66,COD,Growing cereals n.e.c industry,AFG,0.0,KGZ,2018
67,COD,Growing leguminous crops and oil seeds industry,AFG,5.905499131774621e-07,KGZ,2018
68,COD,Growing rice industry,AFG,1.1481817882214996e-06,KGZ,2018
69,COD,"Growing vegetables, roots, tubers industry",AFG,1.2024218368994077e-06,KGZ,2018
70,COD,Growing sugar beet and cane industry,AFG,5.02457594651387e-07,KGZ,2018
71,COD,Growing tobacco industry,AFG,1.108931707703983e-09,KGZ,2018
72,COD,Growing fibre crops industry,AFG,6.21001995662702e-08,KGZ,2018
73,COD,Growing crops n.e.c. industry,AFG,1.3797090169962168e-06,KGZ,2018
74,COD,Growing grapes industry,AFG,0.0,KGZ,2018
75,COD,Growing fruits and nuts industry,AFG,6.935591719242822e-07,KGZ,2018
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,5.144680244299314e-07,KGZ,2018
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.5653234392930198e-09,KGZ,2018
78,COD,Seeds and plant propagation industry,AFG,0.0,KGZ,2018
79,COD,Raising of cattle industry,AFG,4.239687064979383e-05,KGZ,2018
80,COD,Growing wheat industry,AGO,2.5547455256280327e-08,KGZ,2018
81,COD,Growing maize industry,AGO,1.4371402139373454e-07,KGZ,2018
82,COD,Growing cereals n.e.c industry,AGO,0.0,KGZ,2018
83,COD,Growing leguminous crops and oil seeds industry,AGO,6.206712216090595e-08,KGZ,2018
84,COD,Growing rice industry,AGO,9.384315243665983e-08,KGZ,2018
85,COD,"Growing vegetables, roots, tubers industry",AGO,1.9393471662082822e-07,KGZ,2018
86,COD,Growing sugar beet and cane industry,AGO,4.233064917773411e-08,KGZ,2018
87,COD,Growing tobacco industry,AGO,8.699543311297098e-11,KGZ,2018
88,COD,Growing fibre crops industry,AGO,6.327760876046973e-09,KGZ,2018
89,COD,Growing crops n.e.c. industry,AGO,1.1169734675061877e-07,KGZ,2018
90,COD,Growing grapes industry,AGO,0.0,KGZ,2018
91,COD,Growing fruits and nuts industry,AGO,3.6564702468368345e-08,KGZ,2018
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,5.2778990488883345e-08,KGZ,2018
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,2.450227947201422e-10,KGZ,2018
94,COD,Seeds and plant propagation industry,AGO,0.0,KGZ,2018
95,COD,Raising of cattle industry,AGO,3.480228548328451e-06,KGZ,2018
96,COD,Growing wheat industry,ALB,7.257625166598928e-09,KGZ,2018
97,COD,Growing maize industry,ALB,5.22043341339558e-08,KGZ,2018
98,COD,Growing cereals n.e.c industry,ALB,0.0,KGZ,2018
99,COD,Growing leguminous crops and oil seeds industry,ALB,2.061501704352791e-08,KGZ,2018
100,COD,Growing rice industry,ALB,2.4560372407224366e-08,KGZ,2018
101,COD,"Growing vegetables, roots, tubers industry",ALB,8.305183243008355e-08,KGZ,2018
102,COD,Growing sugar beet and cane industry,ALB,1.2107665878792137e-08,KGZ,2018
103,COD,Growing tobacco industry,ALB,2.7773948551262172e-11,KGZ,2018
104,COD,Growing fibre crops industry,ALB,2.1352957736790883e-09,KGZ,2018
105,COD,Growing crops n.e.c. industry,ALB,2.9681817126792496e-08,KGZ,2018
106,COD,Growing grapes industry,ALB,0.0,KGZ,2018
107,COD,Growing fruits and nuts industry,ALB,1.3131223058670229e-08,KGZ,2018
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,2.001646086745603e-08,KGZ,2018
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,9.946288969137788e-11,KGZ,2018
110,COD,Seeds and plant propagation industry,ALB,0.0,KGZ,2018
111,COD,Raising of cattle industry,ALB,8.72491003758112e-07,KGZ,2018
112,COD,Growing wheat industry,ARE,2.53373989593453e-07,KGZ,2018
113,COD,Growing maize industry,ARE,1.2087226727259337e-06,KGZ,2018
114,COD,Growing cereals n.e.c industry,ARE,0.0,KGZ,2018
115,COD,Growing leguminous crops and oil seeds industry,ARE,5.811318192605739e-07,KGZ,2018
116,COD,Growing rice industry,ARE,9.847052910714232e-07,KGZ,2018
117,COD,"Growing vegetables, roots, tubers industry",ARE,1.5806907414023935e-06,KGZ,2018
118,COD,Growing sugar beet and cane industry,ARE,4.378826815851346e-07,KGZ,2018
119,COD,Growing tobacco industry,ARE,8.434179857282711e-10,KGZ,2018
120,COD,Growing fibre crops industry,ARE,4.8052870486743544e-08,KGZ,2018
121,COD,Growing crops n.e.c. industry,ARE,1.173457919469408e-06,KGZ,2018
122,COD,Growing grapes industry,ARE,0.0,KGZ,2018
123,COD,Growing fruits and nuts industry,ARE,7.532766679760077e-07,KGZ,2018
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,5.569359828089936e-07,KGZ,2018
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,2.016444625408502e-09,KGZ,2018
126,COD,Seeds and plant propagation industry,ARE,0.0,KGZ,2018
127,COD,Raising of cattle industry,ARE,3.4699725161972714e-05,KGZ,2018
128,COD,Growing wheat industry,ARG,1.2134210506451915e-07,KGZ,2018
129,COD,Growing maize industry,ARG,7.67367487117369e-07,KGZ,2018
130,COD,Growing cereals n.e.c industry,ARG,0.0,KGZ,2018
131,COD,Growing leguminous crops and oil seeds industry,ARG,3.456351811727982e-07,KGZ,2018
132,COD,Growing rice industry,ARG,3.409277884802826e-07,KGZ,2018
133,COD,"Growing vegetables, roots, tubers industry",ARG,1.2053931734725258e-06,KGZ,2018
134,COD,Growing sugar beet and cane industry,ARG,1.802706985255899e-07,KGZ,2018
135,COD,Growing tobacco industry,ARG,4.213356667775739e-10,KGZ,2018
136,COD,Growing fibre crops industry,ARG,3.673712260894249e-08,KGZ,2018
137,COD,Growing crops n.e.c. industry,ARG,4.0984683369066604e-07,KGZ,2018
138,COD,Growing grapes industry,ARG,0.0,KGZ,2018
139,COD,Growing fruits and nuts industry,ARG,3.891724488880109e-07,KGZ,2018
