,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,6.57036078423816e-08,LBY,2018
1,COD,Growing maize industry,XAM,9.816483216875613e-07,LBY,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,LBY,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.8489751680650113e-07,LBY,2018
4,COD,Growing rice industry,XAM,2.3033303069034173e-07,LBY,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,2.7473609645124804e-06,LBY,2018
6,COD,Growing sugar beet and cane industry,XAM,1.7432037813147e-07,LBY,2018
7,COD,Growing tobacco industry,XAM,7.385095279566792e-10,LBY,2018
8,COD,Growing fibre crops industry,XAM,4.014761767346223e-08,LBY,2018
9,COD,Growing crops n.e.c. industry,XAM,3.4849420011130887e-07,LBY,2018
10,COD,Growing grapes industry,XAM,0.0,LBY,2018
11,COD,Growing fruits and nuts industry,XAM,2.427851884950843e-07,LBY,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,5.54211080668996e-06,LBY,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.9541511092346825e-09,LBY,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,LBY,2018
15,COD,Raising of cattle industry,XAM,1.1638782811536334e-05,LBY,2018
16,COD,Growing wheat industry,XEU,5.329697487060108e-08,LBY,2018
17,COD,Growing maize industry,XEU,1.2280617989147643e-06,LBY,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,LBY,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.8062686850580693e-07,LBY,2018
20,COD,Growing rice industry,XEU,1.6862936948017288e-07,LBY,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,5.044930875256238e-06,LBY,2018
22,COD,Growing sugar beet and cane industry,XEU,1.7856750963739124e-07,LBY,2018
23,COD,Growing tobacco industry,XEU,7.748865316356672e-10,LBY,2018
24,COD,Growing fibre crops industry,XEU,4.8651209816039006e-08,LBY,2018
25,COD,Growing crops n.e.c. industry,XEU,3.0047177664026625e-07,LBY,2018
26,COD,Growing grapes industry,XEU,0.0,LBY,2018
27,COD,Growing fruits and nuts industry,XEU,3.35889622936681e-07,LBY,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,5.791363967824851e-06,LBY,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.99808463004897e-09,LBY,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,LBY,2018
31,COD,Raising of cattle industry,XEU,7.8972492296011e-06,LBY,2018
32,COD,Growing wheat industry,XAF,1.198291617356352e-07,LBY,2018
33,COD,Growing maize industry,XAF,1.703911414975689e-06,LBY,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,LBY,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,3.4024013021963297e-07,LBY,2018
36,COD,Growing rice industry,XAF,3.810921573712035e-07,LBY,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,3.991399506429508e-06,LBY,2018
38,COD,Growing sugar beet and cane industry,XAF,3.0979925900232446e-07,LBY,2018
39,COD,Growing tobacco industry,XAF,1.4345864451307019e-09,LBY,2018
40,COD,Growing fibre crops industry,XAF,6.025784744555235e-08,LBY,2018
41,COD,Growing crops n.e.c. industry,XAF,5.961438166401291e-07,LBY,2018
42,COD,Growing grapes industry,XAF,0.0,LBY,2018
43,COD,Growing fruits and nuts industry,XAF,4.609934012988667e-07,LBY,2018
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.777803243635149e-05,LBY,2018
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.695566926543738e-09,LBY,2018
46,COD,Seeds and plant propagation industry,XAF,0.0,LBY,2018
47,COD,Raising of cattle industry,XAF,1.7761638678022895e-05,LBY,2018
48,COD,Growing wheat industry,XAS,9.183583619839399e-08,LBY,2018
49,COD,Growing maize industry,XAS,1.435484318083955e-06,LBY,2018
50,COD,Growing cereals n.e.c industry,XAS,0.0,LBY,2018
51,COD,Growing leguminous crops and oil seeds industry,XAS,2.718345356610002e-07,LBY,2018
52,COD,Growing rice industry,XAS,2.844152435976213e-07,LBY,2018
53,COD,"Growing vegetables, roots, tubers industry",XAS,3.3840540289954187e-06,LBY,2018
54,COD,Growing sugar beet and cane industry,XAS,2.49318918002556e-07,LBY,2018
55,COD,Growing tobacco industry,XAS,1.1630327758317807e-09,LBY,2018
56,COD,Growing fibre crops industry,XAS,5.140363316023782e-08,LBY,2018
57,COD,Growing crops n.e.c. industry,XAS,4.625638496115429e-07,LBY,2018
58,COD,Growing grapes industry,XAS,0.0,LBY,2018
59,COD,Growing fruits and nuts industry,XAS,3.965375356932338e-07,LBY,2018
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,1.4600470359525806e-05,LBY,2018
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.955912780162216e-09,LBY,2018
62,COD,Seeds and plant propagation industry,XAS,0.0,LBY,2018
63,COD,Raising of cattle industry,XAS,1.3657471863229611e-05,LBY,2018
64,COD,Growing wheat industry,AFG,2.1694036160470243e-08,LBY,2018
65,COD,Growing maize industry,AFG,3.289635302438676e-07,LBY,2018
66,COD,Growing cereals n.e.c industry,AFG,0.0,LBY,2018
67,COD,Growing leguminous crops and oil seeds industry,AFG,6.170007196914815e-08,LBY,2018
68,COD,Growing rice industry,AFG,7.99656980217437e-08,LBY,2018
69,COD,"Growing vegetables, roots, tubers industry",AFG,1.1239685014610006e-06,LBY,2018
70,COD,Growing sugar beet and cane industry,AFG,6.031722335475111e-08,LBY,2018
71,COD,Growing tobacco industry,AFG,2.374796940533548e-10,LBY,2018
72,COD,Growing fibre crops industry,AFG,1.4749763870979755e-08,LBY,2018
