,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,7.091220556725377e-08,MAR,2018
1,COD,Growing maize industry,XAM,2.231423673877736e-05,MAR,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,MAR,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,2.701625691038716e-07,MAR,2018
4,COD,Growing rice industry,XAM,1.0682479830309107e-07,MAR,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.6112587158529374e-06,MAR,2018
6,COD,Growing sugar beet and cane industry,XAM,2.7292497270148763e-05,MAR,2018
7,COD,Growing tobacco industry,XAM,6.358107158877782e-10,MAR,2018
8,COD,Growing fibre crops industry,XAM,4.3432896235544694e-07,MAR,2018
9,COD,Growing crops n.e.c. industry,XAM,4.781606574561111e-07,MAR,2018
10,COD,Growing grapes industry,XAM,0.0,MAR,2018
11,COD,Growing fruits and nuts industry,XAM,2.6121350847504076e-07,MAR,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.42122378399018e-05,MAR,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.59630086642104e-09,MAR,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,MAR,2018
15,COD,Raising of cattle industry,XAM,4.801715239472694e-06,MAR,2018
16,COD,Growing wheat industry,XEU,2.454163208582077e-08,MAR,2018
17,COD,Growing maize industry,XEU,8.1550143427276e-06,MAR,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,MAR,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.0864948459370235e-07,MAR,2018
20,COD,Growing rice industry,XEU,3.745713813933939e-08,MAR,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,7.018676103579172e-07,MAR,2018
22,COD,Growing sugar beet and cane industry,XEU,9.725437785268885e-06,MAR,2018
23,COD,Growing tobacco industry,XEU,2.651712602758272e-10,MAR,2018
24,COD,Growing fibre crops industry,XEU,2.718164410816374e-07,MAR,2018
25,COD,Growing crops n.e.c. industry,XEU,1.7650484898222124e-07,MAR,2018
26,COD,Growing grapes industry,XEU,0.0,MAR,2018
27,COD,Growing fruits and nuts industry,XEU,1.0601596018624342e-07,MAR,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,4.191736834302507e-06,MAR,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.1207419150644615e-09,MAR,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,MAR,2018
31,COD,Raising of cattle industry,XEU,1.6657445169049381e-06,MAR,2018
32,COD,Growing wheat industry,XAF,9.869730173160068e-08,MAR,2018
33,COD,Growing maize industry,XAF,4.437765319576644e-05,MAR,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,MAR,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,3.4805498543974226e-07,MAR,2018
36,COD,Growing rice industry,XAF,1.222747685108963e-07,MAR,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,1.8078105754842909e-06,MAR,2018
38,COD,Growing sugar beet and cane industry,XAF,5.521948199734403e-05,MAR,2018
39,COD,Growing tobacco industry,XAF,8.033043667342022e-10,MAR,2018
40,COD,Growing fibre crops industry,XAF,1.4531815442664944e-06,MAR,2018
41,COD,Growing crops n.e.c. industry,XAF,6.994225959407564e-07,MAR,2018
42,COD,Growing grapes industry,XAF,0.0,MAR,2018
43,COD,Growing fruits and nuts industry,XAF,3.380014411404725e-07,MAR,2018
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.2094803620727843e-05,MAR,2018
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.1122070288447626e-09,MAR,2018
46,COD,Seeds and plant propagation industry,XAF,0.0,MAR,2018
47,COD,Raising of cattle industry,XAF,5.1517345283116065e-06,MAR,2018
48,COD,Growing wheat industry,XAS,6.039010682731525e-08,MAR,2018
49,COD,Growing maize industry,XAS,2.377984294460753e-05,MAR,2018
50,COD,Growing cereals n.e.c industry,XAS,0.0,MAR,2018
51,COD,Growing leguminous crops and oil seeds industry,XAS,2.433193405222808e-07,MAR,2018
52,COD,Growing rice industry,XAS,8.40364148492305e-08,MAR,2018
53,COD,"Growing vegetables, roots, tubers industry",XAS,1.285137335882891e-06,MAR,2018
54,COD,Growing sugar beet and cane industry,XAS,2.8986528391686982e-05,MAR,2018
55,COD,Growing tobacco industry,XAS,5.796373447648856e-10,MAR,2018
56,COD,Growing fibre crops industry,XAS,8.460696381030176e-07,MAR,2018
57,COD,Growing crops n.e.c. industry,XAS,4.569052948110295e-07,MAR,2018
58,COD,Growing grapes industry,XAS,0.0,MAR,2018
59,COD,Growing fruits and nuts industry,XAS,2.449797874093605e-07,MAR,2018
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,6.700549472881613e-06,MAR,2018
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,2.181024191826404e-09,MAR,2018
62,COD,Seeds and plant propagation industry,XAS,0.0,MAR,2018
63,COD,Raising of cattle industry,XAS,3.764697043143061e-06,MAR,2018
64,COD,Growing wheat industry,AFG,2.159562624184774e-08,MAR,2018
65,COD,Growing maize industry,AFG,7.122504699013874e-06,MAR,2018
66,COD,Growing cereals n.e.c industry,AFG,0.0,MAR,2018
67,COD,Growing leguminous crops and oil seeds industry,AFG,8.75437838119145e-08,MAR,2018
68,COD,Growing rice industry,AFG,3.5946089245230294e-08,MAR,2018
69,COD,"Growing vegetables, roots, tubers industry",AFG,6.312075788891791e-07,MAR,2018
70,COD,Growing sugar beet and cane industry,AFG,8.701264893357905e-06,MAR,2018
71,COD,Growing tobacco industry,AFG,1.9991828801262194e-10,MAR,2018
72,COD,Growing fibre crops industry,AFG,1.0124804918178066e-07,MAR,2018
73,COD,Growing crops n.e.c. industry,AFG,1.5406919908398994e-07,MAR,2018
74,COD,Growing grapes industry,AFG,0.0,MAR,2018
75,COD,Growing fruits and nuts industry,AFG,8.322934692235048e-08,MAR,2018
76,COD,"Growing beverage crops (coffee, tea etc) industry",AFG,9.128131077188501e-06,MAR,2018
77,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,9.285334905626236e-10,MAR,2018
78,COD,Seeds and plant propagation industry,AFG,0.0,MAR,2018
79,COD,Raising of cattle industry,AFG,1.5610226919081858e-06,MAR,2018
80,COD,Growing wheat industry,AGO,4.459954594918463e-07,MAR,2018
81,COD,Growing maize industry,AGO,0.00035054739826831486,MAR,2018
82,COD,Growing cereals n.e.c industry,AGO,0.0,MAR,2018
83,COD,Growing leguminous crops and oil seeds industry,AGO,1.8906334087885746e-06,MAR,2018
84,COD,Growing rice industry,AGO,5.343124957144919e-07,MAR,2018
85,COD,"Growing vegetables, roots, tubers industry",AGO,9.621084122728624e-06,MAR,2018
86,COD,Growing sugar beet and cane industry,AGO,0.00044062104721873227,MAR,2018
87,COD,Growing tobacco industry,AGO,4.363370444125495e-09,MAR,2018
88,COD,Growing fibre crops industry,AGO,1.4049905706786183e-05,MAR,2018
89,COD,Growing crops n.e.c. industry,AGO,3.7292073642797786e-06,MAR,2018
90,COD,Growing grapes industry,AGO,0.0,MAR,2018
91,COD,Growing fruits and nuts industry,AGO,1.8600449795436818e-06,MAR,2018
92,COD,"Growing beverage crops (coffee, tea etc) industry",AGO,6.0868998402937866e-05,MAR,2018
93,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,1.6776151502710225e-08,MAR,2018
94,COD,Seeds and plant propagation industry,AGO,0.0,MAR,2018
95,COD,Raising of cattle industry,AGO,2.405788145116943e-05,MAR,2018
96,COD,Growing wheat industry,ALB,3.131690261238261e-08,MAR,2018
97,COD,Growing maize industry,ALB,1.8021438341742907e-05,MAR,2018
98,COD,Growing cereals n.e.c industry,ALB,0.0,MAR,2018
99,COD,Growing leguminous crops and oil seeds industry,ALB,1.0985157787669436e-07,MAR,2018
100,COD,Growing rice industry,ALB,3.993567136349154e-08,MAR,2018
101,COD,"Growing vegetables, roots, tubers industry",ALB,5.619390495262678e-07,MAR,2018
102,COD,Growing sugar beet and cane industry,ALB,2.312501210447417e-05,MAR,2018
103,COD,Growing tobacco industry,ALB,2.27975361959889e-10,MAR,2018
104,COD,Growing fibre crops industry,ALB,2.471227542187545e-07,MAR,2018
105,COD,Growing crops n.e.c. industry,ALB,2.192373381140397e-07,MAR,2018
106,COD,Growing grapes industry,ALB,0.0,MAR,2018
107,COD,Growing fruits and nuts industry,ALB,9.336644819728548e-08,MAR,2018
108,COD,"Growing beverage crops (coffee, tea etc) industry",ALB,3.938401260880531e-06,MAR,2018
109,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,9.553330269485257e-10,MAR,2018
110,COD,Seeds and plant propagation industry,ALB,0.0,MAR,2018
111,COD,Raising of cattle industry,ALB,1.6830912586866283e-06,MAR,2018
112,COD,Growing wheat industry,ARE,4.362316069819806e-07,MAR,2018
113,COD,Growing maize industry,ARE,0.00020723591189572408,MAR,2018
114,COD,Growing cereals n.e.c industry,ARE,0.0,MAR,2018
115,COD,Growing leguminous crops and oil seeds industry,ARE,1.661617666531228e-06,MAR,2018
116,COD,Growing rice industry,ARE,5.944454134150957e-07,MAR,2018
117,COD,"Growing vegetables, roots, tubers industry",ARE,8.454074127261557e-06,MAR,2018
118,COD,Growing sugar beet and cane industry,ARE,0.00025056370771191233,MAR,2018
119,COD,Growing tobacco industry,ARE,3.730281844375647e-09,MAR,2018
120,COD,Growing fibre crops industry,ARE,3.962129517471553e-06,MAR,2018
121,COD,Growing crops n.e.c. industry,ARE,2.9774437133186412e-06,MAR,2018
122,COD,Growing grapes industry,ARE,0.0,MAR,2018
123,COD,Growing fruits and nuts industry,ARE,1.5579107545881676e-06,MAR,2018
124,COD,"Growing beverage crops (coffee, tea etc) industry",ARE,5.2828124389050644e-05,MAR,2018
125,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.4161907114412294e-08,MAR,2018
126,COD,Seeds and plant propagation industry,ARE,0.0,MAR,2018
127,COD,Raising of cattle industry,ARE,2.9130096234023582e-05,MAR,2018
128,COD,Growing wheat industry,ARG,8.856534162905718e-07,MAR,2018
129,COD,Growing maize industry,ARG,0.00038213557817838296,MAR,2018
130,COD,Growing cereals n.e.c industry,ARG,0.0,MAR,2018
131,COD,Growing leguminous crops and oil seeds industry,ARG,3.535475960673874e-06,MAR,2018
132,COD,Growing rice industry,ARG,1.3293134797166458e-06,MAR,2018
