,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,1.5213218942503428e-05,THA,2018
1,COD,Growing maize industry,XAM,7.986178618518087e-05,THA,2018
2,COD,Growing cereals n.e.c industry,XAM,0.0,THA,2018
3,COD,Growing leguminous crops and oil seeds industry,XAM,0.00017459450626140612,THA,2018
4,COD,Growing rice industry,XAM,1.8007529040750175e-05,THA,2018
5,COD,"Growing vegetables, roots, tubers industry",XAM,5.9996430152315175e-05,THA,2018
6,COD,Growing sugar beet and cane industry,XAM,1.4776670734792328e-05,THA,2018
7,COD,Growing tobacco industry,XAM,3.678465205977285e-08,THA,2018
8,COD,Growing fibre crops industry,XAM,6.120771622393556e-05,THA,2018
9,COD,Growing crops n.e.c. industry,XAM,4.143985905287285e-05,THA,2018
10,COD,Growing grapes industry,XAM,0.0,THA,2018
11,COD,Growing fruits and nuts industry,XAM,0.0010216652945402144,THA,2018
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,4.038205608150592e-05,THA,2018
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.403577773328018e-07,THA,2018
14,COD,Seeds and plant propagation industry,XAM,0.0,THA,2018
15,COD,Raising of cattle industry,XAM,0.000753348656875246,THA,2018
16,COD,Growing wheat industry,XEU,1.0308320775361343e-06,THA,2018
17,COD,Growing maize industry,XEU,4.4022783472763586e-06,THA,2018
18,COD,Growing cereals n.e.c industry,XEU,0.0,THA,2018
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.4153533863493567e-05,THA,2018
20,COD,Growing rice industry,XEU,1.446696524382705e-06,THA,2018
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.6198458758911178e-06,THA,2018
22,COD,Growing sugar beet and cane industry,XEU,9.343326187281622e-07,THA,2018
23,COD,Growing tobacco industry,XEU,2.2730568654122143e-09,THA,2018
24,COD,Growing fibre crops industry,XEU,6.684658298204268e-06,THA,2018
25,COD,Growing crops n.e.c. industry,XEU,2.8673612903310656e-06,THA,2018
26,COD,Growing grapes industry,XEU,0.0,THA,2018
27,COD,Growing fruits and nuts industry,XEU,8.375987935198631e-05,THA,2018
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,2.79217709711724e-06,THA,2018
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.32920902398195e-09,THA,2018
30,COD,Seeds and plant propagation industry,XEU,0.0,THA,2018
31,COD,Raising of cattle industry,XEU,7.054828553456305e-05,THA,2018
32,COD,Growing wheat industry,XAF,5.154739280881842e-06,THA,2018
33,COD,Growing maize industry,XAF,3.5713689358289475e-05,THA,2018
34,COD,Growing cereals n.e.c industry,XAF,0.0,THA,2018
35,COD,Growing leguminous crops and oil seeds industry,XAF,7.059657911207924e-05,THA,2018
36,COD,Growing rice industry,XAF,7.665880076315127e-06,THA,2018
37,COD,"Growing vegetables, roots, tubers industry",XAF,2.8359126959525945e-05,THA,2018
38,COD,Growing sugar beet and cane industry,XAF,6.394653295306877e-06,THA,2018
39,COD,Growing tobacco industry,XAF,1.4674670630443681e-08,THA,2018
40,COD,Growing fibre crops industry,XAF,3.5633273233344596e-05,THA,2018
41,COD,Growing crops n.e.c. industry,XAF,1.841967448957309e-05,THA,2018
42,COD,Growing grapes industry,XAF,0.0,THA,2018
43,COD,Growing fruits and nuts industry,XAF,0.0004096107171735064,THA,2018
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,1.9250250443065392e-05,THA,2018
