,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,2.504233030106881e-07,MOZ,2019
1,COD,Growing maize industry,XAM,0.0,MOZ,2019
2,COD,Growing cereals n.e.c industry,XAM,0.0,MOZ,2019
3,COD,Growing leguminous crops and oil seeds industry,XAM,1.5587208815050182e-06,MOZ,2019
4,COD,Growing rice industry,XAM,8.01843238223352e-08,MOZ,2019
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.4761078873618242e-05,MOZ,2019
6,COD,Growing sugar beet and cane industry,XAM,5.780597460832293e-07,MOZ,2019
7,COD,Growing tobacco industry,XAM,1.3725864936182594e-09,MOZ,2019
8,COD,Growing fibre crops industry,XAM,1.96094851579214e-07,MOZ,2019
9,COD,Growing crops n.e.c. industry,XAM,1.5706453522415283e-05,MOZ,2019
10,COD,Growing grapes industry,XAM,0.0,MOZ,2019
11,COD,Growing fruits and nuts industry,XAM,3.3791495274251857e-06,MOZ,2019
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.952502460717086e-06,MOZ,2019
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,8.309130191905351e-09,MOZ,2019
14,COD,Seeds and plant propagation industry,XAM,0.0,MOZ,2019
15,COD,Raising of cattle industry,XAM,2.8464938410179547e-05,MOZ,2019
16,COD,Growing wheat industry,XEU,5.9480940411959367e-08,MOZ,2019
17,COD,Growing maize industry,XEU,0.0,MOZ,2019
18,COD,Growing cereals n.e.c industry,XEU,0.0,MOZ,2019
19,COD,Growing leguminous crops and oil seeds industry,XEU,3.1319255688237563e-07,MOZ,2019
20,COD,Growing rice industry,XEU,1.8068073500684173e-08,MOZ,2019
21,COD,"Growing vegetables, roots, tubers industry",XEU,3.374706720541436e-06,MOZ,2019
22,COD,Growing sugar beet and cane industry,XEU,1.1114263083625814e-07,MOZ,2019
23,COD,Growing tobacco industry,XEU,3.1489306215783956e-10,MOZ,2019
24,COD,Growing fibre crops industry,XEU,3.192265582166666e-08,MOZ,2019
25,COD,Growing crops n.e.c. industry,XEU,2.826279949005904e-06,MOZ,2019
26,COD,Growing grapes industry,XEU,0.0,MOZ,2019
27,COD,Growing fruits and nuts industry,XEU,7.682031218451839e-07,MOZ,2019
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,5.329000044764636e-07,MOZ,2019
