,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,COD,Growing wheat industry,XAM,9.868477221671701e-08,PAK,2019
1,COD,Growing maize industry,XAM,0.0,PAK,2019
2,COD,Growing cereals n.e.c industry,XAM,0.0,PAK,2019
3,COD,Growing leguminous crops and oil seeds industry,XAM,7.25878838204514e-07,PAK,2019
4,COD,Growing rice industry,XAM,3.0865420218646236e-08,PAK,2019
5,COD,"Growing vegetables, roots, tubers industry",XAM,1.786129272734961e-06,PAK,2019
6,COD,Growing sugar beet and cane industry,XAM,1.2951929604828302e-07,PAK,2019
7,COD,Growing tobacco industry,XAM,9.022038681750717e-10,PAK,2019
8,COD,Growing fibre crops industry,XAM,1.165794916506433e-06,PAK,2019
9,COD,Growing crops n.e.c. industry,XAM,1.1328147689080547e-06,PAK,2019
10,COD,Growing grapes industry,XAM,0.0,PAK,2019
11,COD,Growing fruits and nuts industry,XAM,1.9569495575134515e-07,PAK,2019
12,COD,"Growing beverage crops (coffee, tea etc) industry",XAM,1.5158349649252964e-06,PAK,2019
13,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.8825798340219523e-08,PAK,2019
14,COD,Seeds and plant propagation industry,XAM,0.0,PAK,2019
15,COD,Raising of cattle industry,XAM,7.038387892090534e-06,PAK,2019
16,COD,Growing wheat industry,XEU,3.693307637971037e-08,PAK,2019
17,COD,Growing maize industry,XEU,0.0,PAK,2019
18,COD,Growing cereals n.e.c industry,XEU,0.0,PAK,2019
19,COD,Growing leguminous crops and oil seeds industry,XEU,1.9733091929781118e-07,PAK,2019
20,COD,Growing rice industry,XEU,1.0184690051275934e-08,PAK,2019
21,COD,"Growing vegetables, roots, tubers industry",XEU,5.288869208012102e-07,PAK,2019
22,COD,Growing sugar beet and cane industry,XEU,2.6394416695551208e-08,PAK,2019
23,COD,Growing tobacco industry,XEU,2.5965138277237665e-10,PAK,2019
24,COD,Growing fibre crops industry,XEU,2.0156208567947507e-07,PAK,2019
25,COD,Growing crops n.e.c. industry,XEU,2.08014029241058e-07,PAK,2019
26,COD,Growing grapes industry,XEU,0.0,PAK,2019
27,COD,Growing fruits and nuts industry,XEU,5.069748455336383e-08,PAK,2019
28,COD,"Growing beverage crops (coffee, tea etc) industry",XEU,3.6360155405082184e-07,PAK,2019
29,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.2162898942602801e-08,PAK,2019
30,COD,Seeds and plant propagation industry,XEU,0.0,PAK,2019
31,COD,Raising of cattle industry,XEU,3.1231568146477852e-06,PAK,2019
32,COD,Growing wheat industry,XAF,1.4031633797685533e-07,PAK,2019
33,COD,Growing maize industry,XAF,0.0,PAK,2019
34,COD,Growing cereals n.e.c industry,XAF,0.0,PAK,2019
35,COD,Growing leguminous crops and oil seeds industry,XAF,1.3042918174849708e-06,PAK,2019
36,COD,Growing rice industry,XAF,4.27453090554858e-08,PAK,2019
37,COD,"Growing vegetables, roots, tubers industry",XAF,5.573124735524812e-06,PAK,2019
38,COD,Growing sugar beet and cane industry,XAF,3.701255377324526e-07,PAK,2019
39,COD,Growing tobacco industry,XAF,1.8225376359715353e-09,PAK,2019
40,COD,Growing fibre crops industry,XAF,2.8323910002214756e-06,PAK,2019
41,COD,Growing crops n.e.c. industry,XAF,3.7804533478830635e-06,PAK,2019
42,COD,Growing grapes industry,XAF,0.0,PAK,2019
43,COD,Growing fruits and nuts industry,XAF,3.0057136728465805e-07,PAK,2019
44,COD,"Growing beverage crops (coffee, tea etc) industry",XAF,4.2096086381591224e-06,PAK,2019
45,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,7.886373542784428e-08,PAK,2019
46,COD,Seeds and plant propagation industry,XAF,0.0,PAK,2019
47,COD,Raising of cattle industry,XAF,9.515405130707637e-06,PAK,2019
48,COD,Growing wheat industry,XAS,1.2831773856931046e-07,PAK,2019
49,COD,Growing maize industry,XAS,0.0,PAK,2019
50,COD,Growing cereals n.e.c industry,XAS,0.0,PAK,2019
51,COD,Growing leguminous crops and oil seeds industry,XAS,9.089000367109494e-07,PAK,2019
52,COD,Growing rice industry,XAS,3.854351499965939e-08,PAK,2019
53,COD,"Growing vegetables, roots, tubers industry",XAS,2.9112533394102716e-06,PAK,2019
54,COD,Growing sugar beet and cane industry,XAS,1.5754839602709657e-07,PAK,2019
55,COD,Growing tobacco industry,XAS,1.1981793897856453e-09,PAK,2019
56,COD,Growing fibre crops industry,XAS,3.4211295570657883e-06,PAK,2019
57,COD,Growing crops n.e.c. industry,XAS,1.207656910462095e-06,PAK,2019
58,COD,Growing grapes industry,XAS,0.0,PAK,2019
59,COD,Growing fruits and nuts industry,XAS,3.6450550625546077e-07,PAK,2019
60,COD,"Growing beverage crops (coffee, tea etc) industry",XAS,2.7743124783110597e-06,PAK,2019
61,COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,7.671942570393612e-08,PAK,2019
62,COD,Seeds and plant propagation industry,XAS,0.0,PAK,2019
