,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,GHA,Growing wheat industry,XAM,0.0,EU27,2018
1,GHA,Growing maize industry,XAM,0.02315763625993148,EU27,2018
2,GHA,Growing cereals n.e.c industry,XAM,0.0018952774788886099,EU27,2018
3,GHA,Growing leguminous crops and oil seeds industry,XAM,0.001454509365621126,EU27,2018
4,GHA,Growing rice industry,XAM,0.0002756943337733584,EU27,2018
5,GHA,"Growing vegetables, roots, tubers industry",XAM,0.013357200879545823,EU27,2018
6,GHA,Growing sugar beet and cane industry,XAM,2.291669984175196e-07,EU27,2018
7,GHA,Growing tobacco industry,XAM,0.00025205567266083735,EU27,2018
8,GHA,Growing fibre crops industry,XAM,0.0,EU27,2018
9,GHA,Growing crops n.e.c. industry,XAM,0.012196058741967006,EU27,2018
10,GHA,Growing grapes industry,XAM,0.0,EU27,2018
11,GHA,Growing fruits and nuts industry,XAM,0.15881763362077192,EU27,2018
12,GHA,"Growing beverage crops (coffee, tea etc) industry",XAM,0.00017747537021826237,EU27,2018
13,GHA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,8.652424189200152e-05,EU27,2018
14,GHA,Seeds and plant propagation industry,XAM,0.0,EU27,2018
15,GHA,Raising of cattle industry,XAM,0.01868336302251587,EU27,2018
16,GHA,Growing wheat industry,XEU,0.0,EU27,2018
17,GHA,Growing maize industry,XEU,0.0017264912786374017,EU27,2018
18,GHA,Growing cereals n.e.c industry,XEU,0.0001282684652851023,EU27,2018
19,GHA,Growing leguminous crops and oil seeds industry,XEU,0.00045167173507805057,EU27,2018
20,GHA,Growing rice industry,XEU,2.4426714399720776e-05,EU27,2018
21,GHA,"Growing vegetables, roots, tubers industry",XEU,0.0008615021417569274,EU27,2018
22,GHA,Growing sugar beet and cane industry,XEU,2.462241389868401e-08,EU27,2018
23,GHA,Growing tobacco industry,XEU,3.868544711994922e-05,EU27,2018
24,GHA,Growing fibre crops industry,XEU,0.0,EU27,2018
25,GHA,Growing crops n.e.c. industry,XEU,0.0025581102556820326,EU27,2018
26,GHA,Growing grapes industry,XEU,0.0,EU27,2018
27,GHA,Growing fruits and nuts industry,XEU,0.006436363816886167,EU27,2018
28,GHA,"Growing beverage crops (coffee, tea etc) industry",XEU,2.2884232082539706e-05,EU27,2018
29,GHA,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.279045705575362e-06,EU27,2018
30,GHA,Seeds and plant propagation industry,XEU,0.0,EU27,2018
31,GHA,Raising of cattle industry,XEU,0.0019331088053994461,EU27,2018
32,GHA,Growing wheat industry,XAF,0.0,EU27,2018
33,GHA,Growing maize industry,XAF,0.0025078833202731507,EU27,2018
34,GHA,Growing cereals n.e.c industry,XAF,0.0002100887280338884,EU27,2018
35,GHA,Growing leguminous crops and oil seeds industry,XAF,0.00028715138655431636,EU27,2018
36,GHA,Growing rice industry,XAF,3.87251407256807e-05,EU27,2018
37,GHA,"Growing vegetables, roots, tubers industry",XAF,0.0013656283462138998,EU27,2018
38,GHA,Growing sugar beet and cane industry,XAF,2.31887568643571e-08,EU27,2018
39,GHA,Growing tobacco industry,XAF,7.911390685129433e-05,EU27,2018
40,GHA,Growing fibre crops industry,XAF,0.0,EU27,2018
