,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,ARG,2012
1,IDN,Growing maize industry,XAM,0.00039619707139626833,ARG,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,ARG,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0105622638831817,ARG,2012
4,IDN,Growing rice industry,XAM,8.013669380162362e-07,ARG,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,ARG,2012
6,IDN,Growing sugar beet and cane industry,XAM,0.000354116254321245,ARG,2012
7,IDN,Growing tobacco industry,XAM,0.001953931289379672,ARG,2012
8,IDN,Growing fibre crops industry,XAM,1.803340227797272e-08,ARG,2012
9,IDN,Growing crops n.e.c. industry,XAM,0.0028539029763164315,ARG,2012
10,IDN,Growing grapes industry,XAM,0.0,ARG,2012
11,IDN,Growing fruits and nuts industry,XAM,0.0037020912525740396,ARG,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,9.501992615932175e-05,ARG,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.005081706258773933,ARG,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,ARG,2012
15,IDN,Raising of cattle industry,XAM,0.0006022188466493658,ARG,2012
16,IDN,Growing wheat industry,XEU,0.0,ARG,2012
17,IDN,Growing maize industry,XEU,3.286827741479986e-05,ARG,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,ARG,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0015918340715677835,ARG,2012
20,IDN,Growing rice industry,XEU,7.313454659560316e-08,ARG,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,ARG,2012
22,IDN,Growing sugar beet and cane industry,XEU,0.0001203956554134936,ARG,2012
23,IDN,Growing tobacco industry,XEU,1.597269447344778e-05,ARG,2012
24,IDN,Growing fibre crops industry,XEU,1.1026213143366336e-08,ARG,2012
25,IDN,Growing crops n.e.c. industry,XEU,0.0002991395728718181,ARG,2012
26,IDN,Growing grapes industry,XEU,0.0,ARG,2012
27,IDN,Growing fruits and nuts industry,XEU,0.00023631221973476415,ARG,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,9.811609989030009e-06,ARG,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0003173222781680623,ARG,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,ARG,2012
31,IDN,Raising of cattle industry,XEU,7.094645574740398e-05,ARG,2012
32,IDN,Growing wheat industry,XAF,0.0,ARG,2012
