,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BDI,2012
1,IDN,Growing maize industry,XAM,2.0890717303046478e-07,BDI,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BDI,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,1.1916122304340901e-05,BDI,2012
4,IDN,Growing rice industry,XAM,8.950948727873358e-10,BDI,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BDI,2012
6,IDN,Growing sugar beet and cane industry,XAM,1.0400324420647477e-07,BDI,2012
7,IDN,Growing tobacco industry,XAM,5.780057908074736e-08,BDI,2012
8,IDN,Growing fibre crops industry,XAM,3.1363130085127828e-12,BDI,2012
9,IDN,Growing crops n.e.c. industry,XAM,3.832186355172064e-07,BDI,2012
10,IDN,Growing grapes industry,XAM,0.0,BDI,2012
11,IDN,Growing fruits and nuts industry,XAM,4.4103282212699723e-07,BDI,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.068318014424e-07,BDI,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.742559817561707e-07,BDI,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,BDI,2012
15,IDN,Raising of cattle industry,XAM,1.2995706081336056e-07,BDI,2012
16,IDN,Growing wheat industry,XEU,0.0,BDI,2012
17,IDN,Growing maize industry,XEU,1.5100180280883741e-07,BDI,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BDI,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,7.77646018767209e-06,BDI,2012
20,IDN,Growing rice industry,XEU,4.4218246159163567e-10,BDI,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BDI,2012
22,IDN,Growing sugar beet and cane industry,XEU,7.325354127639646e-08,BDI,2012
23,IDN,Growing tobacco industry,XEU,3.872182584634696e-08,BDI,2012
24,IDN,Growing fibre crops industry,XEU,2.3853358224823983e-12,BDI,2012
25,IDN,Growing crops n.e.c. industry,XEU,2.8587467373127786e-07,BDI,2012
26,IDN,Growing grapes industry,XEU,0.0,BDI,2012
27,IDN,Growing fruits and nuts industry,XEU,2.764423828727548e-07,BDI,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.2313133174211693e-07,BDI,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.8584402605937012e-07,BDI,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,BDI,2012
31,IDN,Raising of cattle industry,XEU,1.0802800934409529e-07,BDI,2012
32,IDN,Growing wheat industry,XAF,0.0,BDI,2012
33,IDN,Growing maize industry,XAF,7.20368054974387e-07,BDI,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BDI,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,4.55917836219999e-05,BDI,2012
36,IDN,Growing rice industry,XAF,1.8726793284148213e-08,BDI,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BDI,2012
38,IDN,Growing sugar beet and cane industry,XAF,3.791361138280228e-07,BDI,2012
39,IDN,Growing tobacco industry,XAF,1.2284761848107983e-07,BDI,2012
40,IDN,Growing fibre crops industry,XAF,1.0438282955352656e-11,BDI,2012
41,IDN,Growing crops n.e.c. industry,XAF,1.0685323008665025e-06,BDI,2012
42,IDN,Growing grapes industry,XAF,0.0,BDI,2012
43,IDN,Growing fruits and nuts industry,XAF,1.3908890183051168e-06,BDI,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.616285751973286e-07,BDI,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,6.894371434298716e-07,BDI,2012
46,IDN,Seeds and plant propagation industry,XAF,0.0,BDI,2012
47,IDN,Raising of cattle industry,XAF,3.6810762895969124e-07,BDI,2012
48,IDN,Growing wheat industry,XAS,0.0,BDI,2012
49,IDN,Growing maize industry,XAS,3.605406327388441e-07,BDI,2012
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BDI,2012
51,IDN,Growing leguminous crops and oil seeds industry,XAS,1.95227444644403e-05,BDI,2012
52,IDN,Growing rice industry,XAS,1.2214564660169058e-09,BDI,2012
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BDI,2012
54,IDN,Growing sugar beet and cane industry,XAS,1.9040970496460602e-07,BDI,2012
55,IDN,Growing tobacco industry,XAS,1.0842149686279996e-07,BDI,2012
56,IDN,Growing fibre crops industry,XAS,8.273704723116259e-12,BDI,2012
57,IDN,Growing crops n.e.c. industry,XAS,9.332858851711531e-07,BDI,2012
58,IDN,Growing grapes industry,XAS,0.0,BDI,2012
59,IDN,Growing fruits and nuts industry,XAS,7.697736465657421e-07,BDI,2012
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,2.591898174258417e-07,BDI,2012
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.2462240477961213e-07,BDI,2012
62,IDN,Seeds and plant propagation industry,XAS,0.0,BDI,2012
63,IDN,Raising of cattle industry,XAS,3.0916346640444756e-07,BDI,2012
64,IDN,Growing wheat industry,AFG,0.0,BDI,2012
65,IDN,Growing maize industry,AFG,2.962590929344722e-07,BDI,2012
66,IDN,Growing cereals n.e.c industry,AFG,0.0,BDI,2012
67,IDN,Growing leguminous crops and oil seeds industry,AFG,1.4063952833167302e-05,BDI,2012
68,IDN,Growing rice industry,AFG,1.1383776209533791e-09,BDI,2012
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,BDI,2012
70,IDN,Growing sugar beet and cane industry,AFG,1.4252180650309318e-07,BDI,2012
71,IDN,Growing tobacco industry,AFG,6.899971309398437e-08,BDI,2012
72,IDN,Growing fibre crops industry,AFG,5.587718106637617e-12,BDI,2012
73,IDN,Growing crops n.e.c. industry,AFG,8.463531903642504e-07,BDI,2012
74,IDN,Growing grapes industry,AFG,0.0,BDI,2012
75,IDN,Growing fruits and nuts industry,AFG,5.16144312181557e-07,BDI,2012
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,1.4404679757760487e-07,BDI,2012
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.9071756790990896e-07,BDI,2012
78,IDN,Seeds and plant propagation industry,AFG,0.0,BDI,2012
79,IDN,Raising of cattle industry,AFG,2.3175328855839555e-07,BDI,2012
80,IDN,Growing wheat industry,AGO,0.0,BDI,2012
81,IDN,Growing maize industry,AGO,6.278751573845066e-07,BDI,2012
82,IDN,Growing cereals n.e.c industry,AGO,0.0,BDI,2012
83,IDN,Growing leguminous crops and oil seeds industry,AGO,3.8525198676567e-05,BDI,2012
84,IDN,Growing rice industry,AGO,2.7767973488296223e-09,BDI,2012
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,BDI,2012
86,IDN,Growing sugar beet and cane industry,AGO,3.1266198649187325e-07,BDI,2012
87,IDN,Growing tobacco industry,AGO,1.7543403067970012e-07,BDI,2012
88,IDN,Growing fibre crops industry,AGO,1.0185076712308765e-11,BDI,2012
89,IDN,Growing crops n.e.c. industry,AGO,1.294323467209877e-06,BDI,2012
90,IDN,Growing grapes industry,AGO,0.0,BDI,2012
91,IDN,Growing fruits and nuts industry,AGO,1.4253762160149292e-06,BDI,2012
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,5.977928468636659e-07,BDI,2012
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,8.191913599470576e-07,BDI,2012
94,IDN,Seeds and plant propagation industry,AGO,0.0,BDI,2012
95,IDN,Raising of cattle industry,AGO,4.0914845582941587e-07,BDI,2012
96,IDN,Growing wheat industry,ALB,0.0,BDI,2012
97,IDN,Growing maize industry,ALB,9.223873528320668e-08,BDI,2012
98,IDN,Growing cereals n.e.c industry,ALB,0.0,BDI,2012
99,IDN,Growing leguminous crops and oil seeds industry,ALB,6.096543850267704e-06,BDI,2012
100,IDN,Growing rice industry,ALB,2.0122074926140626e-09,BDI,2012
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,BDI,2012
102,IDN,Growing sugar beet and cane industry,ALB,4.8706836158971026e-08,BDI,2012
103,IDN,Growing tobacco industry,ALB,1.6027581666979384e-08,BDI,2012
104,IDN,Growing fibre crops industry,ALB,1.3450242981231033e-12,BDI,2012
105,IDN,Growing crops n.e.c. industry,ALB,1.4928365880573075e-07,BDI,2012
106,IDN,Growing grapes industry,ALB,0.0,BDI,2012
107,IDN,Growing fruits and nuts industry,ALB,2.092524151774898e-07,BDI,2012
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,4.179117071246718e-08,BDI,2012
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,9.809920050741535e-08,BDI,2012
110,IDN,Seeds and plant propagation industry,ALB,0.0,BDI,2012
111,IDN,Raising of cattle industry,ALB,4.936436114527053e-08,BDI,2012
112,IDN,Growing wheat industry,ARE,0.0,BDI,2012
113,IDN,Growing maize industry,ARE,3.6459916775685726e-05,BDI,2012
114,IDN,Growing cereals n.e.c industry,ARE,0.0,BDI,2012
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.0018087973653347239,BDI,2012
116,IDN,Growing rice industry,ARE,8.213069449491844e-08,BDI,2012
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,BDI,2012
118,IDN,Growing sugar beet and cane industry,ARE,2.0070820562881226e-05,BDI,2012
119,IDN,Growing tobacco industry,ARE,1.1767108883879236e-05,BDI,2012
120,IDN,Growing fibre crops industry,ARE,1.0455731206361298e-09,BDI,2012
121,IDN,Growing crops n.e.c. industry,ARE,0.00011525797881457662,BDI,2012
122,IDN,Growing grapes industry,ARE,0.0,BDI,2012
123,IDN,Growing fruits and nuts industry,ARE,7.223245654428604e-05,BDI,2012
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,1.534945948118846e-05,BDI,2012
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,3.9447757422601374e-05,BDI,2012
126,IDN,Seeds and plant propagation industry,ARE,0.0,BDI,2012
127,IDN,Raising of cattle industry,ARE,3.686468679881413e-05,BDI,2012
