,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BOL,2012
1,IDN,Growing maize industry,XAM,5.344085855532188e-05,BOL,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BOL,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.001463327396005235,BOL,2012
4,IDN,Growing rice industry,XAM,7.897329430987529e-08,BOL,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BOL,2012
6,IDN,Growing sugar beet and cane industry,XAM,4.1400046255660086e-05,BOL,2012
7,IDN,Growing tobacco industry,XAM,2.7089710521308697e-05,BOL,2012
8,IDN,Growing fibre crops industry,XAM,1.4418515569952634e-09,BOL,2012
9,IDN,Growing crops n.e.c. industry,XAM,0.00012931740977749776,BOL,2012
10,IDN,Growing grapes industry,XAM,0.0,BOL,2012
11,IDN,Growing fruits and nuts industry,XAM,0.00010304082502861147,BOL,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.2736319757572349e-05,BOL,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0008216355608985371,BOL,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,BOL,2012
15,IDN,Raising of cattle industry,XAM,3.3496123529642155e-05,BOL,2012
16,IDN,Growing wheat industry,XEU,0.0,BOL,2012
17,IDN,Growing maize industry,XEU,5.6999780917047316e-05,BOL,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BOL,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0008585302197241319,BOL,2012
20,IDN,Growing rice industry,XEU,4.437489519803563e-08,BOL,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BOL,2012
22,IDN,Growing sugar beet and cane industry,XEU,4.5174119832113875e-05,BOL,2012
23,IDN,Growing tobacco industry,XEU,1.2373178107065847e-05,BOL,2012
24,IDN,Growing fibre crops industry,XEU,8.749849162935661e-10,BOL,2012
25,IDN,Growing crops n.e.c. industry,XEU,9.56170991057953e-05,BOL,2012
26,IDN,Growing grapes industry,XEU,0.0,BOL,2012
27,IDN,Growing fruits and nuts industry,XEU,7.073063157331322e-05,BOL,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,5.861210200117398e-06,BOL,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0003750904381653111,BOL,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,BOL,2012
31,IDN,Raising of cattle industry,XEU,2.5998297098207927e-05,BOL,2012
32,IDN,Growing wheat industry,XAF,0.0,BOL,2012
33,IDN,Growing maize industry,XAF,7.76732720708061e-06,BOL,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BOL,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00021474749540851442,BOL,2012
36,IDN,Growing rice industry,XAF,1.0953619913598882e-08,BOL,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BOL,2012
38,IDN,Growing sugar beet and cane industry,XAF,6.209101836684055e-06,BOL,2012
39,IDN,Growing tobacco industry,XAF,2.6480806195286233e-06,BOL,2012
40,IDN,Growing fibre crops industry,XAF,2.1992439246776214e-10,BOL,2012
41,IDN,Growing crops n.e.c. industry,XAF,1.5066577780776083e-05,BOL,2012
42,IDN,Growing grapes industry,XAF,0.0,BOL,2012
43,IDN,Growing fruits and nuts industry,XAF,1.5245579528704184e-05,BOL,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.5264097663046008e-06,BOL,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.00014149422106999603,BOL,2012
46,IDN,Seeds and plant propagation industry,XAF,0.0,BOL,2012
47,IDN,Raising of cattle industry,XAF,4.4185845265360434e-06,BOL,2012
48,IDN,Growing wheat industry,XAS,0.0,BOL,2012
49,IDN,Growing maize industry,XAS,1.8404711537739077e-05,BOL,2012
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BOL,2012
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0005772312586829939,BOL,2012
52,IDN,Growing rice industry,XAS,2.5808511823894773e-08,BOL,2012
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BOL,2012
54,IDN,Growing sugar beet and cane industry,XAS,1.4358318480455443e-05,BOL,2012
55,IDN,Growing tobacco industry,XAS,7.0966993783576125e-06,BOL,2012
56,IDN,Growing fibre crops industry,XAS,4.877134352068216e-10,BOL,2012
57,IDN,Growing crops n.e.c. industry,XAS,3.995392331628891e-05,BOL,2012
58,IDN,Growing grapes industry,XAS,0.0,BOL,2012
59,IDN,Growing fruits and nuts industry,XAS,3.750402185231402e-05,BOL,2012
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,4.010848112590045e-06,BOL,2012
