,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BWA,2012
1,IDN,Growing maize industry,XAM,1.3349977090285413e-05,BWA,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BWA,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0007026588513687916,BWA,2012
4,IDN,Growing rice industry,XAM,2.4170991083426964e-08,BWA,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BWA,2012
6,IDN,Growing sugar beet and cane industry,XAM,1.1809294909892313e-05,BWA,2012
7,IDN,Growing tobacco industry,XAM,5.444860773520071e-06,BWA,2012
8,IDN,Growing fibre crops industry,XAM,1.980268549767629e-09,BWA,2012
9,IDN,Growing crops n.e.c. industry,XAM,2.9038367036910053e-05,BWA,2012
10,IDN,Growing grapes industry,XAM,0.0,BWA,2012
11,IDN,Growing fruits and nuts industry,XAM,3.020788400483406e-05,BWA,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.341260783258477e-06,BWA,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.2444545217943455e-05,BWA,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,BWA,2012
15,IDN,Raising of cattle industry,XAM,1.4701832475402767e-05,BWA,2012
16,IDN,Growing wheat industry,XEU,0.0,BWA,2012
17,IDN,Growing maize industry,XEU,6.3578867689082124e-06,BWA,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BWA,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00033602594742572576,BWA,2012
20,IDN,Growing rice industry,XEU,1.1309743462801978e-08,BWA,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BWA,2012
22,IDN,Growing sugar beet and cane industry,XEU,7.319163818495645e-06,BWA,2012
23,IDN,Growing tobacco industry,XEU,2.385987331332716e-06,BWA,2012
24,IDN,Growing fibre crops industry,XEU,1.752655002618239e-09,BWA,2012
25,IDN,Growing crops n.e.c. industry,XEU,1.230055136314843e-05,BWA,2012
26,IDN,Growing grapes industry,XEU,0.0,BWA,2012
27,IDN,Growing fruits and nuts industry,XEU,1.4221410044231954e-05,BWA,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.514026007152263e-06,BWA,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.2258837223338498e-05,BWA,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,BWA,2012
31,IDN,Raising of cattle industry,XEU,6.028497346745073e-06,BWA,2012
32,IDN,Growing wheat industry,XAF,0.0,BWA,2012
33,IDN,Growing maize industry,XAF,8.91084262262047e-05,BWA,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BWA,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.004224968095078627,BWA,2012
36,IDN,Growing rice industry,XAF,1.717500386790424e-07,BWA,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BWA,2012
38,IDN,Growing sugar beet and cane industry,XAF,0.0001334890929333238,BWA,2012
39,IDN,Growing tobacco industry,XAF,2.4710204659716873e-05,BWA,2012
40,IDN,Growing fibre crops industry,XAF,4.29308332372387e-08,BWA,2012
41,IDN,Growing crops n.e.c. industry,XAF,0.0001646929439111139,BWA,2012
42,IDN,Growing grapes industry,XAF,0.0,BWA,2012
43,IDN,Growing fruits and nuts industry,XAF,0.0001900692777336111,BWA,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.6824437057171304e-05,BWA,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.00016707275771244578,BWA,2012
46,IDN,Seeds and plant propagation industry,XAF,0.0,BWA,2012
47,IDN,Raising of cattle industry,XAF,7.659396863920677e-05,BWA,2012
48,IDN,Growing wheat industry,XAS,0.0,BWA,2012
49,IDN,Growing maize industry,XAS,6.943727921822994e-06,BWA,2012
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BWA,2012
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00035788859640164525,BWA,2012
52,IDN,Growing rice industry,XAS,1.2548814125907398e-08,BWA,2012
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BWA,2012
54,IDN,Growing sugar beet and cane industry,XAS,6.434117391326811e-06,BWA,2012
55,IDN,Growing tobacco industry,XAS,2.2874616419716287e-06,BWA,2012
56,IDN,Growing fibre crops industry,XAS,1.1826700667513606e-09,BWA,2012
57,IDN,Growing crops n.e.c. industry,XAS,1.3149259512166545e-05,BWA,2012
58,IDN,Growing grapes industry,XAS,0.0,BWA,2012
59,IDN,Growing fruits and nuts industry,XAS,1.505309466581522e-05,BWA,2012
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,1.4791885618364034e-06,BWA,2012
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.551703615768469e-05,BWA,2012
62,IDN,Seeds and plant propagation industry,XAS,0.0,BWA,2012
63,IDN,Raising of cattle industry,XAS,6.875696055696026e-06,BWA,2012
64,IDN,Growing wheat industry,AFG,0.0,BWA,2012
65,IDN,Growing maize industry,AFG,3.453264980964335e-06,BWA,2012
66,IDN,Growing cereals n.e.c industry,AFG,0.0,BWA,2012
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.00018029183549821191,BWA,2012
68,IDN,Growing rice industry,AFG,6.337162799582233e-09,BWA,2012
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,BWA,2012
70,IDN,Growing sugar beet and cane industry,AFG,3.0496539889909017e-06,BWA,2012
71,IDN,Growing tobacco industry,AFG,1.5775315145840903e-06,BWA,2012
72,IDN,Growing fibre crops industry,AFG,5.459997612109299e-10,BWA,2012
73,IDN,Growing crops n.e.c. industry,AFG,6.927350622309116e-06,BWA,2012
74,IDN,Growing grapes industry,AFG,0.0,BWA,2012
75,IDN,Growing fruits and nuts industry,AFG,8.018211681479762e-06,BWA,2012
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,8.886797031412135e-07,BWA,2012
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,7.824637490818638e-06,BWA,2012
78,IDN,Seeds and plant propagation industry,AFG,0.0,BWA,2012
79,IDN,Raising of cattle industry,AFG,3.490801166354941e-06,BWA,2012
80,IDN,Growing wheat industry,AGO,0.0,BWA,2012
81,IDN,Growing maize industry,AGO,0.0006119608324913606,BWA,2012
82,IDN,Growing cereals n.e.c industry,AGO,0.0,BWA,2012
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.030556585499176878,BWA,2012
84,IDN,Growing rice industry,AGO,1.0942302220451866e-06,BWA,2012
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,BWA,2012
86,IDN,Growing sugar beet and cane industry,AGO,0.0004806569664849898,BWA,2012
87,IDN,Growing tobacco industry,AGO,0.0002624722465975254,BWA,2012
88,IDN,Growing fibre crops industry,AGO,4.112210256518002e-08,BWA,2012
89,IDN,Growing crops n.e.c. industry,AGO,0.0011373205126019937,BWA,2012
90,IDN,Growing grapes industry,AGO,0.0,BWA,2012
91,IDN,Growing fruits and nuts industry,AGO,0.0014150033743107022,BWA,2012
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,0.00015134514804224602,BWA,2012
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.0010278104954761452,BWA,2012
94,IDN,Seeds and plant propagation industry,AGO,0.0,BWA,2012
95,IDN,Raising of cattle industry,AGO,0.0004853286025632432,BWA,2012
96,IDN,Growing wheat industry,ALB,0.0,BWA,2012
97,IDN,Growing maize industry,ALB,1.8336953632015836e-06,BWA,2012
98,IDN,Growing cereals n.e.c industry,ALB,0.0,BWA,2012
99,IDN,Growing leguminous crops and oil seeds industry,ALB,8.077532263660699e-05,BWA,2012
100,IDN,Growing rice industry,ALB,3.392150235149957e-09,BWA,2012
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,BWA,2012
102,IDN,Growing sugar beet and cane industry,ALB,1.6566605420133829e-06,BWA,2012
103,IDN,Growing tobacco industry,ALB,4.6006926691578804e-07,BWA,2012
104,IDN,Growing fibre crops industry,ALB,2.5594508945284683e-10,BWA,2012
105,IDN,Growing crops n.e.c. industry,ALB,2.5631739833026475e-06,BWA,2012
106,IDN,Growing grapes industry,ALB,0.0,BWA,2012
107,IDN,Growing fruits and nuts industry,ALB,3.784980781625894e-06,BWA,2012
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,2.9277005260145456e-07,BWA,2012
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,3.4949245131737752e-06,BWA,2012
110,IDN,Seeds and plant propagation industry,ALB,0.0,BWA,2012
111,IDN,Raising of cattle industry,ALB,1.2610775708921e-06,BWA,2012
112,IDN,Growing wheat industry,ARE,0.0,BWA,2012
113,IDN,Growing maize industry,ARE,0.00048018215096024317,BWA,2012
114,IDN,Growing cereals n.e.c industry,ARE,0.0,BWA,2012
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.017597729948658075,BWA,2012
116,IDN,Growing rice industry,ARE,7.054981300101877e-07,BWA,2012
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,BWA,2012
118,IDN,Growing sugar beet and cane industry,ARE,0.0002972751547137132,BWA,2012
119,IDN,Growing tobacco industry,ARE,0.00016252206988305804,BWA,2012
120,IDN,Growing fibre crops industry,ARE,1.8450659886693903e-08,BWA,2012
121,IDN,Growing crops n.e.c. industry,ARE,0.0006818650247232123,BWA,2012
122,IDN,Growing grapes industry,ARE,0.0,BWA,2012
123,IDN,Growing fruits and nuts industry,ARE,0.0008013738311322991,BWA,2012
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,8.99368394561077e-05,BWA,2012
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.0005884616861506009,BWA,2012
126,IDN,Seeds and plant propagation industry,ARE,0.0,BWA,2012
127,IDN,Raising of cattle industry,ARE,0.0005399517681532435,BWA,2012
128,IDN,Growing wheat industry,ARG,0.0,BWA,2012
129,IDN,Growing maize industry,ARG,1.9121955948000302e-05,BWA,2012
130,IDN,Growing cereals n.e.c industry,ARG,0.0,BWA,2012
131,IDN,Growing leguminous crops and oil seeds industry,ARG,0.0010541017447321583,BWA,2012
132,IDN,Growing rice industry,ARG,3.502467610356333e-08,BWA,2012
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,BWA,2012
134,IDN,Growing sugar beet and cane industry,ARG,1.8994608738315396e-05,BWA,2012
135,IDN,Growing tobacco industry,ARG,6.622000308864535e-06,BWA,2012
136,IDN,Growing fibre crops industry,ARG,3.932528692286134e-09,BWA,2012
137,IDN,Growing crops n.e.c. industry,ARG,4.1111811174165524e-05,BWA,2012
138,IDN,Growing grapes industry,ARG,0.0,BWA,2012
139,IDN,Growing fruits and nuts industry,ARG,4.294664201299551e-05,BWA,2012
140,IDN,"Growing beverage crops (coffee, tea etc) industry",ARG,4.4288592950714476e-06,BWA,2012
141,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,4.5982120351179165e-05,BWA,2012
142,IDN,Seeds and plant propagation industry,ARG,0.0,BWA,2012
143,IDN,Raising of cattle industry,ARG,1.978003596815772e-05,BWA,2012
144,IDN,Growing wheat industry,ARM,0.0,BWA,2012
145,IDN,Growing maize industry,ARM,3.3625933520197305e-05,BWA,2012
146,IDN,Growing cereals n.e.c industry,ARM,0.0,BWA,2012
147,IDN,Growing leguminous crops and oil seeds industry,ARM,0.001153519557959167,BWA,2012
