,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,KOR,2012
1,IDN,Growing maize industry,XAM,0.0187067946875038,KOR,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,KOR,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.8674634205409777,KOR,2012
4,IDN,Growing rice industry,XAM,8.314352309259922e-05,KOR,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,KOR,2012
6,IDN,Growing sugar beet and cane industry,XAM,0.015227559677037483,KOR,2012
7,IDN,Growing tobacco industry,XAM,0.041085869341301616,KOR,2012
8,IDN,Growing fibre crops industry,XAM,7.407012306570016e-07,KOR,2012
9,IDN,Growing crops n.e.c. industry,XAM,0.10016009663739983,KOR,2012
10,IDN,Growing grapes industry,XAM,0.0,KOR,2012
11,IDN,Growing fruits and nuts industry,XAM,0.04037595078496494,KOR,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.02275132504599392,KOR,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.06211150099853024,KOR,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,KOR,2012
15,IDN,Raising of cattle industry,XAM,0.03298201313537879,KOR,2012
16,IDN,Growing wheat industry,XEU,0.0,KOR,2012
17,IDN,Growing maize industry,XEU,0.001621732726359413,KOR,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,KOR,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.08024846292119758,KOR,2012
20,IDN,Growing rice industry,XEU,7.217949739574784e-06,KOR,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,KOR,2012
22,IDN,Growing sugar beet and cane industry,XEU,0.001186654142283542,KOR,2012
23,IDN,Growing tobacco industry,XEU,0.0008094948282371523,KOR,2012
24,IDN,Growing fibre crops industry,XEU,6.838277212550858e-08,KOR,2012
25,IDN,Growing crops n.e.c. industry,XEU,0.004862207491562578,KOR,2012
26,IDN,Growing grapes industry,XEU,0.0,KOR,2012
27,IDN,Growing fruits and nuts industry,XEU,0.0035092300854635754,KOR,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0031958603844921985,KOR,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.006228723342410103,KOR,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,KOR,2012
31,IDN,Raising of cattle industry,XEU,0.0028014473595849407,KOR,2012
32,IDN,Growing wheat industry,XAF,0.0,KOR,2012
33,IDN,Growing maize industry,XAF,0.003512776586239602,KOR,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,KOR,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.18410687368592296,KOR,2012
36,IDN,Growing rice industry,XAF,2.060985131021574e-05,KOR,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,KOR,2012
38,IDN,Growing sugar beet and cane industry,XAF,0.004385502948690038,KOR,2012
39,IDN,Growing tobacco industry,XAF,0.002575717295084595,KOR,2012
40,IDN,Growing fibre crops industry,XAF,2.837331246711825e-07,KOR,2012
41,IDN,Growing crops n.e.c. industry,XAF,0.010663175354875726,KOR,2012
42,IDN,Growing grapes industry,XAF,0.0,KOR,2012
43,IDN,Growing fruits and nuts industry,XAF,0.008083622562617795,KOR,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,0.006519568578932973,KOR,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.01900523921702252,KOR,2012
46,IDN,Seeds and plant propagation industry,XAF,0.0,KOR,2012
47,IDN,Raising of cattle industry,XAF,0.006874748862855715,KOR,2012
48,IDN,Growing wheat industry,XAS,0.0,KOR,2012
49,IDN,Growing maize industry,XAS,0.013025809628184434,KOR,2012
50,IDN,Growing cereals n.e.c industry,XAS,0.0,KOR,2012
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.5624909934998711,KOR,2012
52,IDN,Growing rice industry,XAS,6.864477207825028e-05,KOR,2012
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,KOR,2012
54,IDN,Growing sugar beet and cane industry,XAS,0.007961614469184706,KOR,2012
55,IDN,Growing tobacco industry,XAS,0.028101439099413456,KOR,2012
56,IDN,Growing fibre crops industry,XAS,4.5575395149605873e-07,KOR,2012
57,IDN,Growing crops n.e.c. industry,XAS,0.03181711674172001,KOR,2012
58,IDN,Growing grapes industry,XAS,0.0,KOR,2012
59,IDN,Growing fruits and nuts industry,XAS,0.02592795417621173,KOR,2012
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,0.024433646491697925,KOR,2012
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.07124346771397673,KOR,2012
62,IDN,Seeds and plant propagation industry,XAS,0.0,KOR,2012
63,IDN,Raising of cattle industry,XAS,0.01698622791694403,KOR,2012
64,IDN,Growing wheat industry,AFG,0.0,KOR,2012
65,IDN,Growing maize industry,AFG,0.002831862656898396,KOR,2012
66,IDN,Growing cereals n.e.c industry,AFG,0.0,KOR,2012
