,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,NIC,2012
1,IDN,Growing maize industry,XAM,0.00023256493896331714,NIC,2012
2,IDN,Growing cereals n.e.c industry,XAM,0.0,NIC,2012
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.012836344089725614,NIC,2012
4,IDN,Growing rice industry,XAM,4.787531317147341e-07,NIC,2012
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,NIC,2012
6,IDN,Growing sugar beet and cane industry,XAM,0.00024644560606203316,NIC,2012
7,IDN,Growing tobacco industry,XAM,0.00014687288007918616,NIC,2012
8,IDN,Growing fibre crops industry,XAM,1.1708248767520796e-08,NIC,2012
9,IDN,Growing crops n.e.c. industry,XAM,0.0020763499795953986,NIC,2012
10,IDN,Growing grapes industry,XAM,0.0,NIC,2012
11,IDN,Growing fruits and nuts industry,XAM,0.0005758802501248315,NIC,2012
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,6.35405185965506e-05,NIC,2012
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.000909362415613255,NIC,2012
14,IDN,Seeds and plant propagation industry,XAM,0.0,NIC,2012
15,IDN,Raising of cattle industry,XAM,0.0003369951383550764,NIC,2012
16,IDN,Growing wheat industry,XEU,0.0,NIC,2012
17,IDN,Growing maize industry,XEU,1.3135965094217862e-05,NIC,2012
18,IDN,Growing cereals n.e.c industry,XEU,0.0,NIC,2012
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0007383734306648433,NIC,2012
20,IDN,Growing rice industry,XEU,2.8224742300868975e-08,NIC,2012
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,NIC,2012
22,IDN,Growing sugar beet and cane industry,XEU,1.693874852725858e-05,NIC,2012
23,IDN,Growing tobacco industry,XEU,8.170766964751033e-06,NIC,2012
24,IDN,Growing fibre crops industry,XEU,8.943172185244524e-10,NIC,2012
25,IDN,Growing crops n.e.c. industry,XEU,0.00011406136390187836,NIC,2012
26,IDN,Growing grapes industry,XEU,0.0,NIC,2012
27,IDN,Growing fruits and nuts industry,XEU,3.285066265034608e-05,NIC,2012
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,3.590951488911014e-06,NIC,2012
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.973701979524724e-05,NIC,2012
30,IDN,Seeds and plant propagation industry,XEU,0.0,NIC,2012
31,IDN,Raising of cattle industry,XEU,2.0414229267549815e-05,NIC,2012
32,IDN,Growing wheat industry,XAF,0.0,NIC,2012
33,IDN,Growing maize industry,XAF,1.9416365133983168e-06,NIC,2012
34,IDN,Growing cereals n.e.c industry,XAF,0.0,NIC,2012
35,IDN,Growing leguminous crops and oil seeds industry,XAF,9.675449226579309e-05,NIC,2012
36,IDN,Growing rice industry,XAF,5.055578711604152e-09,NIC,2012
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,NIC,2012
38,IDN,Growing sugar beet and cane industry,XAF,4.6197812684611896e-06,NIC,2012
39,IDN,Growing tobacco industry,XAF,1.016992557203002e-06,NIC,2012
40,IDN,Growing fibre crops industry,XAF,2.9020849539952285e-10,NIC,2012
41,IDN,Growing crops n.e.c. industry,XAF,9.379132727563608e-06,NIC,2012
42,IDN,Growing grapes industry,XAF,0.0,NIC,2012
43,IDN,Growing fruits and nuts industry,XAF,4.761977756658776e-06,NIC,2012
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,4.830617971630007e-07,NIC,2012
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,5.2770107565574825e-06,NIC,2012
46,IDN,Seeds and plant propagation industry,XAF,0.0,NIC,2012
47,IDN,Raising of cattle industry,XAF,3.607955770566086e-06,NIC,2012
48,IDN,Growing wheat industry,XAS,0.0,NIC,2012
49,IDN,Growing maize industry,XAS,4.768007006506712e-06,NIC,2012
50,IDN,Growing cereals n.e.c industry,XAS,0.0,NIC,2012
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00020945215360756845,NIC,2012
52,IDN,Growing rice industry,XAS,1.1935633568724591e-08,NIC,2012
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,NIC,2012
54,IDN,Growing sugar beet and cane industry,XAS,1.059308948484879e-05,NIC,2012
55,IDN,Growing tobacco industry,XAS,2.214874815255222e-06,NIC,2012
56,IDN,Growing fibre crops industry,XAS,6.085071685378112e-10,NIC,2012
57,IDN,Growing crops n.e.c. industry,XAS,2.0608162698099466e-05,NIC,2012
58,IDN,Growing grapes industry,XAS,0.0,NIC,2012
59,IDN,Growing fruits and nuts industry,XAS,1.0122262623778924e-05,NIC,2012
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,1.0398138576497854e-06,NIC,2012
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.029405548332059e-05,NIC,2012
62,IDN,Seeds and plant propagation industry,XAS,0.0,NIC,2012
63,IDN,Raising of cattle industry,XAS,8.133760074580833e-06,NIC,2012
64,IDN,Growing wheat industry,AFG,0.0,NIC,2012
65,IDN,Growing maize industry,AFG,8.513525450674848e-07,NIC,2012
66,IDN,Growing cereals n.e.c industry,AFG,0.0,NIC,2012
67,IDN,Growing leguminous crops and oil seeds industry,AFG,4.438475595254356e-05,NIC,2012
68,IDN,Growing rice industry,AFG,2.209614390628023e-09,NIC,2012
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,NIC,2012
70,IDN,Growing sugar beet and cane industry,AFG,1.8735857245323647e-06,NIC,2012
71,IDN,Growing tobacco industry,AFG,4.7206666334433846e-07,NIC,2012
72,IDN,Growing fibre crops industry,AFG,1.1372488859185274e-10,NIC,2012
73,IDN,Growing crops n.e.c. industry,AFG,4.228663874115985e-06,NIC,2012
74,IDN,Growing grapes industry,AFG,0.0,NIC,2012
75,IDN,Growing fruits and nuts industry,AFG,2.0228390931924537e-06,NIC,2012
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,2.3164236922330633e-07,NIC,2012
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.2148571399150444e-06,NIC,2012
78,IDN,Seeds and plant propagation industry,AFG,0.0,NIC,2012
79,IDN,Raising of cattle industry,AFG,1.4591522256356664e-06,NIC,2012
80,IDN,Growing wheat industry,AGO,0.0,NIC,2012
81,IDN,Growing maize industry,AGO,1.0038571173855686e-05,NIC,2012
82,IDN,Growing cereals n.e.c industry,AGO,0.0,NIC,2012
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.00047802484851361236,NIC,2012
84,IDN,Growing rice industry,AGO,2.3713819785325166e-08,NIC,2012
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,NIC,2012
