,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BEN,2013
1,IDN,Growing maize industry,XAM,4.527285160888709e-05,BEN,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BEN,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.004537783969862659,BEN,2013
4,IDN,Growing rice industry,XAM,9.7781147477432e-08,BEN,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BEN,2013
6,IDN,Growing sugar beet and cane industry,XAM,2.599712138410402e-05,BEN,2013
7,IDN,Growing tobacco industry,XAM,8.531418578128059e-07,BEN,2013
8,IDN,Growing fibre crops industry,XAM,0.0,BEN,2013
9,IDN,Growing crops n.e.c. industry,XAM,4.4962811844521345e-05,BEN,2013
10,IDN,Growing grapes industry,XAM,0.0,BEN,2013
11,IDN,Growing fruits and nuts industry,XAM,9.92491344609887e-06,BEN,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.290882948381535e-07,BEN,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00019843861023037244,BEN,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,BEN,2013
15,IDN,Raising of cattle industry,XAM,2.8593164971051426e-05,BEN,2013
16,IDN,Growing wheat industry,XEU,0.0,BEN,2013
17,IDN,Growing maize industry,XEU,2.5007274203383524e-06,BEN,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BEN,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0003539244572675172,BEN,2013
20,IDN,Growing rice industry,XEU,9.103406549204438e-09,BEN,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BEN,2013
22,IDN,Growing sugar beet and cane industry,XEU,1.4560117793873172e-06,BEN,2013
23,IDN,Growing tobacco industry,XEU,1.4289831326401478e-07,BEN,2013
24,IDN,Growing fibre crops industry,XEU,0.0,BEN,2013
25,IDN,Growing crops n.e.c. industry,XEU,2.549169742088087e-06,BEN,2013
26,IDN,Growing grapes industry,XEU,0.0,BEN,2013
27,IDN,Growing fruits and nuts industry,XEU,8.281617280912333e-07,BEN,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,7.43663651520743e-08,BEN,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.227998376894409e-06,BEN,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,BEN,2013
31,IDN,Raising of cattle industry,XEU,1.7714223331026522e-06,BEN,2013
32,IDN,Growing wheat industry,XAF,0.0,BEN,2013
33,IDN,Growing maize industry,XAF,1.2379022103838238e-05,BEN,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BEN,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0014026991726919821,BEN,2013
36,IDN,Growing rice industry,XAF,3.401465099381875e-08,BEN,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BEN,2013
38,IDN,Growing sugar beet and cane industry,XAF,7.261548699146235e-06,BEN,2013
39,IDN,Growing tobacco industry,XAF,7.726680772379636e-07,BEN,2013
40,IDN,Growing fibre crops industry,XAF,0.0,BEN,2013
41,IDN,Growing crops n.e.c. industry,XAF,1.2895855791280729e-05,BEN,2013
42,IDN,Growing grapes industry,XAF,0.0,BEN,2013
43,IDN,Growing fruits and nuts industry,XAF,3.3052181775190863e-06,BEN,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.75046924169074e-07,BEN,2013
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.356544025665051e-05,BEN,2013
46,IDN,Seeds and plant propagation industry,XAF,0.0,BEN,2013
47,IDN,Raising of cattle industry,XAF,8.938087062985164e-06,BEN,2013
48,IDN,Growing wheat industry,XAS,0.0,BEN,2013
49,IDN,Growing maize industry,XAS,3.809730355387811e-05,BEN,2013
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BEN,2013
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.002463630648704533,BEN,2013
52,IDN,Growing rice industry,XAS,6.435141408021962e-08,BEN,2013
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BEN,2013
54,IDN,Growing sugar beet and cane industry,XAS,2.204990755507825e-05,BEN,2013
55,IDN,Growing tobacco industry,XAS,2.857333891034624e-06,BEN,2013
56,IDN,Growing fibre crops industry,XAS,0.0,BEN,2013
57,IDN,Growing crops n.e.c. industry,XAS,2.3523265699236384e-05,BEN,2013
58,IDN,Growing grapes industry,XAS,0.0,BEN,2013
59,IDN,Growing fruits and nuts industry,XAS,6.875008939254635e-06,BEN,2013
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,1.628956952715587e-06,BEN,2013
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.852197674116951e-05,BEN,2013
62,IDN,Seeds and plant propagation industry,XAS,0.0,BEN,2013
63,IDN,Raising of cattle industry,XAS,1.8577810335905126e-05,BEN,2013
64,IDN,Growing wheat industry,AFG,0.0,BEN,2013
65,IDN,Growing maize industry,AFG,5.5803319174449585e-06,BEN,2013
66,IDN,Growing cereals n.e.c industry,AFG,0.0,BEN,2013
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0005271686766553012,BEN,2013
68,IDN,Growing rice industry,AFG,1.2573950151312544e-08,BEN,2013
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,BEN,2013
70,IDN,Growing sugar beet and cane industry,AFG,3.274659549324879e-06,BEN,2013
71,IDN,Growing tobacco industry,AFG,1.8928201038613958e-07,BEN,2013
72,IDN,Growing fibre crops industry,AFG,0.0,BEN,2013
73,IDN,Growing crops n.e.c. industry,AFG,4.655004888514136e-06,BEN,2013
74,IDN,Growing grapes industry,AFG,0.0,BEN,2013
75,IDN,Growing fruits and nuts industry,AFG,1.2262983616172824e-06,BEN,2013
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,1.8528804363580856e-07,BEN,2013
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.5371511257084708e-05,BEN,2013
78,IDN,Seeds and plant propagation industry,AFG,0.0,BEN,2013
79,IDN,Raising of cattle industry,AFG,3.145237820700881e-06,BEN,2013
80,IDN,Growing wheat industry,AGO,0.0,BEN,2013
81,IDN,Growing maize industry,AGO,3.595899950158406e-05,BEN,2013
82,IDN,Growing cereals n.e.c industry,AGO,0.0,BEN,2013
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.004493853293454005,BEN,2013
84,IDN,Growing rice industry,AGO,1.1380552253705462e-07,BEN,2013
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,BEN,2013
86,IDN,Growing sugar beet and cane industry,AGO,2.169620145302623e-05,BEN,2013
87,IDN,Growing tobacco industry,AGO,1.941846395108213e-06,BEN,2013
88,IDN,Growing fibre crops industry,AGO,0.0,BEN,2013
89,IDN,Growing crops n.e.c. industry,AGO,3.2274869876978286e-05,BEN,2013
90,IDN,Growing grapes industry,AGO,0.0,BEN,2013
91,IDN,Growing fruits and nuts industry,AGO,1.0519780291200687e-05,BEN,2013
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,8.800698237098717e-07,BEN,2013
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,9.594762978956175e-05,BEN,2013
94,IDN,Seeds and plant propagation industry,AGO,0.0,BEN,2013
95,IDN,Raising of cattle industry,AGO,2.289803360623411e-05,BEN,2013
96,IDN,Growing wheat industry,ALB,0.0,BEN,2013
97,IDN,Growing maize industry,ALB,1.5540278241121624e-06,BEN,2013
98,IDN,Growing cereals n.e.c industry,ALB,0.0,BEN,2013
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.00034547775145983475,BEN,2013
100,IDN,Growing rice industry,ALB,9.202248284032957e-09,BEN,2013
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,BEN,2013
102,IDN,Growing sugar beet and cane industry,ALB,9.553296258860521e-07,BEN,2013
103,IDN,Growing tobacco industry,ALB,9.296548928010724e-08,BEN,2013
104,IDN,Growing fibre crops industry,ALB,0.0,BEN,2013
105,IDN,Growing crops n.e.c. industry,ALB,1.8082546965120813e-06,BEN,2013
106,IDN,Growing grapes industry,ALB,0.0,BEN,2013
107,IDN,Growing fruits and nuts industry,ALB,8.079744009793527e-07,BEN,2013
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,4.01821954354161e-08,BEN,2013
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,5.341533798729288e-06,BEN,2013
110,IDN,Seeds and plant propagation industry,ALB,0.0,BEN,2013
111,IDN,Raising of cattle industry,ALB,1.3201646561625088e-06,BEN,2013
112,IDN,Growing wheat industry,ARE,0.0,BEN,2013
113,IDN,Growing maize industry,ARE,0.0001991487585413265,BEN,2013
114,IDN,Growing cereals n.e.c industry,ARE,0.0,BEN,2013
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.06622364941585017,BEN,2013
116,IDN,Growing rice industry,ARE,1.546272016639662e-06,BEN,2013
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,BEN,2013
118,IDN,Growing sugar beet and cane industry,ARE,0.00011503923476332451,BEN,2013
119,IDN,Growing tobacco industry,ARE,2.101030049104603e-05,BEN,2013
120,IDN,Growing fibre crops industry,ARE,0.0,BEN,2013
121,IDN,Growing crops n.e.c. industry,ARE,0.0001941900429664926,BEN,2013
122,IDN,Growing grapes industry,ARE,0.0,BEN,2013
123,IDN,Growing fruits and nuts industry,ARE,0.00014266567652285192,BEN,2013
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,6.051000580226914e-06,BEN,2013
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.0003229137360179924,BEN,2013
126,IDN,Seeds and plant propagation industry,ARE,0.0,BEN,2013
127,IDN,Raising of cattle industry,ARE,0.0001242141932932721,BEN,2013
128,IDN,Growing wheat industry,ARG,0.0,BEN,2013
129,IDN,Growing maize industry,ARG,1.351472650203629e-05,BEN,2013
130,IDN,Growing cereals n.e.c industry,ARG,0.0,BEN,2013
131,IDN,Growing leguminous crops and oil seeds industry,ARG,0.0021698452505795247,BEN,2013
132,IDN,Growing rice industry,ARG,5.233071730854635e-08,BEN,2013
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,BEN,2013
134,IDN,Growing sugar beet and cane industry,ARG,8.25323239308652e-06,BEN,2013
135,IDN,Growing tobacco industry,ARG,1.031980588107255e-06,BEN,2013
136,IDN,Growing fibre crops industry,ARG,0.0,BEN,2013
137,IDN,Growing crops n.e.c. industry,ARG,2.023226915185196e-05,BEN,2013
138,IDN,Growing grapes industry,ARG,0.0,BEN,2013
139,IDN,Growing fruits and nuts industry,ARG,4.977991777291403e-06,BEN,2013
140,IDN,"Growing beverage crops (coffee, tea etc) industry",ARG,3.6591943580570356e-07,BEN,2013
141,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,7.006997325789028e-05,BEN,2013
142,IDN,Seeds and plant propagation industry,ARG,0.0,BEN,2013
143,IDN,Raising of cattle industry,ARG,1.4126291642464275e-05,BEN,2013
144,IDN,Growing wheat industry,ARM,0.0,BEN,2013
145,IDN,Growing maize industry,ARM,1.4015720058518274e-06,BEN,2013
146,IDN,Growing cereals n.e.c industry,ARM,0.0,BEN,2013
147,IDN,Growing leguminous crops and oil seeds industry,ARM,0.0002237707131590221,BEN,2013
148,IDN,Growing rice industry,ARM,5.649033327753964e-09,BEN,2013
149,IDN,"Growing vegetables, roots, tubers industry",ARM,0.0,BEN,2013
150,IDN,Growing sugar beet and cane industry,ARM,1.0128120378015426e-06,BEN,2013
151,IDN,Growing tobacco industry,ARM,8.768846757638281e-08,BEN,2013
152,IDN,Growing fibre crops industry,ARM,0.0,BEN,2013
153,IDN,Growing crops n.e.c. industry,ARM,1.954844990331429e-06,BEN,2013
154,IDN,Growing grapes industry,ARM,0.0,BEN,2013
155,IDN,Growing fruits and nuts industry,ARM,5.221781464607095e-07,BEN,2013
156,IDN,"Growing beverage crops (coffee, tea etc) industry",ARM,4.3490626503299985e-08,BEN,2013
157,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,6.490823509794935e-06,BEN,2013
158,IDN,Seeds and plant propagation industry,ARM,0.0,BEN,2013
159,IDN,Raising of cattle industry,ARM,1.555255102765984e-06,BEN,2013
160,IDN,Growing wheat industry,AUS,0.0,BEN,2013
161,IDN,Growing maize industry,AUS,0.00016126009628025909,BEN,2013
162,IDN,Growing cereals n.e.c industry,AUS,0.0,BEN,2013
163,IDN,Growing leguminous crops and oil seeds industry,AUS,0.019568447471041826,BEN,2013
164,IDN,Growing rice industry,AUS,4.887821447772896e-07,BEN,2013
165,IDN,"Growing vegetables, roots, tubers industry",AUS,0.0,BEN,2013
166,IDN,Growing sugar beet and cane industry,AUS,9.60715771665685e-05,BEN,2013
167,IDN,Growing tobacco industry,AUS,8.403410611723492e-06,BEN,2013
168,IDN,Growing fibre crops industry,AUS,0.0,BEN,2013
169,IDN,Growing crops n.e.c. industry,AUS,0.00016340406987095486,BEN,2013
170,IDN,Growing grapes industry,AUS,0.0,BEN,2013
171,IDN,Growing fruits and nuts industry,AUS,4.560194619524966e-05,BEN,2013
172,IDN,"Growing beverage crops (coffee, tea etc) industry",AUS,3.082694793806075e-06,BEN,2013
173,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.0005527050041084678,BEN,2013
174,IDN,Seeds and plant propagation industry,AUS,0.0,BEN,2013
175,IDN,Raising of cattle industry,AUS,0.00011784706196408326,BEN,2013
176,IDN,Growing wheat industry,AUT,0.0,BEN,2013
177,IDN,Growing maize industry,AUT,2.7340364950574236e-05,BEN,2013
178,IDN,Growing cereals n.e.c industry,AUT,0.0,BEN,2013
179,IDN,Growing leguminous crops and oil seeds industry,AUT,0.004902403973705422,BEN,2013
180,IDN,Growing rice industry,AUT,1.1775661644991142e-07,BEN,2013
181,IDN,"Growing vegetables, roots, tubers industry",AUT,0.0,BEN,2013
182,IDN,Growing sugar beet and cane industry,AUT,1.7664535441384958e-05,BEN,2013
183,IDN,Growing tobacco industry,AUT,1.913462768903835e-06,BEN,2013
184,IDN,Growing fibre crops industry,AUT,0.0,BEN,2013
185,IDN,Growing crops n.e.c. industry,AUT,3.6365491035449086e-05,BEN,2013
186,IDN,Growing grapes industry,AUT,0.0,BEN,2013
187,IDN,Growing fruits and nuts industry,AUT,1.1093859221075608e-05,BEN,2013
188,IDN,"Growing beverage crops (coffee, tea etc) industry",AUT,8.172892660138384e-07,BEN,2013
189,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,0.00011623335158673901,BEN,2013
190,IDN,Seeds and plant propagation industry,AUT,0.0,BEN,2013
191,IDN,Raising of cattle industry,AUT,2.7016847451583402e-05,BEN,2013
192,IDN,Growing wheat industry,AZE,0.0,BEN,2013
193,IDN,Growing maize industry,AZE,2.8851980120707094e-06,BEN,2013
