,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BHR,2013
1,IDN,Growing maize industry,XAM,0.0012928558256603208,BHR,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BHR,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0042295346052341875,BHR,2013
4,IDN,Growing rice industry,XAM,4.945908631253919e-07,BHR,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BHR,2013
6,IDN,Growing sugar beet and cane industry,XAM,0.0007904589512407834,BHR,2013
7,IDN,Growing tobacco industry,XAM,0.00012110718146683667,BHR,2013
8,IDN,Growing fibre crops industry,XAM,0.0,BHR,2013
9,IDN,Growing crops n.e.c. industry,XAM,0.0003648261268015496,BHR,2013
10,IDN,Growing grapes industry,XAM,0.0,BHR,2013
11,IDN,Growing fruits and nuts industry,XAM,4.385086734108908e-05,BHR,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.4093798617652566e-05,BHR,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00029684693058015506,BHR,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,BHR,2013
15,IDN,Raising of cattle industry,XAM,0.0005068622963855317,BHR,2013
16,IDN,Growing wheat industry,XEU,0.0,BHR,2013
17,IDN,Growing maize industry,XEU,0.00013229318222468414,BHR,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BHR,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0004451308408399815,BHR,2013
20,IDN,Growing rice industry,XEU,4.4406540566729536e-08,BHR,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BHR,2013
22,IDN,Growing sugar beet and cane industry,XEU,8.387046657251288e-05,BHR,2013
23,IDN,Growing tobacco industry,XEU,1.0104487670051673e-05,BHR,2013
24,IDN,Growing fibre crops industry,XEU,0.0,BHR,2013
25,IDN,Growing crops n.e.c. industry,XEU,3.596020446173331e-05,BHR,2013
26,IDN,Growing grapes industry,XEU,0.0,BHR,2013
27,IDN,Growing fruits and nuts industry,XEU,4.073574212971265e-06,BHR,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.7611057888566882e-06,BHR,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.8808570311912133e-05,BHR,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,BHR,2013
31,IDN,Raising of cattle industry,XEU,5.4789284445049295e-05,BHR,2013
32,IDN,Growing wheat industry,XAF,0.0,BHR,2013
33,IDN,Growing maize industry,XAF,0.00040499111395486117,BHR,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BHR,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0017882589378756617,BHR,2013
36,IDN,Growing rice industry,XAF,1.591405518423923e-07,BHR,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BHR,2013
38,IDN,Growing sugar beet and cane industry,XAF,0.00024840563802770526,BHR,2013
39,IDN,Growing tobacco industry,XAF,3.221151555849827e-05,BHR,2013
40,IDN,Growing fibre crops industry,XAF,0.0,BHR,2013
41,IDN,Growing crops n.e.c. industry,XAF,0.00011604638406145352,BHR,2013
42,IDN,Growing grapes industry,XAF,0.0,BHR,2013
43,IDN,Growing fruits and nuts industry,XAF,1.6541262548966508e-05,BHR,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,8.449860718035309e-06,BHR,2013
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.00012267541073774158,BHR,2013
46,IDN,Seeds and plant propagation industry,XAF,0.0,BHR,2013
47,IDN,Raising of cattle industry,XAF,0.00017619397151356583,BHR,2013
48,IDN,Growing wheat industry,XAS,0.0,BHR,2013
49,IDN,Growing maize industry,XAS,0.0005410617370988929,BHR,2013
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BHR,2013
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00254261707323859,BHR,2013
52,IDN,Growing rice industry,XAS,2.3269996301405538e-07,BHR,2013
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BHR,2013
54,IDN,Growing sugar beet and cane industry,XAS,0.00034039673645401856,BHR,2013
55,IDN,Growing tobacco industry,XAS,5.304845074941071e-05,BHR,2013
56,IDN,Growing fibre crops industry,XAS,0.0,BHR,2013
57,IDN,Growing crops n.e.c. industry,XAS,0.00017157111927948107,BHR,2013
