,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,CIV,2013
1,IDN,Growing maize industry,XAM,2.646596754848127e-05,CIV,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,CIV,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0007942609484992394,CIV,2013
4,IDN,Growing rice industry,XAM,1.1668714696184885e-07,CIV,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,CIV,2013
6,IDN,Growing sugar beet and cane industry,XAM,1.3498639857523547e-05,CIV,2013
7,IDN,Growing tobacco industry,XAM,2.871729198427617e-06,CIV,2013
8,IDN,Growing fibre crops industry,XAM,0.0,CIV,2013
9,IDN,Growing crops n.e.c. industry,XAM,2.736873520815915e-05,CIV,2013
10,IDN,Growing grapes industry,XAM,0.0,CIV,2013
11,IDN,Growing fruits and nuts industry,XAM,5.5485766430006935e-06,CIV,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,9.939214824981777e-07,CIV,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.596426008930062e-05,CIV,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,CIV,2013
15,IDN,Raising of cattle industry,XAM,1.6123048828317588e-05,CIV,2013
16,IDN,Growing wheat industry,XEU,0.0,CIV,2013
17,IDN,Growing maize industry,XEU,3.860537140850689e-06,CIV,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,CIV,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0001475425476028515,CIV,2013
20,IDN,Growing rice industry,XEU,1.3471945499995726e-08,CIV,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,CIV,2013
22,IDN,Growing sugar beet and cane industry,XEU,1.981959874339512e-06,CIV,2013
23,IDN,Growing tobacco industry,XEU,7.150254508679411e-07,CIV,2013
24,IDN,Growing fibre crops industry,XEU,0.0,CIV,2013
25,IDN,Growing crops n.e.c. industry,XEU,4.5026445610963535e-06,CIV,2013
26,IDN,Growing grapes industry,XEU,0.0,CIV,2013
27,IDN,Growing fruits and nuts industry,XEU,7.634852446130853e-07,CIV,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.143948233051601e-07,CIV,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,7.18569465980281e-06,CIV,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,CIV,2013
31,IDN,Raising of cattle industry,XEU,3.053370329129376e-06,CIV,2013
32,IDN,Growing wheat industry,XAF,0.0,CIV,2013
33,IDN,Growing maize industry,XAF,2.5183975287050016e-05,CIV,2013
