,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,LBR,2013
1,IDN,Growing maize industry,XAM,4.921298257510745e-07,LBR,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,LBR,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,6.543289987140297e-05,LBR,2013
4,IDN,Growing rice industry,XAM,1.7098850076202893e-09,LBR,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,LBR,2013
6,IDN,Growing sugar beet and cane industry,XAM,2.527970463936414e-07,LBR,2013
7,IDN,Growing tobacco industry,XAM,2.479320806437298e-07,LBR,2013
8,IDN,Growing fibre crops industry,XAM,0.0,LBR,2013
9,IDN,Growing crops n.e.c. industry,XAM,8.951199807042132e-07,LBR,2013
10,IDN,Growing grapes industry,XAM,0.0,LBR,2013
11,IDN,Growing fruits and nuts industry,XAM,1.4523932182836796e-07,LBR,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,9.750931772949258e-08,LBR,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.433185121807594e-07,LBR,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,LBR,2013
15,IDN,Raising of cattle industry,XAM,7.567715536909571e-07,LBR,2013
16,IDN,Growing wheat industry,XEU,0.0,LBR,2013
17,IDN,Growing maize industry,XEU,1.969753529886566e-07,LBR,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,LBR,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,2.4581461932308733e-05,LBR,2013
20,IDN,Growing rice industry,XEU,6.691350811596107e-10,LBR,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,LBR,2013
22,IDN,Growing sugar beet and cane industry,XEU,1.0259867440894643e-07,LBR,2013
23,IDN,Growing tobacco industry,XEU,9.992309906520828e-08,LBR,2013
24,IDN,Growing fibre crops industry,XEU,0.0,LBR,2013
25,IDN,Growing crops n.e.c. industry,XEU,3.5611989909699114e-07,LBR,2013
26,IDN,Growing grapes industry,XEU,0.0,LBR,2013
27,IDN,Growing fruits and nuts industry,XEU,5.599808061532678e-08,LBR,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,4.433365381796122e-08,LBR,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.5078894763057185e-07,LBR,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,LBR,2013
31,IDN,Raising of cattle industry,XEU,2.891949740377066e-07,LBR,2013
32,IDN,Growing wheat industry,XAF,0.0,LBR,2013
33,IDN,Growing maize industry,XAF,3.4787546549114753e-07,LBR,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,LBR,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,4.458099329222839e-05,LBR,2013
36,IDN,Growing rice industry,XAF,1.1263495630337838e-09,LBR,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,LBR,2013
38,IDN,Growing sugar beet and cane industry,XAF,1.6995185725995068e-07,LBR,2013
39,IDN,Growing tobacco industry,XAF,1.8300584772478925e-07,LBR,2013
40,IDN,Growing fibre crops industry,XAF,0.0,LBR,2013
41,IDN,Growing crops n.e.c. industry,XAF,6.476934494707032e-07,LBR,2013
42,IDN,Growing grapes industry,XAF,0.0,LBR,2013
43,IDN,Growing fruits and nuts industry,XAF,9.801716114781146e-08,LBR,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,7.423274244601799e-08,LBR,2013
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,4.4939394301948016e-07,LBR,2013
46,IDN,Seeds and plant propagation industry,XAF,0.0,LBR,2013
47,IDN,Raising of cattle industry,XAF,5.261802136534005e-07,LBR,2013
48,IDN,Growing wheat industry,XAS,0.0,LBR,2013
49,IDN,Growing maize industry,XAS,4.009186092421089e-07,LBR,2013
50,IDN,Growing cereals n.e.c industry,XAS,0.0,LBR,2013
51,IDN,Growing leguminous crops and oil seeds industry,XAS,5.770782357261071e-05,LBR,2013
52,IDN,Growing rice industry,XAS,1.4444115853411476e-09,LBR,2013
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,LBR,2013
54,IDN,Growing sugar beet and cane industry,XAS,2.0333350317331372e-07,LBR,2013
55,IDN,Growing tobacco industry,XAS,2.2880368397517442e-07,LBR,2013
