,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,MRT,2013
1,IDN,Growing maize industry,XAM,3.3578227796512493e-06,MRT,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,MRT,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.000685116006858692,MRT,2013
4,IDN,Growing rice industry,XAM,1.458923582069961e-08,MRT,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,MRT,2013
6,IDN,Growing sugar beet and cane industry,XAM,1.9986885539577494e-06,MRT,2013
7,IDN,Growing tobacco industry,XAM,6.106111642510128e-07,MRT,2013
8,IDN,Growing fibre crops industry,XAM,0.0,MRT,2013
9,IDN,Growing crops n.e.c. industry,XAM,7.452253992942265e-06,MRT,2013
10,IDN,Growing grapes industry,XAM,0.0,MRT,2013
11,IDN,Growing fruits and nuts industry,XAM,1.479823955140988e-06,MRT,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.1177359708773876e-07,MRT,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.808594945524565e-05,MRT,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,MRT,2013
15,IDN,Raising of cattle industry,XAM,7.28422703459501e-06,MRT,2013
16,IDN,Growing wheat industry,XEU,0.0,MRT,2013
17,IDN,Growing maize industry,XEU,1.128274666045097e-06,MRT,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,MRT,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00032466377442097,MRT,2013
20,IDN,Growing rice industry,XEU,6.625692293528677e-09,MRT,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,MRT,2013
22,IDN,Growing sugar beet and cane industry,XEU,8.098432975084432e-07,MRT,2013
23,IDN,Growing tobacco industry,XEU,2.3373352340577866e-07,MRT,2013
24,IDN,Growing fibre crops industry,XEU,0.0,MRT,2013
25,IDN,Growing crops n.e.c. industry,XEU,2.4418310884608e-06,MRT,2013
26,IDN,Growing grapes industry,XEU,0.0,MRT,2013
27,IDN,Growing fruits and nuts industry,XEU,6.91789693379405e-07,MRT,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.4808713119564438e-07,MRT,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.299847342884083e-06,MRT,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,MRT,2013
31,IDN,Raising of cattle industry,XEU,2.2706329730231845e-06,MRT,2013
32,IDN,Growing wheat industry,XAF,0.0,MRT,2013
33,IDN,Growing maize industry,XAF,2.812699224320561e-06,MRT,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,MRT,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0012829984560917892,MRT,2013
36,IDN,Growing rice industry,XAF,2.4524028681515563e-08,MRT,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,MRT,2013
38,IDN,Growing sugar beet and cane industry,XAF,1.6777784332201033e-06,MRT,2013
39,IDN,Growing tobacco industry,XAF,4.310512400726451e-07,MRT,2013
40,IDN,Growing fibre crops industry,XAF,0.0,MRT,2013
41,IDN,Growing crops n.e.c. industry,XAF,5.673551927093776e-06,MRT,2013
42,IDN,Growing grapes industry,XAF,0.0,MRT,2013
43,IDN,Growing fruits and nuts industry,XAF,2.529808014003267e-06,MRT,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,4.4972753613614525e-07,MRT,2013
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.0525211256610185e-05,MRT,2013
46,IDN,Seeds and plant propagation industry,XAF,0.0,MRT,2013
