,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,NAM,2013
1,IDN,Growing maize industry,XAM,7.084877091357398e-06,NAM,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,NAM,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.00033239673559777106,NAM,2013
4,IDN,Growing rice industry,XAM,1.7489256118939097e-08,NAM,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,NAM,2013
6,IDN,Growing sugar beet and cane industry,XAM,4.13673326731944e-06,NAM,2013
7,IDN,Growing tobacco industry,XAM,2.6769669767314583e-06,NAM,2013
8,IDN,Growing fibre crops industry,XAM,0.0,NAM,2013
9,IDN,Growing crops n.e.c. industry,XAM,1.1712893263585396e-05,NAM,2013
10,IDN,Growing grapes industry,XAM,0.0,NAM,2013
11,IDN,Growing fruits and nuts industry,XAM,1.1454558044699185e-06,NAM,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.6074700101401577e-07,NAM,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.2947214087640332e-05,NAM,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,NAM,2013
15,IDN,Raising of cattle industry,XAM,1.0960527819843356e-05,NAM,2013
16,IDN,Growing wheat industry,XEU,0.0,NAM,2013
17,IDN,Growing maize industry,XEU,1.2509647404346382e-06,NAM,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,NAM,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,5.7808581089609576e-05,NAM,2013
20,IDN,Growing rice industry,XEU,3.3024770731041226e-09,NAM,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,NAM,2013
22,IDN,Growing sugar beet and cane industry,XEU,8.668567431173768e-07,NAM,2013
23,IDN,Growing tobacco industry,XEU,3.162750974743516e-07,NAM,2013
24,IDN,Growing fibre crops industry,XEU,0.0,NAM,2013
25,IDN,Growing crops n.e.c. industry,XEU,1.88634659760559e-06,NAM,2013
26,IDN,Growing grapes industry,XEU,0.0,NAM,2013
27,IDN,Growing fruits and nuts industry,XEU,2.069214100958655e-07,NAM,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,6.216218477958668e-08,NAM,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.976514368503358e-06,NAM,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,NAM,2013
31,IDN,Raising of cattle industry,XEU,1.9558513101523494e-06,NAM,2013
32,IDN,Growing wheat industry,XAF,0.0,NAM,2013
33,IDN,Growing maize industry,XAF,2.5072706935085903e-05,NAM,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,NAM,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0012187094375226398,NAM,2013
36,IDN,Growing rice industry,XAF,9.338401229707477e-08,NAM,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,NAM,2013
38,IDN,Growing sugar beet and cane industry,XAF,1.4217190019364177e-05,NAM,2013
39,IDN,Growing tobacco industry,XAF,6.488278483743483e-06,NAM,2013
40,IDN,Growing fibre crops industry,XAF,0.0,NAM,2013
41,IDN,Growing crops n.e.c. industry,XAF,3.930775766159685e-05,NAM,2013
42,IDN,Growing grapes industry,XAF,0.0,NAM,2013
43,IDN,Growing fruits and nuts industry,XAF,4.725611491066218e-06,NAM,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.1874209560720694e-06,NAM,2013
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,8.053147183828579e-05,NAM,2013
46,IDN,Seeds and plant propagation industry,XAF,0.0,NAM,2013
47,IDN,Raising of cattle industry,XAF,3.23133283760922e-05,NAM,2013
48,IDN,Growing wheat industry,XAS,0.0,NAM,2013
49,IDN,Growing maize industry,XAS,5.901207062948661e-06,NAM,2013
50,IDN,Growing cereals n.e.c industry,XAS,0.0,NAM,2013
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00025536902628874795,NAM,2013
52,IDN,Growing rice industry,XAS,1.5199502882061496e-08,NAM,2013
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,NAM,2013
54,IDN,Growing sugar beet and cane industry,XAS,3.2617769476417987e-06,NAM,2013
55,IDN,Growing tobacco industry,XAS,1.9064995804150354e-06,NAM,2013
56,IDN,Growing fibre crops industry,XAS,0.0,NAM,2013
57,IDN,Growing crops n.e.c. industry,XAS,8.450197280604061e-06,NAM,2013
58,IDN,Growing grapes industry,XAS,0.0,NAM,2013
59,IDN,Growing fruits and nuts industry,XAS,9.389447173660334e-07,NAM,2013
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,2.9672975627965174e-07,NAM,2013
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.6888614632861447e-05,NAM,2013
62,IDN,Seeds and plant propagation industry,XAS,0.0,NAM,2013
63,IDN,Raising of cattle industry,XAS,9.061611028743892e-06,NAM,2013
64,IDN,Growing wheat industry,AFG,0.0,NAM,2013
65,IDN,Growing maize industry,AFG,1.7146084140529202e-06,NAM,2013
66,IDN,Growing cereals n.e.c industry,AFG,0.0,NAM,2013
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0001178299327953442,NAM,2013
68,IDN,Growing rice industry,AFG,4.5388634147864255e-09,NAM,2013
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,NAM,2013
70,IDN,Growing sugar beet and cane industry,AFG,9.80039519897307e-07,NAM,2013
71,IDN,Growing tobacco industry,AFG,4.5718564324707014e-07,NAM,2013
72,IDN,Growing fibre crops industry,AFG,0.0,NAM,2013
73,IDN,Growing crops n.e.c. industry,AFG,3.286969209856155e-06,NAM,2013
74,IDN,Growing grapes industry,AFG,0.0,NAM,2013
75,IDN,Growing fruits and nuts industry,AFG,3.403059321556102e-07,NAM,2013
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,9.002437526792188e-08,NAM,2013
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,7.713258387359457e-06,NAM,2013
