,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,THA,2013
1,IDN,Growing maize industry,XAM,0.00792858702093521,THA,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,THA,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.14787706941385645,THA,2013
4,IDN,Growing rice industry,XAM,2.1774219688765147e-05,THA,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,THA,2013
6,IDN,Growing sugar beet and cane industry,XAM,0.004718336274711241,THA,2013
7,IDN,Growing tobacco industry,XAM,0.002298663662277496,THA,2013
8,IDN,Growing fibre crops industry,XAM,0.0,THA,2013
9,IDN,Growing crops n.e.c. industry,XAM,0.009636603245736513,THA,2013
10,IDN,Growing grapes industry,XAM,0.0,THA,2013
11,IDN,Growing fruits and nuts industry,XAM,0.0023039211587916743,THA,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0007904631692858871,THA,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.005105305423590168,THA,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,THA,2013
15,IDN,Raising of cattle industry,XAM,0.006604180196281972,THA,2013
16,IDN,Growing wheat industry,XEU,0.0,THA,2013
17,IDN,Growing maize industry,XEU,0.0004461887026162358,THA,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,THA,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.009736348188104501,THA,2013
20,IDN,Growing rice industry,XEU,1.806550507994233e-06,THA,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,THA,2013
22,IDN,Growing sugar beet and cane industry,XEU,0.0002490533816154874,THA,2013
23,IDN,Growing tobacco industry,XEU,0.00011010142325959107,THA,2013
24,IDN,Growing fibre crops industry,XEU,0.0,THA,2013
25,IDN,Growing crops n.e.c. industry,XEU,0.0005406554554596563,THA,2013
26,IDN,Growing grapes industry,XEU,0.0,THA,2013
27,IDN,Growing fruits and nuts industry,XEU,0.00018399395421588803,THA,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,6.837917395252097e-05,THA,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0003310589237988672,THA,2013
