,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,UZB,2013
1,IDN,Growing maize industry,XAM,0.0002635488392045133,UZB,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,UZB,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.00028456627602883384,UZB,2013
4,IDN,Growing rice industry,XAM,4.018483386035874e-08,UZB,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,UZB,2013
6,IDN,Growing sugar beet and cane industry,XAM,0.00015239078239981605,UZB,2013
7,IDN,Growing tobacco industry,XAM,1.7741195166750484e-06,UZB,2013
8,IDN,Growing fibre crops industry,XAM,0.0,UZB,2013
9,IDN,Growing crops n.e.c. industry,XAM,7.545465155464866e-06,UZB,2013
10,IDN,Growing grapes industry,XAM,0.0,UZB,2013
11,IDN,Growing fruits and nuts industry,XAM,6.5754657877016495e-06,UZB,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,6.541823062195392e-07,UZB,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.2597728241991836e-05,UZB,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,UZB,2013
15,IDN,Raising of cattle industry,XAM,1.2887498913055428e-05,UZB,2013
16,IDN,Growing wheat industry,XEU,0.0,UZB,2013
17,IDN,Growing maize industry,XEU,1.2174951864592786e-05,UZB,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,UZB,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,3.2585782315004966e-05,UZB,2013
20,IDN,Growing rice industry,XEU,3.602739367768815e-09,UZB,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,UZB,2013
22,IDN,Growing sugar beet and cane industry,XEU,7.2473690087626215e-06,UZB,2013
23,IDN,Growing tobacco industry,XEU,3.559117233823917e-07,UZB,2013
24,IDN,Growing fibre crops industry,XEU,0.0,UZB,2013
25,IDN,Growing crops n.e.c. industry,XEU,1.3258990132187691e-06,UZB,2013
26,IDN,Growing grapes industry,XEU,0.0,UZB,2013
27,IDN,Growing fruits and nuts industry,XEU,4.0529989134149805e-07,UZB,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.2286950026504302e-07,UZB,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.190048886920711e-06,UZB,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,UZB,2013
31,IDN,Raising of cattle industry,XEU,1.913958966864374e-06,UZB,2013
32,IDN,Growing wheat industry,XAF,0.0,UZB,2013
33,IDN,Growing maize industry,XAF,4.8778029295273516e-05,UZB,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,UZB,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,8.77295772719008e-05,UZB,2013
36,IDN,Growing rice industry,XAF,1.0176917695383559e-08,UZB,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,UZB,2013
38,IDN,Growing sugar beet and cane industry,XAF,2.9260825187874745e-05,UZB,2013
39,IDN,Growing tobacco industry,XAF,6.289048487410287e-07,UZB,2013
40,IDN,Growing fibre crops industry,XAF,0.0,UZB,2013
41,IDN,Growing crops n.e.c. industry,XAF,2.8138259799346737e-06,UZB,2013
42,IDN,Growing grapes industry,XAF,0.0,UZB,2013
43,IDN,Growing fruits and nuts industry,XAF,1.3709573532740006e-06,UZB,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.465240888116803e-07,UZB,2013
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.127698593039903e-05,UZB,2013
46,IDN,Seeds and plant propagation industry,XAF,0.0,UZB,2013
47,IDN,Raising of cattle industry,XAF,5.1593679094491075e-06,UZB,2013
48,IDN,Growing wheat industry,XAS,0.0,UZB,2013
49,IDN,Growing maize industry,XAS,9.800480413468666e-06,UZB,2013
50,IDN,Growing cereals n.e.c industry,XAS,0.0,UZB,2013
51,IDN,Growing leguminous crops and oil seeds industry,XAS,8.592378691658337e-05,UZB,2013
52,IDN,Growing rice industry,XAS,7.823433540689842e-09,UZB,2013
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,UZB,2013
54,IDN,Growing sugar beet and cane industry,XAS,6.155112644775837e-06,UZB,2013
55,IDN,Growing tobacco industry,XAS,1.005178180510264e-06,UZB,2013
56,IDN,Growing fibre crops industry,XAS,0.0,UZB,2013
57,IDN,Growing crops n.e.c. industry,XAS,3.8620698723538826e-06,UZB,2013
58,IDN,Growing grapes industry,XAS,0.0,UZB,2013
59,IDN,Growing fruits and nuts industry,XAS,6.292629479469539e-07,UZB,2013
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,3.67784747116867e-07,UZB,2013
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.4845162050818886e-05,UZB,2013
62,IDN,Seeds and plant propagation industry,XAS,0.0,UZB,2013
63,IDN,Raising of cattle industry,XAS,4.798579773241314e-06,UZB,2013
64,IDN,Growing wheat industry,AFG,0.0,UZB,2013
65,IDN,Growing maize industry,AFG,0.0005569827246365767,UZB,2013
66,IDN,Growing cereals n.e.c industry,AFG,0.0,UZB,2013
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.00785568814742746,UZB,2013
68,IDN,Growing rice industry,AFG,7.485153589059484e-07,UZB,2013
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,UZB,2013
70,IDN,Growing sugar beet and cane industry,AFG,0.0003360012845597963,UZB,2013
71,IDN,Growing tobacco industry,AFG,0.00014157082759215368,UZB,2013
72,IDN,Growing fibre crops industry,AFG,0.0,UZB,2013
73,IDN,Growing crops n.e.c. industry,AFG,0.00041363411605456035,UZB,2013
74,IDN,Growing grapes industry,AFG,0.0,UZB,2013
75,IDN,Growing fruits and nuts industry,AFG,6.74952816099143e-05,UZB,2013
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,6.318655752542673e-05,UZB,2013
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.002296433354107586,UZB,2013
78,IDN,Seeds and plant propagation industry,AFG,0.0,UZB,2013
79,IDN,Raising of cattle industry,AFG,0.0005183411818572744,UZB,2013
80,IDN,Growing wheat industry,AGO,0.0,UZB,2013
81,IDN,Growing maize industry,AGO,4.0038527750606405e-05,UZB,2013
82,IDN,Growing cereals n.e.c industry,AGO,0.0,UZB,2013
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.0003260548890717973,UZB,2013
84,IDN,Growing rice industry,AGO,2.7469339395833334e-08,UZB,2013
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,UZB,2013
86,IDN,Growing sugar beet and cane industry,AGO,2.6413342298152814e-05,UZB,2013
87,IDN,Growing tobacco industry,AGO,3.4871314449749342e-06,UZB,2013
88,IDN,Growing fibre crops industry,AGO,0.0,UZB,2013
89,IDN,Growing crops n.e.c. industry,AGO,1.4096229734470137e-05,UZB,2013
90,IDN,Growing grapes industry,AGO,0.0,UZB,2013
91,IDN,Growing fruits and nuts industry,AGO,2.443687284987687e-06,UZB,2013
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,1.419580962709214e-06,UZB,2013
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,6.207450537297376e-05,UZB,2013
94,IDN,Seeds and plant propagation industry,AGO,0.0,UZB,2013
95,IDN,Raising of cattle industry,AGO,1.9355083027654898e-05,UZB,2013
96,IDN,Growing wheat industry,ALB,0.0,UZB,2013
97,IDN,Growing maize industry,ALB,9.793254025727747e-06,UZB,2013
98,IDN,Growing cereals n.e.c industry,ALB,0.0,UZB,2013
99,IDN,Growing leguminous crops and oil seeds industry,ALB,8.544278697041242e-05,UZB,2013
100,IDN,Growing rice industry,ALB,8.603143356874812e-09,UZB,2013
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,UZB,2013
102,IDN,Growing sugar beet and cane industry,ALB,5.7627944241414505e-06,UZB,2013
103,IDN,Growing tobacco industry,ALB,1.5039636726254858e-06,UZB,2013
104,IDN,Growing fibre crops industry,ALB,0.0,UZB,2013
105,IDN,Growing crops n.e.c. industry,ALB,4.774686457568449e-06,UZB,2013
106,IDN,Growing grapes industry,ALB,0.0,UZB,2013
107,IDN,Growing fruits and nuts industry,ALB,6.640631685675597e-07,UZB,2013
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,4.424889195955903e-07,UZB,2013
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,1.674069457002248e-05,UZB,2013
110,IDN,Seeds and plant propagation industry,ALB,0.0,UZB,2013
111,IDN,Raising of cattle industry,ALB,5.892745468632818e-06,UZB,2013
112,IDN,Growing wheat industry,ARE,0.0,UZB,2013
113,IDN,Growing maize industry,ARE,0.00023472640621499105,UZB,2013
114,IDN,Growing cereals n.e.c industry,ARE,0.0,UZB,2013
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.0030234812615219423,UZB,2013
116,IDN,Growing rice industry,ARE,2.2932970736771497e-07,UZB,2013
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,UZB,2013
118,IDN,Growing sugar beet and cane industry,ARE,0.0001480462141213034,UZB,2013
119,IDN,Growing tobacco industry,ARE,4.214257309845564e-05,UZB,2013
120,IDN,Growing fibre crops industry,ARE,0.0,UZB,2013
121,IDN,Growing crops n.e.c. industry,ARE,0.00015538295922784795,UZB,2013
122,IDN,Growing grapes industry,ARE,0.0,UZB,2013
123,IDN,Growing fruits and nuts industry,ARE,2.1427495465615553e-05,UZB,2013
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,2.0950472184446912e-05,UZB,2013
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.0007769211301511198,UZB,2013
126,IDN,Seeds and plant propagation industry,ARE,0.0,UZB,2013
127,IDN,Raising of cattle industry,ARE,0.0001716341401593766,UZB,2013
128,IDN,Growing wheat industry,ARG,0.0,UZB,2013
129,IDN,Growing maize industry,ARG,0.00010440929261195726,UZB,2013
130,IDN,Growing cereals n.e.c industry,ARG,0.0,UZB,2013
131,IDN,Growing leguminous crops and oil seeds industry,ARG,0.0005625459737574072,UZB,2013
132,IDN,Growing rice industry,ARG,4.5067902611337935e-08,UZB,2013
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,UZB,2013
134,IDN,Growing sugar beet and cane industry,ARG,7.752677453242325e-05,UZB,2013
135,IDN,Growing tobacco industry,ARG,4.485324688140618e-06,UZB,2013
136,IDN,Growing fibre crops industry,ARG,0.0,UZB,2013
137,IDN,Growing crops n.e.c. industry,ARG,2.170671035351735e-05,UZB,2013
138,IDN,Growing grapes industry,ARG,0.0,UZB,2013
