,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,XAF,2013
1,IDN,Growing maize industry,XAM,0.00019169311953521565,XAF,2013
2,IDN,Growing cereals n.e.c industry,XAM,0.0,XAF,2013
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0024965831614377396,XAF,2013
4,IDN,Growing rice industry,XAM,8.056915854120487e-08,XAF,2013
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,XAF,2013
6,IDN,Growing sugar beet and cane industry,XAM,0.00011416993094990565,XAF,2013
7,IDN,Growing tobacco industry,XAM,5.73478756682943e-06,XAF,2013
8,IDN,Growing fibre crops industry,XAM,0.0,XAF,2013
9,IDN,Growing crops n.e.c. industry,XAM,5.443724164215463e-05,XAF,2013
10,IDN,Growing grapes industry,XAM,0.0,XAF,2013
11,IDN,Growing fruits and nuts industry,XAM,7.843061913959693e-06,XAF,2013
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.5347605227504355e-06,XAF,2013
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00020524063963204653,XAF,2013
14,IDN,Seeds and plant propagation industry,XAM,0.0,XAF,2013
15,IDN,Raising of cattle industry,XAM,6.224640255411899e-05,XAF,2013
16,IDN,Growing wheat industry,XEU,0.0,XAF,2013
17,IDN,Growing maize industry,XEU,6.183189148889465e-05,XAF,2013
18,IDN,Growing cereals n.e.c industry,XEU,0.0,XAF,2013
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0005383331038964262,XAF,2013
20,IDN,Growing rice industry,XEU,1.9878611000611916e-08,XAF,2013
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,XAF,2013
22,IDN,Growing sugar beet and cane industry,XEU,3.722231942290686e-05,XAF,2013
23,IDN,Growing tobacco industry,XEU,1.4268005394169774e-06,XAF,2013
24,IDN,Growing fibre crops industry,XEU,0.0,XAF,2013
25,IDN,Growing crops n.e.c. industry,XEU,1.5592283201864892e-05,XAF,2013
26,IDN,Growing grapes industry,XEU,0.0,XAF,2013
27,IDN,Growing fruits and nuts industry,XEU,1.9784170327610137e-06,XAF,2013
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.1224896467781528e-06,XAF,2013
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.026538550207172e-05,XAF,2013
30,IDN,Seeds and plant propagation industry,XEU,0.0,XAF,2013
31,IDN,Raising of cattle industry,XEU,1.9122947949997518e-05,XAF,2013
32,IDN,Growing wheat industry,XAF,0.0,XAF,2013
33,IDN,Growing maize industry,XAF,0.0,XAF,2013
34,IDN,Growing cereals n.e.c industry,XAF,0.0,XAF,2013
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0,XAF,2013
36,IDN,Growing rice industry,XAF,0.0,XAF,2013
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,XAF,2013
38,IDN,Growing sugar beet and cane industry,XAF,0.0,XAF,2013
39,IDN,Growing tobacco industry,XAF,0.0,XAF,2013
40,IDN,Growing fibre crops industry,XAF,0.0,XAF,2013
41,IDN,Growing crops n.e.c. industry,XAF,0.0,XAF,2013
42,IDN,Growing grapes industry,XAF,0.0,XAF,2013
43,IDN,Growing fruits and nuts industry,XAF,0.0,XAF,2013
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0,XAF,2013
