,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,DZA,2015
1,IDN,Growing maize industry,XAM,0.0008633268776975055,DZA,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,DZA,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0016557925249081212,DZA,2015
4,IDN,Growing rice industry,XAM,0.0,DZA,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,DZA,2015
6,IDN,Growing sugar beet and cane industry,XAM,3.2348878887471016e-07,DZA,2015
7,IDN,Growing tobacco industry,XAM,0.0,DZA,2015
8,IDN,Growing fibre crops industry,XAM,2.4331757135075753e-06,DZA,2015
9,IDN,Growing crops n.e.c. industry,XAM,6.243761438962549e-05,DZA,2015
10,IDN,Growing grapes industry,XAM,0.0,DZA,2015
11,IDN,Growing fruits and nuts industry,XAM,2.9755671772830765e-06,DZA,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.420784414228941e-05,DZA,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00015471937975517196,DZA,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,DZA,2015
15,IDN,Raising of cattle industry,XAM,3.6265969839314156e-05,DZA,2015
16,IDN,Growing wheat industry,XEU,0.0,DZA,2015
17,IDN,Growing maize industry,XEU,0.00031202293761819507,DZA,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,DZA,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0006182805386315751,DZA,2015
20,IDN,Growing rice industry,XEU,0.0,DZA,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,DZA,2015
22,IDN,Growing sugar beet and cane industry,XEU,1.1853337274499484e-07,DZA,2015
23,IDN,Growing tobacco industry,XEU,0.0,DZA,2015
24,IDN,Growing fibre crops industry,XEU,8.759442929101073e-07,DZA,2015
25,IDN,Growing crops n.e.c. industry,XEU,2.3273095273754e-05,DZA,2015
26,IDN,Growing grapes industry,XEU,0.0,DZA,2015
27,IDN,Growing fruits and nuts industry,XEU,1.1015731242722191e-06,DZA,2015
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.1268504361424944e-05,DZA,2015
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.92387952524073e-05,DZA,2015
30,IDN,Seeds and plant propagation industry,XEU,0.0,DZA,2015
31,IDN,Raising of cattle industry,XEU,1.3497440130873175e-05,DZA,2015
32,IDN,Growing wheat industry,XAF,0.0,DZA,2015
33,IDN,Growing maize industry,XAF,0.0004550754407083733,DZA,2015
34,IDN,Growing cereals n.e.c industry,XAF,0.0,DZA,2015
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0005574778667749846,DZA,2015
36,IDN,Growing rice industry,XAF,0.0,DZA,2015
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,DZA,2015
38,IDN,Growing sugar beet and cane industry,XAF,1.8667231568116253e-07,DZA,2015
39,IDN,Growing tobacco industry,XAF,0.0,DZA,2015
40,IDN,Growing fibre crops industry,XAF,1.024935031608675e-06,DZA,2015
41,IDN,Growing crops n.e.c. industry,XAF,2.075810294183908e-05,DZA,2015
42,IDN,Growing grapes industry,XAF,0.0,DZA,2015
43,IDN,Growing fruits and nuts industry,XAF,1.7203980198203169e-06,DZA,2015
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,0.0001333214603927261,DZA,2015
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0002395215525184025,DZA,2015
46,IDN,Seeds and plant propagation industry,XAF,0.0,DZA,2015
47,IDN,Raising of cattle industry,XAF,1.4059312508055599e-05,DZA,2015
48,IDN,Growing wheat industry,XAS,0.0,DZA,2015
49,IDN,Growing maize industry,XAS,0.00039483890036725433,DZA,2015
50,IDN,Growing cereals n.e.c industry,XAS,0.0,DZA,2015
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.000710297059039137,DZA,2015
52,IDN,Growing rice industry,XAS,0.0,DZA,2015
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,DZA,2015
54,IDN,Growing sugar beet and cane industry,XAS,1.5415223388503433e-07,DZA,2015
55,IDN,Growing tobacco industry,XAS,0.0,DZA,2015
56,IDN,Growing fibre crops industry,XAS,1.0707355774024522e-06,DZA,2015
57,IDN,Growing crops n.e.c. industry,XAS,2.6558963219504255e-05,DZA,2015
58,IDN,Growing grapes industry,XAS,0.0,DZA,2015
59,IDN,Growing fruits and nuts industry,XAS,1.289512883002681e-06,DZA,2015
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,8.023251580094896e-06,DZA,2015
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,6.699791383659508e-05,DZA,2015
62,IDN,Seeds and plant propagation industry,XAS,0.0,DZA,2015
63,IDN,Raising of cattle industry,XAS,1.563899915949817e-05,DZA,2015
64,IDN,Growing wheat industry,AFG,0.0,DZA,2015
65,IDN,Growing maize industry,AFG,0.00011129302333750488,DZA,2015
66,IDN,Growing cereals n.e.c industry,AFG,0.0,DZA,2015
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.00020408988086220592,DZA,2015
68,IDN,Growing rice industry,AFG,0.0,DZA,2015
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,DZA,2015
70,IDN,Growing sugar beet and cane industry,AFG,4.824919206460366e-08,DZA,2015
71,IDN,Growing tobacco industry,AFG,0.0,DZA,2015
72,IDN,Growing fibre crops industry,AFG,3.6022727950072307e-07,DZA,2015
73,IDN,Growing crops n.e.c. industry,AFG,7.647111450831216e-06,DZA,2015
74,IDN,Growing grapes industry,AFG,0.0,DZA,2015
75,IDN,Growing fruits and nuts industry,AFG,4.071280422576552e-07,DZA,2015
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,3.7055756552156104e-05,DZA,2015
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,2.736871585087094e-05,DZA,2015
78,IDN,Seeds and plant propagation industry,AFG,0.0,DZA,2015
79,IDN,Raising of cattle industry,AFG,5.035793353998154e-06,DZA,2015
80,IDN,Growing wheat industry,AGO,0.0,DZA,2015
81,IDN,Growing maize industry,AGO,0.0015024743054705778,DZA,2015
82,IDN,Growing cereals n.e.c industry,AGO,0.0,DZA,2015
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.002403370737878961,DZA,2015
84,IDN,Growing rice industry,AGO,0.0,DZA,2015
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,DZA,2015
86,IDN,Growing sugar beet and cane industry,AGO,5.853104225065276e-07,DZA,2015
87,IDN,Growing tobacco industry,AGO,0.0,DZA,2015
88,IDN,Growing fibre crops industry,AGO,6.475541436831247e-06,DZA,2015
89,IDN,Growing crops n.e.c. industry,AGO,0.00010416968168978463,DZA,2015
90,IDN,Growing grapes industry,AGO,0.0,DZA,2015
91,IDN,Growing fruits and nuts industry,AGO,8.552809333421521e-06,DZA,2015
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,0.0003057507443464436,DZA,2015
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,0.00040304733693446716,DZA,2015
94,IDN,Seeds and plant propagation industry,AGO,0.0,DZA,2015
95,IDN,Raising of cattle industry,AGO,6.174467695303757e-05,DZA,2015
96,IDN,Growing wheat industry,ALB,0.0,DZA,2015
97,IDN,Growing maize industry,ALB,0.0005185009981997837,DZA,2015
98,IDN,Growing cereals n.e.c industry,ALB,0.0,DZA,2015
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.0006724142891325515,DZA,2015
100,IDN,Growing rice industry,ALB,0.0,DZA,2015
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,DZA,2015
102,IDN,Growing sugar beet and cane industry,ALB,2.0278779030758674e-07,DZA,2015
103,IDN,Growing tobacco industry,ALB,0.0,DZA,2015
104,IDN,Growing fibre crops industry,ALB,1.1387426965695258e-06,DZA,2015
105,IDN,Growing crops n.e.c. industry,ALB,2.3971412815506904e-05,DZA,2015
106,IDN,Growing grapes industry,ALB,0.0,DZA,2015
107,IDN,Growing fruits and nuts industry,ALB,1.714174066871912e-05,DZA,2015
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,1.9871676320142616e-06,DZA,2015
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,0.005779092815656397,DZA,2015
110,IDN,Seeds and plant propagation industry,ALB,0.0,DZA,2015
111,IDN,Raising of cattle industry,ALB,1.6829895229905785e-05,DZA,2015
112,IDN,Growing wheat industry,ARE,0.0,DZA,2015
113,IDN,Growing maize industry,ARE,0.0023591338231017125,DZA,2015
114,IDN,Growing cereals n.e.c industry,ARE,0.0,DZA,2015
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.0035577120535897006,DZA,2015
116,IDN,Growing rice industry,ARE,0.0,DZA,2015
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,DZA,2015
118,IDN,Growing sugar beet and cane industry,ARE,1.0713559632145726e-06,DZA,2015
119,IDN,Growing tobacco industry,ARE,0.0,DZA,2015
120,IDN,Growing fibre crops industry,ARE,8.154037300955066e-06,DZA,2015
121,IDN,Growing crops n.e.c. industry,ARE,0.00014146054284455673,DZA,2015
122,IDN,Growing grapes industry,ARE,0.0,DZA,2015
123,IDN,Growing fruits and nuts industry,ARE,1.23035900698902e-05,DZA,2015
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,0.0001698244656394949,DZA,2015
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.0014279378319392395,DZA,2015
126,IDN,Seeds and plant propagation industry,ARE,0.0,DZA,2015
127,IDN,Raising of cattle industry,ARE,8.63295778488232e-05,DZA,2015
128,IDN,Growing wheat industry,ARG,0.0,DZA,2015
129,IDN,Growing maize industry,ARG,0.0032265991045749656,DZA,2015
130,IDN,Growing cereals n.e.c industry,ARG,0.0,DZA,2015
131,IDN,Growing leguminous crops and oil seeds industry,ARG,0.005762794042723968,DZA,2015
132,IDN,Growing rice industry,ARG,0.0,DZA,2015
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,DZA,2015
134,IDN,Growing sugar beet and cane industry,ARG,1.129347946916614e-06,DZA,2015
135,IDN,Growing tobacco industry,ARG,0.0,DZA,2015
136,IDN,Growing fibre crops industry,ARG,1.089924420274112e-05,DZA,2015
137,IDN,Growing crops n.e.c. industry,ARG,0.00021223660071426336,DZA,2015
138,IDN,Growing grapes industry,ARG,0.0,DZA,2015
139,IDN,Growing fruits and nuts industry,ARG,9.668015885490375e-06,DZA,2015
140,IDN,"Growing beverage crops (coffee, tea etc) industry",ARG,2.100116330965898e-05,DZA,2015
141,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,0.000446557513374817,DZA,2015
142,IDN,Seeds and plant propagation industry,ARG,0.0,DZA,2015
143,IDN,Raising of cattle industry,ARG,0.0001253587399293379,DZA,2015
144,IDN,Growing wheat industry,ARM,0.0,DZA,2015
145,IDN,Growing maize industry,ARM,8.398779252306231e-05,DZA,2015
146,IDN,Growing cereals n.e.c industry,ARM,0.0,DZA,2015
147,IDN,Growing leguminous crops and oil seeds industry,ARM,0.0001531222161767791,DZA,2015
148,IDN,Growing rice industry,ARM,0.0,DZA,2015
149,IDN,"Growing vegetables, roots, tubers industry",ARM,0.0,DZA,2015
150,IDN,Growing sugar beet and cane industry,ARM,3.6533720748456297e-08,DZA,2015
151,IDN,Growing tobacco industry,ARM,0.0,DZA,2015
152,IDN,Growing fibre crops industry,ARM,2.837708864503489e-07,DZA,2015
153,IDN,Growing crops n.e.c. industry,ARM,5.8223580399117745e-06,DZA,2015
154,IDN,Growing grapes industry,ARM,0.0,DZA,2015
155,IDN,Growing fruits and nuts industry,ARM,3.3291778874844876e-07,DZA,2015
156,IDN,"Growing beverage crops (coffee, tea etc) industry",ARM,3.164274078568409e-06,DZA,2015
157,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,3.663290820124001e-05,DZA,2015
158,IDN,Seeds and plant propagation industry,ARM,0.0,DZA,2015
159,IDN,Raising of cattle industry,ARM,3.5511904251747673e-06,DZA,2015
160,IDN,Growing wheat industry,AUS,0.0,DZA,2015
161,IDN,Growing maize industry,AUS,0.007120236267837815,DZA,2015
162,IDN,Growing cereals n.e.c industry,AUS,0.0,DZA,2015
163,IDN,Growing leguminous crops and oil seeds industry,AUS,0.010643783315208915,DZA,2015
164,IDN,Growing rice industry,AUS,0.0,DZA,2015
165,IDN,"Growing vegetables, roots, tubers industry",AUS,0.0,DZA,2015
166,IDN,Growing sugar beet and cane industry,AUS,2.7952836327788363e-06,DZA,2015
167,IDN,Growing tobacco industry,AUS,0.0,DZA,2015
168,IDN,Growing fibre crops industry,AUS,1.6581051069549593e-05,DZA,2015
169,IDN,Growing crops n.e.c. industry,AUS,0.000398928132326077,DZA,2015
170,IDN,Growing grapes industry,AUS,0.0,DZA,2015
171,IDN,Growing fruits and nuts industry,AUS,2.065390715705025e-05,DZA,2015
172,IDN,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0002127129885122729,DZA,2015
173,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.0011782332772158866,DZA,2015
174,IDN,Seeds and plant propagation industry,AUS,0.0,DZA,2015
175,IDN,Raising of cattle industry,AUS,0.0002367280653401407,DZA,2015
176,IDN,Growing wheat industry,AUT,0.0,DZA,2015
177,IDN,Growing maize industry,AUT,0.002651607139135758,DZA,2015
178,IDN,Growing cereals n.e.c industry,AUT,0.0,DZA,2015
179,IDN,Growing leguminous crops and oil seeds industry,AUT,0.004790333731403195,DZA,2015
180,IDN,Growing rice industry,AUT,0.0,DZA,2015
181,IDN,"Growing vegetables, roots, tubers industry",AUT,0.0,DZA,2015
182,IDN,Growing sugar beet and cane industry,AUT,1.1110746698571268e-06,DZA,2015
183,IDN,Growing tobacco industry,AUT,0.0,DZA,2015
184,IDN,Growing fibre crops industry,AUT,8.354816963809692e-06,DZA,2015
185,IDN,Growing crops n.e.c. industry,AUT,0.00018186138291422345,DZA,2015
186,IDN,Growing grapes industry,AUT,0.0,DZA,2015
187,IDN,Growing fruits and nuts industry,AUT,9.304503727512435e-06,DZA,2015
188,IDN,"Growing beverage crops (coffee, tea etc) industry",AUT,9.861707356431665e-05,DZA,2015
189,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,0.000584400972346597,DZA,2015
190,IDN,Seeds and plant propagation industry,AUT,0.0,DZA,2015
191,IDN,Raising of cattle industry,AUT,0.00010962130474705051,DZA,2015
192,IDN,Growing wheat industry,AZE,0.0,DZA,2015
193,IDN,Growing maize industry,AZE,0.0007276592374697857,DZA,2015
194,IDN,Growing cereals n.e.c industry,AZE,0.0,DZA,2015
195,IDN,Growing leguminous crops and oil seeds industry,AZE,0.0012030249489000716,DZA,2015
196,IDN,Growing rice industry,AZE,0.0,DZA,2015
197,IDN,"Growing vegetables, roots, tubers industry",AZE,0.0,DZA,2015
198,IDN,Growing sugar beet and cane industry,AZE,2.81194367002123e-07,DZA,2015
199,IDN,Growing tobacco industry,AZE,0.0,DZA,2015
200,IDN,Growing fibre crops industry,AZE,1.7354389146328982e-06,DZA,2015
201,IDN,Growing crops n.e.c. industry,AZE,4.481934435793757e-05,DZA,2015
202,IDN,Growing grapes industry,AZE,0.0,DZA,2015
203,IDN,Growing fruits and nuts industry,AZE,2.339561253401848e-06,DZA,2015
204,IDN,"Growing beverage crops (coffee, tea etc) industry",AZE,5.575112641993248e-06,DZA,2015
205,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,0.00014074684984075826,DZA,2015
206,IDN,Seeds and plant propagation industry,AZE,0.0,DZA,2015
207,IDN,Raising of cattle industry,AZE,2.6280533968624873e-05,DZA,2015
208,IDN,Growing wheat industry,BDI,0.0,DZA,2015
209,IDN,Growing maize industry,BDI,1.5220653995710982e-05,DZA,2015
210,IDN,Growing cereals n.e.c industry,BDI,0.0,DZA,2015
211,IDN,Growing leguminous crops and oil seeds industry,BDI,2.760020259735786e-05,DZA,2015
212,IDN,Growing rice industry,BDI,0.0,DZA,2015
213,IDN,"Growing vegetables, roots, tubers industry",BDI,0.0,DZA,2015
214,IDN,Growing sugar beet and cane industry,BDI,6.3926671002846026e-09,DZA,2015
215,IDN,Growing tobacco industry,BDI,0.0,DZA,2015
216,IDN,Growing fibre crops industry,BDI,5.035255591442193e-08,DZA,2015
217,IDN,Growing crops n.e.c. industry,BDI,1.0747774354137032e-06,DZA,2015
218,IDN,Growing grapes industry,BDI,0.0,DZA,2015
219,IDN,Growing fruits and nuts industry,BDI,5.6851919722639637e-08,DZA,2015
220,IDN,"Growing beverage crops (coffee, tea etc) industry",BDI,2.8302197985412334e-07,DZA,2015
221,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",BDI,3.202802337744747e-06,DZA,2015
