,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,MDA,2015
1,IDN,Growing maize industry,XAM,4.470160734073601e-05,MDA,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,MDA,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,5.331308328293162e-05,MDA,2015
4,IDN,Growing rice industry,XAM,0.0,MDA,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,MDA,2015
6,IDN,Growing sugar beet and cane industry,XAM,2.237477335064158e-08,MDA,2015
7,IDN,Growing tobacco industry,XAM,0.0,MDA,2015
8,IDN,Growing fibre crops industry,XAM,3.171586728960957e-07,MDA,2015
9,IDN,Growing crops n.e.c. industry,XAM,9.352986813801773e-06,MDA,2015
10,IDN,Growing grapes industry,XAM,0.0,MDA,2015
11,IDN,Growing fruits and nuts industry,XAM,2.1304094953624193e-07,MDA,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,4.904470214049918e-07,MDA,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.679569393322389e-05,MDA,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,MDA,2015
15,IDN,Raising of cattle industry,XAM,1.896589203165293e-06,MDA,2015
16,IDN,Growing wheat industry,XEU,0.0,MDA,2015
17,IDN,Growing maize industry,XEU,0.00016060254548400766,MDA,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,MDA,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00024281632337771295,MDA,2015
20,IDN,Growing rice industry,XEU,0.0,MDA,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,MDA,2015
22,IDN,Growing sugar beet and cane industry,XEU,1.0440037656678181e-07,MDA,2015
23,IDN,Growing tobacco industry,XEU,0.0,MDA,2015
24,IDN,Growing fibre crops industry,XEU,1.2798247229888967e-06,MDA,2015
25,IDN,Growing crops n.e.c. industry,XEU,1.2046854216858743e-05,MDA,2015
26,IDN,Growing grapes industry,XEU,0.0,MDA,2015
27,IDN,Growing fruits and nuts industry,XEU,6.596390819361633e-07,MDA,2015
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.3979139823465865e-06,MDA,2015
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.75719149877505e-05,MDA,2015
30,IDN,Seeds and plant propagation industry,XEU,0.0,MDA,2015
31,IDN,Raising of cattle industry,XEU,5.291946688130324e-06,MDA,2015
32,IDN,Growing wheat industry,XAF,0.0,MDA,2015
33,IDN,Growing maize industry,XAF,5.702308950083463e-05,MDA,2015
34,IDN,Growing cereals n.e.c industry,XAF,0.0,MDA,2015
35,IDN,Growing leguminous crops and oil seeds industry,XAF,3.893152959932834e-05,MDA,2015
36,IDN,Growing rice industry,XAF,0.0,MDA,2015
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,MDA,2015
38,IDN,Growing sugar beet and cane industry,XAF,2.36360291701077e-08,MDA,2015
39,IDN,Growing tobacco industry,XAF,0.0,MDA,2015
40,IDN,Growing fibre crops industry,XAF,1.5814579094266225e-07,MDA,2015
41,IDN,Growing crops n.e.c. industry,XAF,5.319181893589382e-06,MDA,2015
42,IDN,Growing grapes industry,XAF,0.0,MDA,2015
43,IDN,Growing fruits and nuts industry,XAF,2.0627429290248784e-07,MDA,2015
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.081143547159612e-07,MDA,2015
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.1918804196659395e-05,MDA,2015
46,IDN,Seeds and plant propagation industry,XAF,0.0,MDA,2015
47,IDN,Raising of cattle industry,XAF,1.1293733211102985e-06,MDA,2015
48,IDN,Growing wheat industry,XAS,0.0,MDA,2015
49,IDN,Growing maize industry,XAS,1.401702785419316e-05,MDA,2015
50,IDN,Growing cereals n.e.c industry,XAS,0.0,MDA,2015
