,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,PAK,2015
1,IDN,Growing maize industry,XAM,0.0022986951531397096,PAK,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,PAK,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.007600248279297901,PAK,2015
4,IDN,Growing rice industry,XAM,0.0,PAK,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,PAK,2015
6,IDN,Growing sugar beet and cane industry,XAM,2.36555495591353e-06,PAK,2015
7,IDN,Growing tobacco industry,XAM,0.0,PAK,2015
8,IDN,Growing fibre crops industry,XAM,1.3894761436553066e-05,PAK,2015
9,IDN,Growing crops n.e.c. industry,XAM,4.829940963503797e-05,PAK,2015
10,IDN,Growing grapes industry,XAM,0.0,PAK,2015
11,IDN,Growing fruits and nuts industry,XAM,8.260996440962503e-05,PAK,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,5.800486014670673e-07,PAK,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00016852484085913078,PAK,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,PAK,2015
15,IDN,Raising of cattle industry,XAM,5.245738279720346e-05,PAK,2015
16,IDN,Growing wheat industry,XEU,0.0,PAK,2015
17,IDN,Growing maize industry,XEU,0.0003848654571926228,PAK,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,PAK,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0011603705612131122,PAK,2015
20,IDN,Growing rice industry,XEU,0.0,PAK,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,PAK,2015
22,IDN,Growing sugar beet and cane industry,XEU,3.509124914889282e-07,PAK,2015
23,IDN,Growing tobacco industry,XEU,0.0,PAK,2015
24,IDN,Growing fibre crops industry,XEU,2.090226599265524e-06,PAK,2015
25,IDN,Growing crops n.e.c. industry,XEU,9.249307214714631e-06,PAK,2015
26,IDN,Growing grapes industry,XEU,0.0,PAK,2015
27,IDN,Growing fruits and nuts industry,XEU,1.1337360378793266e-05,PAK,2015
