,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,TUN,2015
1,IDN,Growing maize industry,XAM,0.0007087025147263123,TUN,2015
2,IDN,Growing cereals n.e.c industry,XAM,0.0,TUN,2015
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0009896459515132577,TUN,2015
4,IDN,Growing rice industry,XAM,0.0,TUN,2015
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,TUN,2015
6,IDN,Growing sugar beet and cane industry,XAM,3.374873068859704e-07,TUN,2015
7,IDN,Growing tobacco industry,XAM,0.0,TUN,2015
8,IDN,Growing fibre crops industry,XAM,4.886825774462823e-06,TUN,2015
9,IDN,Growing crops n.e.c. industry,XAM,1.4048130334303876e-05,TUN,2015
10,IDN,Growing grapes industry,XAM,0.0,TUN,2015
11,IDN,Growing fruits and nuts industry,XAM,1.2460721137248918e-06,TUN,2015
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.7658659550570636e-07,TUN,2015
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.0925225756933958e-05,TUN,2015
14,IDN,Seeds and plant propagation industry,XAM,0.0,TUN,2015
15,IDN,Raising of cattle industry,XAM,1.5677201810699834e-05,TUN,2015
16,IDN,Growing wheat industry,XEU,0.0,TUN,2015
17,IDN,Growing maize industry,XEU,0.00025195673539473335,TUN,2015
18,IDN,Growing cereals n.e.c industry,XEU,0.0,TUN,2015
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0003206153372060551,TUN,2015
20,IDN,Growing rice industry,XEU,0.0,TUN,2015
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,TUN,2015
22,IDN,Growing sugar beet and cane industry,XEU,1.3261074956099123e-07,TUN,2015
23,IDN,Growing tobacco industry,XEU,0.0,TUN,2015
24,IDN,Growing fibre crops industry,XEU,2.291070435474643e-06,TUN,2015
25,IDN,Growing crops n.e.c. industry,XEU,5.562952402917754e-06,TUN,2015
26,IDN,Growing grapes industry,XEU,0.0,TUN,2015
27,IDN,Growing fruits and nuts industry,XEU,4.228214882182525e-07,TUN,2015
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,6.172200566440013e-08,TUN,2015
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.5960100192082236e-06,TUN,2015
30,IDN,Seeds and plant propagation industry,XEU,0.0,TUN,2015
31,IDN,Raising of cattle industry,XEU,6.873831835796221e-06,TUN,2015
32,IDN,Growing wheat industry,XAF,0.0,TUN,2015
33,IDN,Growing maize industry,XAF,0.0012011015705664407,TUN,2015
34,IDN,Growing cereals n.e.c industry,XAF,0.0,TUN,2015
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0024294610082170325,TUN,2015
36,IDN,Growing rice industry,XAF,0.0,TUN,2015
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,TUN,2015
38,IDN,Growing sugar beet and cane industry,XAF,7.387732431461551e-07,TUN,2015
39,IDN,Growing tobacco industry,XAF,0.0,TUN,2015
40,IDN,Growing fibre crops industry,XAF,1.6979187250991217e-05,TUN,2015
41,IDN,Growing crops n.e.c. industry,XAF,2.769163722089288e-05,TUN,2015
42,IDN,Growing grapes industry,XAF,0.0,TUN,2015
43,IDN,Growing fruits and nuts industry,XAF,3.0366763843227657e-06,TUN,2015
