,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,ERI,2016
1,IDN,Growing maize industry,XAM,3.6331623981271595e-05,ERI,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,ERI,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.00018369877655658175,ERI,2016
4,IDN,Growing rice industry,XAM,2.5510610452084924e-08,ERI,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,ERI,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,ERI,2016
7,IDN,Growing tobacco industry,XAM,4.223471533439011e-07,ERI,2016
8,IDN,Growing fibre crops industry,XAM,4.159032082989456e-08,ERI,2016
9,IDN,Growing crops n.e.c. industry,XAM,1.358747625697686e-07,ERI,2016
10,IDN,Growing grapes industry,XAM,0.0,ERI,2016
11,IDN,Growing fruits and nuts industry,XAM,3.3536619483997603e-07,ERI,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.609210539953329e-07,ERI,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.404941298354629e-06,ERI,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,ERI,2016
15,IDN,Raising of cattle industry,XAM,2.895005087135587e-06,ERI,2016
16,IDN,Growing wheat industry,XEU,0.0,ERI,2016
17,IDN,Growing maize industry,XEU,5.463447347667428e-06,ERI,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,ERI,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,3.130167690924256e-05,ERI,2016
20,IDN,Growing rice industry,XEU,4.076143903420074e-09,ERI,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,ERI,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,ERI,2016
23,IDN,Growing tobacco industry,XEU,5.6009439437129656e-08,ERI,2016
24,IDN,Growing fibre crops industry,XEU,6.752696164228614e-09,ERI,2016
25,IDN,Growing crops n.e.c. industry,XEU,1.7994604161031448e-08,ERI,2016
26,IDN,Growing grapes industry,XEU,0.0,ERI,2016
27,IDN,Growing fruits and nuts industry,XEU,5.568145271732683e-08,ERI,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,3.7481562089855575e-08,ERI,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.766287367200196e-07,ERI,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,ERI,2016
31,IDN,Raising of cattle industry,XEU,4.173834299068591e-07,ERI,2016
32,IDN,Growing wheat industry,XAF,0.0,ERI,2016
33,IDN,Growing maize industry,XAF,1.3011039340251166e-05,ERI,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,ERI,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,5.7761491265116245e-05,ERI,2016
36,IDN,Growing rice industry,XAF,8.257613782196267e-09,ERI,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,ERI,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,ERI,2016
39,IDN,Growing tobacco industry,XAF,1.457644423482832e-07,ERI,2016
40,IDN,Growing fibre crops industry,XAF,1.4622489986405895e-08,ERI,2016
41,IDN,Growing crops n.e.c. industry,XAF,5.171087747305054e-08,ERI,2016
42,IDN,Growing grapes industry,XAF,0.0,ERI,2016
43,IDN,Growing fruits and nuts industry,XAF,1.0225544372258007e-07,ERI,2016
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,8.515945764153453e-08,ERI,2016
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.0396829022971171e-06,ERI,2016
46,IDN,Seeds and plant propagation industry,XAF,0.0,ERI,2016
47,IDN,Raising of cattle industry,XAF,1.075721377531069e-06,ERI,2016
48,IDN,Growing wheat industry,XAS,0.0,ERI,2016
49,IDN,Growing maize industry,XAS,2.4389030716934594e-05,ERI,2016
50,IDN,Growing cereals n.e.c industry,XAS,0.0,ERI,2016
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00019124629833077272,ERI,2016
52,IDN,Growing rice industry,XAS,2.27168821091023e-08,ERI,2016
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,ERI,2016
54,IDN,Growing sugar beet and cane industry,XAS,0.0,ERI,2016
55,IDN,Growing tobacco industry,XAS,2.3052314750481198e-07,ERI,2016
56,IDN,Growing fibre crops industry,XAS,2.3163735650795527e-08,ERI,2016
57,IDN,Growing crops n.e.c. industry,XAS,8.402237256618567e-08,ERI,2016
58,IDN,Growing grapes industry,XAS,0.0,ERI,2016
59,IDN,Growing fruits and nuts industry,XAS,2.717340730584316e-07,ERI,2016
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,1.9940725282315196e-07,ERI,2016
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.5298715151672877e-06,ERI,2016
62,IDN,Seeds and plant propagation industry,XAS,0.0,ERI,2016
63,IDN,Raising of cattle industry,XAS,1.7723816908475302e-06,ERI,2016
64,IDN,Growing wheat industry,AFG,0.0,ERI,2016
65,IDN,Growing maize industry,AFG,1.613521482997014e-05,ERI,2016
66,IDN,Growing cereals n.e.c industry,AFG,0.0,ERI,2016
67,IDN,Growing leguminous crops and oil seeds industry,AFG,9.714957296283458e-05,ERI,2016
68,IDN,Growing rice industry,AFG,1.2319561757424704e-08,ERI,2016
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,ERI,2016
70,IDN,Growing sugar beet and cane industry,AFG,0.0,ERI,2016
71,IDN,Growing tobacco industry,AFG,1.47976160300166e-07,ERI,2016
72,IDN,Growing fibre crops industry,AFG,1.3007967216171524e-08,ERI,2016
73,IDN,Growing crops n.e.c. industry,AFG,4.959075417632606e-08,ERI,2016
74,IDN,Growing grapes industry,AFG,0.0,ERI,2016
75,IDN,Growing fruits and nuts industry,AFG,1.6596155685317986e-07,ERI,2016
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,9.761119617339001e-08,ERI,2016
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.8342633458298702e-06,ERI,2016
78,IDN,Seeds and plant propagation industry,AFG,0.0,ERI,2016
79,IDN,Raising of cattle industry,AFG,1.0548962384477418e-06,ERI,2016
80,IDN,Growing wheat industry,AGO,0.0,ERI,2016
81,IDN,Growing maize industry,AGO,7.384370836603304e-05,ERI,2016
82,IDN,Growing cereals n.e.c industry,AGO,0.0,ERI,2016
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.0003305990049781636,ERI,2016
84,IDN,Growing rice industry,AGO,4.9378780949929985e-08,ERI,2016
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,ERI,2016
86,IDN,Growing sugar beet and cane industry,AGO,0.0,ERI,2016
87,IDN,Growing tobacco industry,AGO,7.950053890627881e-07,ERI,2016
88,IDN,Growing fibre crops industry,AGO,7.66246175635667e-08,ERI,2016
89,IDN,Growing crops n.e.c. industry,AGO,2.713662280494385e-07,ERI,2016
90,IDN,Growing grapes industry,AGO,0.0,ERI,2016
91,IDN,Growing fruits and nuts industry,AGO,5.9526064205187e-07,ERI,2016
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,5.120041487613194e-07,ERI,2016
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,6.170316999093442e-06,ERI,2016
94,IDN,Seeds and plant propagation industry,AGO,0.0,ERI,2016
95,IDN,Raising of cattle industry,AGO,5.680213454442942e-06,ERI,2016
96,IDN,Growing wheat industry,ALB,0.0,ERI,2016
97,IDN,Growing maize industry,ALB,4.867638168649251e-06,ERI,2016
98,IDN,Growing cereals n.e.c industry,ALB,0.0,ERI,2016
99,IDN,Growing leguminous crops and oil seeds industry,ALB,2.246916746248897e-05,ERI,2016
100,IDN,Growing rice industry,ALB,3.2499762494822966e-09,ERI,2016
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,ERI,2016
102,IDN,Growing sugar beet and cane industry,ALB,0.0,ERI,2016
103,IDN,Growing tobacco industry,ALB,4.318268512944106e-08,ERI,2016
104,IDN,Growing fibre crops industry,ALB,5.680634173176748e-09,ERI,2016
105,IDN,Growing crops n.e.c. industry,ALB,1.5188760941885044e-08,ERI,2016
106,IDN,Growing grapes industry,ALB,0.0,ERI,2016
107,IDN,Growing fruits and nuts industry,ALB,4.492493640383012e-08,ERI,2016
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,2.768100782335379e-08,ERI,2016
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,4.152056824471455e-07,ERI,2016
110,IDN,Seeds and plant propagation industry,ALB,0.0,ERI,2016
111,IDN,Raising of cattle industry,ALB,3.5753592562550355e-07,ERI,2016
112,IDN,Growing wheat industry,ARE,0.0,ERI,2016
113,IDN,Growing maize industry,ARE,0.0004615308771388048,ERI,2016
114,IDN,Growing cereals n.e.c industry,ARE,0.0,ERI,2016
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.0030231992412162794,ERI,2016
116,IDN,Growing rice industry,ARE,3.745994189641935e-07,ERI,2016
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,ERI,2016
118,IDN,Growing sugar beet and cane industry,ARE,0.0,ERI,2016
119,IDN,Growing tobacco industry,ARE,6.8869441200885345e-06,ERI,2016
120,IDN,Growing fibre crops industry,ARE,6.090875202895386e-07,ERI,2016
121,IDN,Growing crops n.e.c. industry,ARE,1.9355537320975642e-06,ERI,2016
122,IDN,Growing grapes industry,ARE,0.0,ERI,2016
123,IDN,Growing fruits and nuts industry,ARE,5.272731938517892e-06,ERI,2016
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,4.090102083367317e-06,ERI,2016
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,5.465819944700672e-05,ERI,2016
126,IDN,Seeds and plant propagation industry,ARE,0.0,ERI,2016
127,IDN,Raising of cattle industry,ARE,4.040214998780318e-05,ERI,2016
128,IDN,Growing wheat industry,ARG,0.0,ERI,2016
129,IDN,Growing maize industry,ARG,7.844413792411019e-05,ERI,2016
130,IDN,Growing cereals n.e.c industry,ARG,0.0,ERI,2016
131,IDN,Growing leguminous crops and oil seeds industry,ARG,0.0003740307074845802,ERI,2016
132,IDN,Growing rice industry,ARG,5.4675923618340634e-08,ERI,2016
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,ERI,2016
134,IDN,Growing sugar beet and cane industry,ARG,0.0,ERI,2016
135,IDN,Growing tobacco industry,ARG,8.726712181138552e-07,ERI,2016
136,IDN,Growing fibre crops industry,ARG,8.511952489286715e-08,ERI,2016
137,IDN,Growing crops n.e.c. industry,ARG,2.9106964634512893e-07,ERI,2016
138,IDN,Growing grapes industry,ARG,0.0,ERI,2016
139,IDN,Growing fruits and nuts industry,ARG,6.636413121428363e-07,ERI,2016
140,IDN,"Growing beverage crops (coffee, tea etc) industry",ARG,6.201654728089204e-07,ERI,2016
141,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,6.7096766601799606e-06,ERI,2016
142,IDN,Seeds and plant propagation industry,ARG,0.0,ERI,2016
143,IDN,Raising of cattle industry,ARG,6.142762081300253e-06,ERI,2016
144,IDN,Growing wheat industry,ARM,0.0,ERI,2016
145,IDN,Growing maize industry,ARM,1.0703008188878455e-05,ERI,2016
146,IDN,Growing cereals n.e.c industry,ARM,0.0,ERI,2016
147,IDN,Growing leguminous crops and oil seeds industry,ARM,5.138333960421922e-05,ERI,2016
148,IDN,Growing rice industry,ARM,7.433228468752075e-09,ERI,2016
149,IDN,"Growing vegetables, roots, tubers industry",ARM,0.0,ERI,2016
150,IDN,Growing sugar beet and cane industry,ARM,0.0,ERI,2016
151,IDN,Growing tobacco industry,ARM,9.811831358336834e-08,ERI,2016
152,IDN,Growing fibre crops industry,ARM,1.0895716871423965e-08,ERI,2016
153,IDN,Growing crops n.e.c. industry,ARM,3.056236319914172e-08,ERI,2016
154,IDN,Growing grapes industry,ARM,0.0,ERI,2016
155,IDN,Growing fruits and nuts industry,ARM,1.1214237245098038e-07,ERI,2016
156,IDN,"Growing beverage crops (coffee, tea etc) industry",ARM,6.409259447934078e-08,ERI,2016
157,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,9.667853830236147e-07,ERI,2016
158,IDN,Seeds and plant propagation industry,ARM,0.0,ERI,2016
159,IDN,Raising of cattle industry,ARM,7.203012581111612e-07,ERI,2016
160,IDN,Growing wheat industry,AUS,0.0,ERI,2016
161,IDN,Growing maize industry,AUS,0.0007739253429731028,ERI,2016
162,IDN,Growing cereals n.e.c industry,AUS,0.0,ERI,2016
163,IDN,Growing leguminous crops and oil seeds industry,AUS,0.003120216102175674,ERI,2016
164,IDN,Growing rice industry,AUS,5.807388965724929e-07,ERI,2016
165,IDN,"Growing vegetables, roots, tubers industry",AUS,0.0,ERI,2016
166,IDN,Growing sugar beet and cane industry,AUS,0.0,ERI,2016
167,IDN,Growing tobacco industry,AUS,7.330013752403202e-06,ERI,2016
168,IDN,Growing fibre crops industry,AUS,6.338081996119369e-07,ERI,2016
169,IDN,Growing crops n.e.c. industry,AUS,1.982750636025357e-06,ERI,2016
170,IDN,Growing grapes industry,AUS,0.0,ERI,2016
