,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,NER,2016
1,IDN,Growing maize industry,XAM,0.006438623432613702,NER,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,NER,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0007193270777345013,NER,2016
4,IDN,Growing rice industry,XAM,3.826728440502086e-07,NER,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,NER,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,NER,2016
7,IDN,Growing tobacco industry,XAM,1.8638866893593785e-06,NER,2016
8,IDN,Growing fibre crops industry,XAM,1.0621484933896481e-07,NER,2016
9,IDN,Growing crops n.e.c. industry,XAM,2.9712564100166064e-07,NER,2016
10,IDN,Growing grapes industry,XAM,0.0,NER,2016
11,IDN,Growing fruits and nuts industry,XAM,5.980175701549369e-06,NER,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.658871496869423e-06,NER,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.6688824146220984e-06,NER,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,NER,2016
15,IDN,Raising of cattle industry,XAM,1.2196333101734333e-05,NER,2016
16,IDN,Growing wheat industry,XEU,0.0,NER,2016
17,IDN,Growing maize industry,XEU,0.0006590336274408618,NER,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,NER,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0002521123788071937,NER,2016
20,IDN,Growing rice industry,XEU,6.386822405460286e-08,NER,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,NER,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,NER,2016
23,IDN,Growing tobacco industry,XEU,4.4411009658149304e-07,NER,2016
24,IDN,Growing fibre crops industry,XEU,3.5711488799325085e-08,NER,2016
25,IDN,Growing crops n.e.c. industry,XEU,8.681277364367862e-08,NER,2016
26,IDN,Growing grapes industry,XEU,0.0,NER,2016
27,IDN,Growing fruits and nuts industry,XEU,9.145053507787474e-07,NER,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,5.89661350684428e-07,NER,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.1743601134468607e-06,NER,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,NER,2016
31,IDN,Raising of cattle industry,XEU,2.977846571724702e-06,NER,2016
32,IDN,Growing wheat industry,XAF,0.0,NER,2016
33,IDN,Growing maize industry,XAF,0.0006579427738805637,NER,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,NER,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0004831382082701914,NER,2016
36,IDN,Growing rice industry,XAF,1.0937330761771749e-07,NER,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,NER,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,NER,2016
39,IDN,Growing tobacco industry,XAF,1.0405329919607013e-06,NER,2016
40,IDN,Growing fibre crops industry,XAF,6.363372534480397e-08,NER,2016
41,IDN,Growing crops n.e.c. industry,XAF,1.5608718361979763e-07,NER,2016
42,IDN,Growing grapes industry,XAF,0.0,NER,2016
43,IDN,Growing fruits and nuts industry,XAF,1.3853077838008462e-06,NER,2016
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.651527195448083e-06,NER,2016
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.2353642684286433e-06,NER,2016
46,IDN,Seeds and plant propagation industry,XAF,0.0,NER,2016
47,IDN,Raising of cattle industry,XAF,5.3055335064837605e-06,NER,2016
48,IDN,Growing wheat industry,XAS,0.0,NER,2016
49,IDN,Growing maize industry,XAS,0.0014085902965295613,NER,2016
50,IDN,Growing cereals n.e.c industry,XAS,0.0,NER,2016
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0006095642165347441,NER,2016
52,IDN,Growing rice industry,XAS,1.5850599719538376e-07,NER,2016
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,NER,2016
54,IDN,Growing sugar beet and cane industry,XAS,0.0,NER,2016
55,IDN,Growing tobacco industry,XAS,1.455096965041133e-06,NER,2016
56,IDN,Growing fibre crops industry,XAS,8.053554830837402e-08,NER,2016
57,IDN,Growing crops n.e.c. industry,XAS,1.8866210650270973e-07,NER,2016
58,IDN,Growing grapes industry,XAS,0.0,NER,2016
