,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,PNG,2016
1,IDN,Growing maize industry,XAM,0.002234745761827597,PNG,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,PNG,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.006712811666737681,PNG,2016
4,IDN,Growing rice industry,XAM,5.596420305824254e-06,PNG,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,PNG,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,PNG,2016
7,IDN,Growing tobacco industry,XAM,1.1120495592483717e-05,PNG,2016
8,IDN,Growing fibre crops industry,XAM,1.0560367262498419e-06,PNG,2016
9,IDN,Growing crops n.e.c. industry,XAM,4.885404719962052e-06,PNG,2016
10,IDN,Growing grapes industry,XAM,0.0,PNG,2016
11,IDN,Growing fruits and nuts industry,XAM,4.118566227475939e-05,PNG,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.2663651822705306e-06,PNG,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,8.892664513108195e-05,PNG,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,PNG,2016
15,IDN,Raising of cattle industry,XAM,0.00013146587830186555,PNG,2016
16,IDN,Growing wheat industry,XEU,0.0,PNG,2016
17,IDN,Growing maize industry,XEU,0.00014154985630272592,PNG,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,PNG,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00041122625487844853,PNG,2016
20,IDN,Growing rice industry,XEU,2.4153728626147233e-07,PNG,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,PNG,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,PNG,2016
23,IDN,Growing tobacco industry,XEU,8.429975146628299e-07,PNG,2016
24,IDN,Growing fibre crops industry,XEU,6.013687720207929e-08,PNG,2016
25,IDN,Growing crops n.e.c. industry,XEU,3.374064883185896e-07,PNG,2016
26,IDN,Growing grapes industry,XEU,0.0,PNG,2016
27,IDN,Growing fruits and nuts industry,XEU,1.8396067833830908e-06,PNG,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.348137055553772e-07,PNG,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,6.257857685973404e-06,PNG,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,PNG,2016
31,IDN,Raising of cattle industry,XEU,9.166793865137683e-06,PNG,2016
32,IDN,Growing wheat industry,XAF,0.0,PNG,2016
33,IDN,Growing maize industry,XAF,0.00014515322334691765,PNG,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,PNG,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0007824582753446917,PNG,2016
36,IDN,Growing rice industry,XAF,1.6708595561157294e-07,PNG,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,PNG,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,PNG,2016
39,IDN,Growing tobacco industry,XAF,1.9111449626047515e-06,PNG,2016
40,IDN,Growing fibre crops industry,XAF,7.78795576950804e-08,PNG,2016
41,IDN,Growing crops n.e.c. industry,XAF,4.794413312113145e-07,PNG,2016
42,IDN,Growing grapes industry,XAF,0.0,PNG,2016
43,IDN,Growing fruits and nuts industry,XAF,1.4409447033512007e-06,PNG,2016
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,6.771504985897908e-07,PNG,2016
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.4510169815522953e-05,PNG,2016
46,IDN,Seeds and plant propagation industry,XAF,0.0,PNG,2016
47,IDN,Raising of cattle industry,XAF,1.7778642755869428e-05,PNG,2016
48,IDN,Growing wheat industry,XAS,0.0,PNG,2016
49,IDN,Growing maize industry,XAS,0.009303671805259572,PNG,2016
50,IDN,Growing cereals n.e.c industry,XAS,0.0,PNG,2016
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.03923921615243163,PNG,2016
52,IDN,Growing rice industry,XAS,1.6424093588538626e-05,PNG,2016
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,PNG,2016
54,IDN,Growing sugar beet and cane industry,XAS,0.0,PNG,2016
55,IDN,Growing tobacco industry,XAS,0.00014015674850013205,PNG,2016
56,IDN,Growing fibre crops industry,XAS,1.2433283687908582e-05,PNG,2016
57,IDN,Growing crops n.e.c. industry,XAS,2.984490511668787e-05,PNG,2016
58,IDN,Growing grapes industry,XAS,0.0,PNG,2016
59,IDN,Growing fruits and nuts industry,XAS,0.00012160341776129456,PNG,2016
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,5.34670860873709e-05,PNG,2016
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0014819935092101587,PNG,2016
62,IDN,Seeds and plant propagation industry,XAS,0.0,PNG,2016
63,IDN,Raising of cattle industry,XAS,0.000951692596756078,PNG,2016
64,IDN,Growing wheat industry,AFG,0.0,PNG,2016
65,IDN,Growing maize industry,AFG,3.7645655520678256e-05,PNG,2016
66,IDN,Growing cereals n.e.c industry,AFG,0.0,PNG,2016
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0002496036090352012,PNG,2016
68,IDN,Growing rice industry,AFG,7.91425206065342e-08,PNG,2016
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,PNG,2016
70,IDN,Growing sugar beet and cane industry,AFG,0.0,PNG,2016
71,IDN,Growing tobacco industry,AFG,4.809192922648091e-07,PNG,2016
72,IDN,Growing fibre crops industry,AFG,2.314267056310922e-08,PNG,2016
73,IDN,Growing crops n.e.c. industry,AFG,1.5238656711427164e-07,PNG,2016
74,IDN,Growing grapes industry,AFG,0.0,PNG,2016
75,IDN,Growing fruits and nuts industry,AFG,4.5581102296879044e-07,PNG,2016
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,1.1996477801537989e-07,PNG,2016
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,4.295817809520063e-06,PNG,2016
78,IDN,Seeds and plant propagation industry,AFG,0.0,PNG,2016
79,IDN,Raising of cattle industry,AFG,5.7119198016894565e-06,PNG,2016
80,IDN,Growing wheat industry,AGO,0.0,PNG,2016
81,IDN,Growing maize industry,AGO,0.0007928776848785148,PNG,2016
82,IDN,Growing cereals n.e.c industry,AGO,0.0,PNG,2016
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.00403447523663805,PNG,2016
84,IDN,Growing rice industry,AGO,5.988995836724078e-07,PNG,2016
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,PNG,2016
86,IDN,Growing sugar beet and cane industry,AGO,0.0,PNG,2016
87,IDN,Growing tobacco industry,AGO,1.0394022886972486e-05,PNG,2016
88,IDN,Growing fibre crops industry,AGO,4.002792990550384e-07,PNG,2016
89,IDN,Growing crops n.e.c. industry,AGO,2.489514423824828e-06,PNG,2016
90,IDN,Growing grapes industry,AGO,0.0,PNG,2016
91,IDN,Growing fruits and nuts industry,AGO,5.863687848414377e-06,PNG,2016
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,2.1676775033809635e-06,PNG,2016
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,7.59371323293527e-05,PNG,2016
94,IDN,Seeds and plant propagation industry,AGO,0.0,PNG,2016
95,IDN,Raising of cattle industry,AGO,8.723438329801588e-05,PNG,2016
96,IDN,Growing wheat industry,ALB,0.0,PNG,2016
97,IDN,Growing maize industry,ALB,7.694990543814843e-05,PNG,2016
98,IDN,Growing cereals n.e.c industry,ALB,0.0,PNG,2016
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.00046827506899826417,PNG,2016
100,IDN,Growing rice industry,ALB,1.0664916204410639e-07,PNG,2016
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,PNG,2016
102,IDN,Growing sugar beet and cane industry,ALB,0.0,PNG,2016
103,IDN,Growing tobacco industry,ALB,7.762846160785685e-07,PNG,2016
104,IDN,Growing fibre crops industry,ALB,4.357248020439116e-08,PNG,2016
105,IDN,Growing crops n.e.c. industry,ALB,2.6888798835337026e-07,PNG,2016
106,IDN,Growing grapes industry,ALB,0.0,PNG,2016
107,IDN,Growing fruits and nuts industry,ALB,9.379606456795001e-07,PNG,2016
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,1.7831274371085386e-07,PNG,2016
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,9.408298148615704e-06,PNG,2016
110,IDN,Seeds and plant propagation industry,ALB,0.0,PNG,2016
111,IDN,Raising of cattle industry,ALB,1.118359067660464e-05,PNG,2016
112,IDN,Growing wheat industry,ARE,0.0,PNG,2016
113,IDN,Growing maize industry,ARE,0.0011854941400181046,PNG,2016
114,IDN,Growing cereals n.e.c industry,ARE,0.0,PNG,2016
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.01069749105492933,PNG,2016
116,IDN,Growing rice industry,ARE,1.554241276351552e-06,PNG,2016
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,PNG,2016
118,IDN,Growing sugar beet and cane industry,ARE,0.0,PNG,2016
119,IDN,Growing tobacco industry,ARE,1.7349165665279156e-05,PNG,2016
120,IDN,Growing fibre crops industry,ARE,9.232253774886097e-07,PNG,2016
121,IDN,Growing crops n.e.c. industry,ARE,5.5760001691054214e-06,PNG,2016
122,IDN,Growing grapes industry,ARE,0.0,PNG,2016
123,IDN,Growing fruits and nuts industry,ARE,1.5096266460120747e-05,PNG,2016
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,3.7930735534339717e-06,PNG,2016
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,0.0001843561355210222,PNG,2016
126,IDN,Seeds and plant propagation industry,ARE,0.0,PNG,2016
127,IDN,Raising of cattle industry,ARE,0.00022419986001494407,PNG,2016
128,IDN,Growing wheat industry,ARG,0.0,PNG,2016
129,IDN,Growing maize industry,ARG,0.0013938029935869935,PNG,2016
130,IDN,Growing cereals n.e.c industry,ARG,0.0,PNG,2016
131,IDN,Growing leguminous crops and oil seeds industry,ARG,0.004095463402005739,PNG,2016
132,IDN,Growing rice industry,ARG,8.240990618435623e-07,PNG,2016
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,PNG,2016
134,IDN,Growing sugar beet and cane industry,ARG,0.0,PNG,2016
135,IDN,Growing tobacco industry,ARG,8.26703799041148e-06,PNG,2016
136,IDN,Growing fibre crops industry,ARG,3.793983890075766e-07,PNG,2016
137,IDN,Growing crops n.e.c. industry,ARG,3.0147738372097455e-06,PNG,2016
138,IDN,Growing grapes industry,ARG,0.0,PNG,2016
139,IDN,Growing fruits and nuts industry,ARG,7.609083160685726e-06,PNG,2016
140,IDN,"Growing beverage crops (coffee, tea etc) industry",ARG,2.133267965792784e-06,PNG,2016
141,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,6.566112562528274e-05,PNG,2016
142,IDN,Seeds and plant propagation industry,ARG,0.0,PNG,2016
143,IDN,Raising of cattle industry,ARG,0.00010305156132383606,PNG,2016
144,IDN,Growing wheat industry,ARM,0.0,PNG,2016
145,IDN,Growing maize industry,ARM,4.702057562630965e-05,PNG,2016
146,IDN,Growing cereals n.e.c industry,ARM,0.0,PNG,2016
147,IDN,Growing leguminous crops and oil seeds industry,ARM,0.00025376505839887176,PNG,2016
148,IDN,Growing rice industry,ARM,6.200170299354681e-08,PNG,2016
149,IDN,"Growing vegetables, roots, tubers industry",ARM,0.0,PNG,2016
150,IDN,Growing sugar beet and cane industry,ARM,0.0,PNG,2016
151,IDN,Growing tobacco industry,ARM,5.812555205302425e-07,PNG,2016
152,IDN,Growing fibre crops industry,ARM,3.1685346650258386e-08,PNG,2016
153,IDN,Growing crops n.e.c. industry,ARM,1.7453204655465327e-07,PNG,2016
154,IDN,Growing grapes industry,ARM,0.0,PNG,2016
155,IDN,Growing fruits and nuts industry,ARM,5.341889795893127e-07,PNG,2016
156,IDN,"Growing beverage crops (coffee, tea etc) industry",ARM,1.7371240234833403e-07,PNG,2016
157,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,6.093783583567922e-06,PNG,2016
158,IDN,Seeds and plant propagation industry,ARM,0.0,PNG,2016
159,IDN,Raising of cattle industry,ARM,5.587757011898127e-06,PNG,2016
160,IDN,Growing wheat industry,AUS,0.0,PNG,2016
161,IDN,Growing maize industry,AUS,0.49801249115436663,PNG,2016
162,IDN,Growing cereals n.e.c industry,AUS,0.0,PNG,2016
163,IDN,Growing leguminous crops and oil seeds industry,AUS,3.7738573762295022,PNG,2016
164,IDN,Growing rice industry,AUS,0.0005391899613022351,PNG,2016
165,IDN,"Growing vegetables, roots, tubers industry",AUS,0.0,PNG,2016
166,IDN,Growing sugar beet and cane industry,AUS,0.0,PNG,2016
167,IDN,Growing tobacco industry,AUS,0.013393715175008751,PNG,2016
168,IDN,Growing fibre crops industry,AUS,0.0004019756338955623,PNG,2016
169,IDN,Growing crops n.e.c. industry,AUS,0.0035620883564915946,PNG,2016
170,IDN,Growing grapes industry,AUS,0.0,PNG,2016
171,IDN,Growing fruits and nuts industry,AUS,0.005857251303652052,PNG,2016
172,IDN,"Growing beverage crops (coffee, tea etc) industry",AUS,0.0048741235354895955,PNG,2016
173,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUS,0.05686463647398849,PNG,2016
174,IDN,Seeds and plant propagation industry,AUS,0.0,PNG,2016
175,IDN,Raising of cattle industry,AUS,0.06131722392790414,PNG,2016
176,IDN,Growing wheat industry,AUT,0.0,PNG,2016
177,IDN,Growing maize industry,AUT,0.0035541000600337364,PNG,2016
178,IDN,Growing cereals n.e.c industry,AUT,0.0,PNG,2016
179,IDN,Growing leguminous crops and oil seeds industry,AUT,0.0113594415427041,PNG,2016
180,IDN,Growing rice industry,AUT,4.996836957432897e-06,PNG,2016
181,IDN,"Growing vegetables, roots, tubers industry",AUT,0.0,PNG,2016
182,IDN,Growing sugar beet and cane industry,AUT,0.0,PNG,2016
183,IDN,Growing tobacco industry,AUT,3.733989192133386e-05,PNG,2016
184,IDN,Growing fibre crops industry,AUT,1.9235674278672476e-06,PNG,2016
185,IDN,Growing crops n.e.c. industry,AUT,7.800264135205127e-06,PNG,2016
186,IDN,Growing grapes industry,AUT,0.0,PNG,2016
187,IDN,Growing fruits and nuts industry,AUT,3.737363505470513e-05,PNG,2016
188,IDN,"Growing beverage crops (coffee, tea etc) industry",AUT,1.5896501426360023e-05,PNG,2016
189,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AUT,0.0002563490838340182,PNG,2016
190,IDN,Seeds and plant propagation industry,AUT,0.0,PNG,2016
191,IDN,Raising of cattle industry,AUT,0.00028379713388521283,PNG,2016
192,IDN,Growing wheat industry,AZE,0.0,PNG,2016
193,IDN,Growing maize industry,AZE,0.00012704190697412158,PNG,2016
194,IDN,Growing cereals n.e.c industry,AZE,0.0,PNG,2016
195,IDN,Growing leguminous crops and oil seeds industry,AZE,0.0006603271756285401,PNG,2016
196,IDN,Growing rice industry,AZE,1.6762321310509648e-07,PNG,2016
197,IDN,"Growing vegetables, roots, tubers industry",AZE,0.0,PNG,2016
198,IDN,Growing sugar beet and cane industry,AZE,0.0,PNG,2016
199,IDN,Growing tobacco industry,AZE,2.041027548141492e-06,PNG,2016
200,IDN,Growing fibre crops industry,AZE,9.033197506142399e-08,PNG,2016
201,IDN,Growing crops n.e.c. industry,AZE,7.292281297260527e-07,PNG,2016
202,IDN,Growing grapes industry,AZE,0.0,PNG,2016
203,IDN,Growing fruits and nuts industry,AZE,1.445053395078894e-06,PNG,2016
204,IDN,"Growing beverage crops (coffee, tea etc) industry",AZE,7.723158899934695e-07,PNG,2016
205,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AZE,1.3081343509301618e-05,PNG,2016
206,IDN,Seeds and plant propagation industry,AZE,0.0,PNG,2016
207,IDN,Raising of cattle industry,AZE,1.671565857713196e-05,PNG,2016
208,IDN,Growing wheat industry,BDI,0.0,PNG,2016
209,IDN,Growing maize industry,BDI,5.859908167889084e-06,PNG,2016
210,IDN,Growing cereals n.e.c industry,BDI,0.0,PNG,2016
211,IDN,Growing leguminous crops and oil seeds industry,BDI,3.761194837432742e-05,PNG,2016
212,IDN,Growing rice industry,BDI,1.4111198436833175e-08,PNG,2016
213,IDN,"Growing vegetables, roots, tubers industry",BDI,0.0,PNG,2016
214,IDN,Growing sugar beet and cane industry,BDI,0.0,PNG,2016
215,IDN,Growing tobacco industry,BDI,7.910213573748769e-08,PNG,2016
