,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,SDN,2016
1,IDN,Growing maize industry,XAM,0.006218365506886731,SDN,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,SDN,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0015777099372614987,SDN,2016
4,IDN,Growing rice industry,XAM,8.463156248650386e-07,SDN,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,SDN,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,SDN,2016
7,IDN,Growing tobacco industry,XAM,1.5275264981660735e-06,SDN,2016
8,IDN,Growing fibre crops industry,XAM,1.458683532570703e-06,SDN,2016
9,IDN,Growing crops n.e.c. industry,XAM,6.598861744226357e-07,SDN,2016
10,IDN,Growing grapes industry,XAM,0.0,SDN,2016
11,IDN,Growing fruits and nuts industry,XAM,1.4142935529865804e-05,SDN,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.8537325860712344e-07,SDN,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00016052509638878572,SDN,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,SDN,2016
15,IDN,Raising of cattle industry,XAM,4.9767683976590406e-05,SDN,2016
16,IDN,Growing wheat industry,XEU,0.0,SDN,2016
17,IDN,Growing maize industry,XEU,0.000813635099518525,SDN,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,SDN,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.002624889036465128,SDN,2016
20,IDN,Growing rice industry,XEU,7.91124137435419e-07,SDN,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,SDN,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,SDN,2016
23,IDN,Growing tobacco industry,XEU,7.051422437182124e-06,SDN,2016
24,IDN,Growing fibre crops industry,XEU,4.317464374612285e-07,SDN,2016
25,IDN,Growing crops n.e.c. industry,XEU,1.230371962530948e-06,SDN,2016
26,IDN,Growing grapes industry,XEU,0.0,SDN,2016
27,IDN,Growing fruits and nuts industry,XEU,5.167420021215797e-06,SDN,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.4172715578522238e-06,SDN,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,4.585419468932583e-05,SDN,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,SDN,2016
31,IDN,Raising of cattle industry,XEU,4.732251750542831e-05,SDN,2016
32,IDN,Growing wheat industry,XAF,0.0,SDN,2016
33,IDN,Growing maize industry,XAF,9.16564887702111e-05,SDN,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,SDN,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.00031105075479840493,SDN,2016
36,IDN,Growing rice industry,XAF,2.8452535074840405e-07,SDN,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,SDN,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,SDN,2016
39,IDN,Growing tobacco industry,XAF,8.095791654824993e-07,SDN,2016
40,IDN,Growing fibre crops industry,XAF,1.0422937048607328e-07,SDN,2016
41,IDN,Growing crops n.e.c. industry,XAF,1.670869197961632e-07,SDN,2016
42,IDN,Growing grapes industry,XAF,0.0,SDN,2016
43,IDN,Growing fruits and nuts industry,XAF,3.349848508546039e-06,SDN,2016
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.0584545718231002e-07,SDN,2016
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,1.179597150301284e-05,SDN,2016
46,IDN,Seeds and plant propagation industry,XAF,0.0,SDN,2016
47,IDN,Raising of cattle industry,XAF,6.0326697028144496e-06,SDN,2016
48,IDN,Growing wheat industry,XAS,0.0,SDN,2016
49,IDN,Growing maize industry,XAS,7.836474211009398e-05,SDN,2016
50,IDN,Growing cereals n.e.c industry,XAS,0.0,SDN,2016
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00028203993506852813,SDN,2016
52,IDN,Growing rice industry,XAS,5.090828822281133e-06,SDN,2016
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,SDN,2016
54,IDN,Growing sugar beet and cane industry,XAS,0.0,SDN,2016
55,IDN,Growing tobacco industry,XAS,1.2527675482851288e-06,SDN,2016
56,IDN,Growing fibre crops industry,XAS,9.686516931646124e-08,SDN,2016
57,IDN,Growing crops n.e.c. industry,XAS,1.8594847871075933e-07,SDN,2016
58,IDN,Growing grapes industry,XAS,0.0,SDN,2016
59,IDN,Growing fruits and nuts industry,XAS,9.028743898289366e-07,SDN,2016
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,1.791997460401287e-07,SDN,2016
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,1.7228116155512704e-05,SDN,2016
62,IDN,Seeds and plant propagation industry,XAS,0.0,SDN,2016
63,IDN,Raising of cattle industry,XAS,5.123556587753595e-06,SDN,2016
64,IDN,Growing wheat industry,AFG,0.0,SDN,2016
65,IDN,Growing maize industry,AFG,4.678044553787093e-05,SDN,2016
66,IDN,Growing cereals n.e.c industry,AFG,0.0,SDN,2016
67,IDN,Growing leguminous crops and oil seeds industry,AFG,9.893203363210275e-05,SDN,2016
68,IDN,Growing rice industry,AFG,1.7856369224374387e-07,SDN,2016
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,SDN,2016
70,IDN,Growing sugar beet and cane industry,AFG,0.0,SDN,2016
71,IDN,Growing tobacco industry,AFG,2.184450471657055e-07,SDN,2016
72,IDN,Growing fibre crops industry,AFG,3.942620027694405e-08,SDN,2016
73,IDN,Growing crops n.e.c. industry,AFG,5.51114280312535e-08,SDN,2016
74,IDN,Growing grapes industry,AFG,0.0,SDN,2016
75,IDN,Growing fruits and nuts industry,AFG,2.509247912739378e-07,SDN,2016
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,3.737174530069275e-08,SDN,2016
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.188853417023882e-05,SDN,2016
78,IDN,Seeds and plant propagation industry,AFG,0.0,SDN,2016
79,IDN,Raising of cattle industry,AFG,3.5585467975347303e-06,SDN,2016
80,IDN,Growing wheat industry,AGO,0.0,SDN,2016
81,IDN,Growing maize industry,AGO,0.0002094564491575733,SDN,2016
82,IDN,Growing cereals n.e.c industry,AGO,0.0,SDN,2016
83,IDN,Growing leguminous crops and oil seeds industry,AGO,0.0005687714862659342,SDN,2016
84,IDN,Growing rice industry,AGO,7.032180379286597e-07,SDN,2016
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,SDN,2016
86,IDN,Growing sugar beet and cane industry,AGO,0.0,SDN,2016
87,IDN,Growing tobacco industry,AGO,2.0163096544321373e-06,SDN,2016
88,IDN,Growing fibre crops industry,AGO,3.58105098653845e-07,SDN,2016
89,IDN,Growing crops n.e.c. industry,AGO,3.3363018455773253e-07,SDN,2016
90,IDN,Growing grapes industry,AGO,0.0,SDN,2016
91,IDN,Growing fruits and nuts industry,AGO,1.2530909557685475e-06,SDN,2016
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,2.9645480527414634e-07,SDN,2016
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,4.820841352269196e-05,SDN,2016
94,IDN,Seeds and plant propagation industry,AGO,0.0,SDN,2016
95,IDN,Raising of cattle industry,AGO,1.351120539763423e-05,SDN,2016
96,IDN,Growing wheat industry,ALB,0.0,SDN,2016
97,IDN,Growing maize industry,ALB,0.00012808158322349147,SDN,2016
98,IDN,Growing cereals n.e.c industry,ALB,0.0,SDN,2016
99,IDN,Growing leguminous crops and oil seeds industry,ALB,0.0004621913715790126,SDN,2016
100,IDN,Growing rice industry,ALB,2.05940525843637e-07,SDN,2016
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,SDN,2016
102,IDN,Growing sugar beet and cane industry,ALB,0.0,SDN,2016
103,IDN,Growing tobacco industry,ALB,7.033302100081193e-06,SDN,2016
104,IDN,Growing fibre crops industry,ALB,1.7244077121331913e-07,SDN,2016
105,IDN,Growing crops n.e.c. industry,ALB,3.430409375990357e-07,SDN,2016
