,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,TJK,2016
1,IDN,Growing maize industry,XAM,2.5475680107501e-05,TJK,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,TJK,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.00012771629588752156,TJK,2016
4,IDN,Growing rice industry,XAM,4.123804461488849e-08,TJK,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,TJK,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,TJK,2016
7,IDN,Growing tobacco industry,XAM,7.537913086675178e-07,TJK,2016
8,IDN,Growing fibre crops industry,XAM,6.503386415506294e-08,TJK,2016
9,IDN,Growing crops n.e.c. industry,XAM,9.391998820004956e-08,TJK,2016
10,IDN,Growing grapes industry,XAM,0.0,TJK,2016
11,IDN,Growing fruits and nuts industry,XAM,3.1570666676119e-07,TJK,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,6.35799788352468e-07,TJK,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,3.2582294826457165e-06,TJK,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,TJK,2016
15,IDN,Raising of cattle industry,XAM,1.8698505371649344e-06,TJK,2016
16,IDN,Growing wheat industry,XEU,0.0,TJK,2016
17,IDN,Growing maize industry,XEU,5.466615057931675e-06,TJK,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,TJK,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,2.6183521522100377e-05,TJK,2016
20,IDN,Growing rice industry,XEU,8.84526421414865e-09,TJK,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,TJK,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,TJK,2016
23,IDN,Growing tobacco industry,XEU,1.6293474707557874e-07,TJK,2016
24,IDN,Growing fibre crops industry,XEU,1.80498849313676e-08,TJK,2016
25,IDN,Growing crops n.e.c. industry,XEU,1.892278753257458e-08,TJK,2016
