,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,URY,2016
1,IDN,Growing maize industry,XAM,0.010519679430832221,URY,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,URY,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.009190127381905293,URY,2016
4,IDN,Growing rice industry,XAM,2.4743583859879175e-06,URY,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,URY,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,URY,2016
7,IDN,Growing tobacco industry,XAM,0.006362601885233546,URY,2016
8,IDN,Growing fibre crops industry,XAM,4.043496245201881e-06,URY,2016
9,IDN,Growing crops n.e.c. industry,XAM,5.374091300389077e-05,URY,2016
10,IDN,Growing grapes industry,XAM,0.0,URY,2016
11,IDN,Growing fruits and nuts industry,XAM,6.135804745797963e-05,URY,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,8.317801725362292e-06,URY,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0015579009752389199,URY,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,URY,2016
15,IDN,Raising of cattle industry,XAM,0.0012077991333316249,URY,2016
16,IDN,Growing wheat industry,XEU,0.0,URY,2016
17,IDN,Growing maize industry,XEU,0.002339068307197247,URY,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,URY,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.003350653591150897,URY,2016
20,IDN,Growing rice industry,XEU,6.37094018604953e-07,URY,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,URY,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,URY,2016
23,IDN,Growing tobacco industry,XEU,1.9071373188203756e-05,URY,2016
24,IDN,Growing fibre crops industry,XEU,1.5313022305126592e-06,URY,2016
25,IDN,Growing crops n.e.c. industry,XEU,2.199303058789866e-05,URY,2016
26,IDN,Growing grapes industry,XEU,0.0,URY,2016
27,IDN,Growing fruits and nuts industry,XEU,9.975106150913768e-06,URY,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,3.6929982339583105e-06,URY,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0004353463126902135,URY,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,URY,2016
31,IDN,Raising of cattle industry,XEU,0.0003222867318010784,URY,2016
32,IDN,Growing wheat industry,XAF,0.0,URY,2016
33,IDN,Growing maize industry,XAF,0.006090741399322566,URY,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,URY,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.001717320240068835,URY,2016
36,IDN,Growing rice industry,XAF,6.282304913080197e-07,URY,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,URY,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,URY,2016
39,IDN,Growing tobacco industry,XAF,5.083627812744029e-05,URY,2016
40,IDN,Growing fibre crops industry,XAF,1.7507494303201024e-06,URY,2016
41,IDN,Growing crops n.e.c. industry,XAF,7.818391729378377e-06,URY,2016
42,IDN,Growing grapes industry,XAF,0.0,URY,2016
43,IDN,Growing fruits and nuts industry,XAF,1.4824929063143342e-05,URY,2016
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.8483076458666128e-06,URY,2016
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.00015359878161562944,URY,2016
46,IDN,Seeds and plant propagation industry,XAF,0.0,URY,2016
47,IDN,Raising of cattle industry,XAF,0.0001732671186215152,URY,2016
48,IDN,Growing wheat industry,XAS,0.0,URY,2016
49,IDN,Growing maize industry,XAS,0.003582684451802551,URY,2016
50,IDN,Growing cereals n.e.c industry,XAS,0.0,URY,2016
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0014456222603287116,URY,2016
52,IDN,Growing rice industry,XAS,5.901255213771463e-07,URY,2016
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,URY,2016
54,IDN,Growing sugar beet and cane industry,XAS,0.0,URY,2016
55,IDN,Growing tobacco industry,XAS,7.0723331645775186e-06,URY,2016
56,IDN,Growing fibre crops industry,XAS,1.2542842858047002e-06,URY,2016
57,IDN,Growing crops n.e.c. industry,XAS,9.391695489471983e-06,URY,2016
58,IDN,Growing grapes industry,XAS,0.0,URY,2016
59,IDN,Growing fruits and nuts industry,XAS,1.586062499368451e-05,URY,2016
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,1.3114980773680038e-06,URY,2016
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0001659273532269433,URY,2016
62,IDN,Seeds and plant propagation industry,XAS,0.0,URY,2016
63,IDN,Raising of cattle industry,XAS,0.00019935501563244398,URY,2016
64,IDN,Growing wheat industry,AFG,0.0,URY,2016
65,IDN,Growing maize industry,AFG,0.0010487707646914823,URY,2016
66,IDN,Growing cereals n.e.c industry,AFG,0.0,URY,2016
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.000600867956407449,URY,2016
68,IDN,Growing rice industry,AFG,1.6712514064536993e-07,URY,2016
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,URY,2016
70,IDN,Growing sugar beet and cane industry,AFG,0.0,URY,2016
71,IDN,Growing tobacco industry,AFG,1.7845098269687085e-06,URY,2016
72,IDN,Growing fibre crops industry,AFG,7.365844814343763e-07,URY,2016
73,IDN,Growing crops n.e.c. industry,AFG,1.9789510537886705e-06,URY,2016
74,IDN,Growing grapes industry,AFG,0.0,URY,2016
75,IDN,Growing fruits and nuts industry,AFG,3.0932594517134187e-06,URY,2016
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,3.169214994110627e-07,URY,2016
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,6.876447751746117e-05,URY,2016
78,IDN,Seeds and plant propagation industry,AFG,0.0,URY,2016
79,IDN,Raising of cattle industry,AFG,6.287465971115636e-05,URY,2016
80,IDN,Growing wheat industry,AGO,0.0,URY,2016
81,IDN,Growing maize industry,AGO,0.011034534741668376,URY,2016
82,IDN,Growing cereals n.e.c industry,AGO,0.0,URY,2016
