,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,VNM,2016
1,IDN,Growing maize industry,XAM,0.14716895264198002,VNM,2016
2,IDN,Growing cereals n.e.c industry,XAM,0.0,VNM,2016
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.3915563914069671,VNM,2016
4,IDN,Growing rice industry,XAM,0.0004222851989761851,VNM,2016
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,VNM,2016
6,IDN,Growing sugar beet and cane industry,XAM,0.0,VNM,2016
7,IDN,Growing tobacco industry,XAM,0.0007708667432364476,VNM,2016
8,IDN,Growing fibre crops industry,XAM,0.00020563260929304633,VNM,2016
9,IDN,Growing crops n.e.c. industry,XAM,0.00021054342231427968,VNM,2016
10,IDN,Growing grapes industry,XAM,0.0,VNM,2016
11,IDN,Growing fruits and nuts industry,XAM,0.001102963686828021,VNM,2016
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.00013529685894702622,VNM,2016
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.06971632514709522,VNM,2016
14,IDN,Seeds and plant propagation industry,XAM,0.0,VNM,2016
15,IDN,Raising of cattle industry,XAM,0.003774989061559402,VNM,2016
16,IDN,Growing wheat industry,XEU,0.0,VNM,2016
17,IDN,Growing maize industry,XEU,0.017229637530834584,VNM,2016
18,IDN,Growing cereals n.e.c industry,XEU,0.0,VNM,2016
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0426543905168746,VNM,2016
20,IDN,Growing rice industry,XEU,5.316156139921275e-05,VNM,2016
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,VNM,2016
22,IDN,Growing sugar beet and cane industry,XEU,0.0,VNM,2016
23,IDN,Growing tobacco industry,XEU,9.882911153608962e-05,VNM,2016
24,IDN,Growing fibre crops industry,XEU,5.979761269271767e-05,VNM,2016
25,IDN,Growing crops n.e.c. industry,XEU,5.183999909419354e-05,VNM,2016
26,IDN,Growing grapes industry,XEU,0.0,VNM,2016
27,IDN,Growing fruits and nuts industry,XEU,9.826506180463557e-05,VNM,2016
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.170939306128062e-05,VNM,2016
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.012104104011968774,VNM,2016
30,IDN,Seeds and plant propagation industry,XEU,0.0,VNM,2016
31,IDN,Raising of cattle industry,XEU,0.0007433354278035363,VNM,2016
32,IDN,Growing wheat industry,XAF,0.0,VNM,2016
33,IDN,Growing maize industry,XAF,0.09614225466918887,VNM,2016
34,IDN,Growing cereals n.e.c industry,XAF,0.0,VNM,2016
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.31096543719686104,VNM,2016
36,IDN,Growing rice industry,XAF,0.0002463962409062749,VNM,2016
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,VNM,2016
38,IDN,Growing sugar beet and cane industry,XAF,0.0,VNM,2016
39,IDN,Growing tobacco industry,XAF,0.0005305960135379217,VNM,2016
40,IDN,Growing fibre crops industry,XAF,0.0007343153461809432,VNM,2016
41,IDN,Growing crops n.e.c. industry,XAF,0.0002047074526724739,VNM,2016
42,IDN,Growing grapes industry,XAF,0.0,VNM,2016
43,IDN,Growing fruits and nuts industry,XAF,0.0007274167928242304,VNM,2016
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,9.929500201585114e-05,VNM,2016
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.0360873401590228,VNM,2016
46,IDN,Seeds and plant propagation industry,XAF,0.0,VNM,2016
47,IDN,Raising of cattle industry,XAF,0.004741985804497695,VNM,2016
48,IDN,Growing wheat industry,XAS,0.0,VNM,2016
49,IDN,Growing maize industry,XAS,0.8360020424847122,VNM,2016
50,IDN,Growing cereals n.e.c industry,XAS,0.0,VNM,2016
51,IDN,Growing leguminous crops and oil seeds industry,XAS,2.3545031155133893,VNM,2016
52,IDN,Growing rice industry,XAS,0.0016184849310316943,VNM,2016
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,VNM,2016
54,IDN,Growing sugar beet and cane industry,XAS,0.0,VNM,2016
55,IDN,Growing tobacco industry,XAS,0.005629429859059512,VNM,2016
56,IDN,Growing fibre crops industry,XAS,0.0003905813982981558,VNM,2016
57,IDN,Growing crops n.e.c. industry,XAS,0.0010749560619281158,VNM,2016
58,IDN,Growing grapes industry,XAS,0.0,VNM,2016
59,IDN,Growing fruits and nuts industry,XAS,0.005955550355225382,VNM,2016
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0008794831351521229,VNM,2016
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.24413088990729523,VNM,2016
62,IDN,Seeds and plant propagation industry,XAS,0.0,VNM,2016
63,IDN,Raising of cattle industry,XAS,0.017496111271958357,VNM,2016
64,IDN,Growing wheat industry,AFG,0.0,VNM,2016
65,IDN,Growing maize industry,AFG,0.054955666305840756,VNM,2016
66,IDN,Growing cereals n.e.c industry,AFG,0.0,VNM,2016
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.11499044593848061,VNM,2016
68,IDN,Growing rice industry,AFG,9.936572398584711e-05,VNM,2016
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,VNM,2016
70,IDN,Growing sugar beet and cane industry,AFG,0.0,VNM,2016
71,IDN,Growing tobacco industry,AFG,6.790177388310362e-05,VNM,2016
72,IDN,Growing fibre crops industry,AFG,2.6130771687267102e-05,VNM,2016
