,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BRN,2018
1,IDN,Growing maize industry,XAM,0.0003120422892705237,BRN,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BRN,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.002893702765961741,BRN,2018
4,IDN,Growing rice industry,XAM,1.5872713006647238e-06,BRN,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BRN,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,BRN,2018
7,IDN,Growing tobacco industry,XAM,4.6238219819647634e-06,BRN,2018
8,IDN,Growing fibre crops industry,XAM,1.6360039110726627e-07,BRN,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,BRN,2018
10,IDN,Growing grapes industry,XAM,0.0,BRN,2018
11,IDN,Growing fruits and nuts industry,XAM,5.2633114588091744e-05,BRN,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.7287031507463925e-06,BRN,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.477439180504936e-06,BRN,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,BRN,2018
15,IDN,Raising of cattle industry,XAM,5.520801859431221e-05,BRN,2018
16,IDN,Growing wheat industry,XEU,0.0,BRN,2018
17,IDN,Growing maize industry,XEU,8.000244902487637e-05,BRN,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BRN,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0007809526752417747,BRN,2018
20,IDN,Growing rice industry,XEU,3.7562909030154057e-07,BRN,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BRN,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,BRN,2018
23,IDN,Growing tobacco industry,XEU,1.6960535623341834e-06,BRN,2018
24,IDN,Growing fibre crops industry,XEU,5.447976530402684e-08,BRN,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,BRN,2018
26,IDN,Growing grapes industry,XEU,0.0,BRN,2018
27,IDN,Growing fruits and nuts industry,XEU,1.3618388151215819e-05,BRN,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,9.644910246398367e-07,BRN,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.7723694310386738e-06,BRN,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,BRN,2018
31,IDN,Raising of cattle industry,XEU,1.4603759931767476e-05,BRN,2018
32,IDN,Growing wheat industry,XAF,0.0,BRN,2018
33,IDN,Growing maize industry,XAF,0.0002780116794824873,BRN,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BRN,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.002603749183744376,BRN,2018
36,IDN,Growing rice industry,XAF,1.4108836406250835e-06,BRN,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BRN,2018
