,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,CHN,2018
1,IDN,Growing maize industry,XAM,0.057655140945304766,CHN,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,CHN,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.42391872497775995,CHN,2018
4,IDN,Growing rice industry,XAM,0.0005664429597886857,CHN,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,CHN,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,CHN,2018
7,IDN,Growing tobacco industry,XAM,0.008475742752387758,CHN,2018
8,IDN,Growing fibre crops industry,XAM,5.718688784449979e-05,CHN,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,CHN,2018
10,IDN,Growing grapes industry,XAM,0.0,CHN,2018
11,IDN,Growing fruits and nuts industry,XAM,0.016526858766544295,CHN,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,0.0010224552272029297,CHN,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.002714125632223306,CHN,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,CHN,2018
15,IDN,Raising of cattle industry,XAM,0.009580289182763655,CHN,2018
16,IDN,Growing wheat industry,XEU,0.0,CHN,2018
17,IDN,Growing maize industry,XEU,0.006593834693309477,CHN,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,CHN,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.04344507578654024,CHN,2018
20,IDN,Growing rice industry,XEU,6.35754725876295e-05,CHN,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,CHN,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,CHN,2018
23,IDN,Growing tobacco industry,XEU,0.0009503897992334015,CHN,2018
24,IDN,Growing fibre crops industry,XEU,6.048642740648111e-06,CHN,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,CHN,2018
26,IDN,Growing grapes industry,XEU,0.0,CHN,2018
27,IDN,Growing fruits and nuts industry,XEU,0.0016539590803129024,CHN,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,0.000112370326496302,CHN,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0003243147405513259,CHN,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,CHN,2018
31,IDN,Raising of cattle industry,XEU,0.0009596559712289525,CHN,2018
32,IDN,Growing wheat industry,XAF,0.0,CHN,2018
33,IDN,Growing maize industry,XAF,0.02812759970573654,CHN,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,CHN,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.24081741359395617,CHN,2018
36,IDN,Growing rice industry,XAF,0.0003644962448238051,CHN,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,CHN,2018
38,IDN,Growing sugar beet and cane industry,XAF,0.0,CHN,2018
39,IDN,Growing tobacco industry,XAF,0.008552931004556834,CHN,2018
40,IDN,Growing fibre crops industry,XAF,4.338308539181573e-05,CHN,2018
