,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,KWT,2018
1,IDN,Growing maize industry,XAM,0.0009770014834965394,KWT,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,KWT,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0007313152990594397,KWT,2018
4,IDN,Growing rice industry,XAM,4.411802634425823e-07,KWT,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,KWT,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,KWT,2018
7,IDN,Growing tobacco industry,XAM,7.836268018990357e-06,KWT,2018
8,IDN,Growing fibre crops industry,XAM,1.883837314677629e-07,KWT,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,KWT,2018
10,IDN,Growing grapes industry,XAM,0.0,KWT,2018
11,IDN,Growing fruits and nuts industry,XAM,2.384973236372113e-05,KWT,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.3465622075282664e-06,KWT,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.951177519746682e-05,KWT,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,KWT,2018
15,IDN,Raising of cattle industry,XAM,8.031018822969809e-05,KWT,2018
16,IDN,Growing wheat industry,XEU,0.0,KWT,2018
17,IDN,Growing maize industry,XEU,0.00019574933699390495,KWT,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,KWT,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.000140284914847528,KWT,2018
20,IDN,Growing rice industry,XEU,8.99406648361765e-08,KWT,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,KWT,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,KWT,2018
23,IDN,Growing tobacco industry,XEU,1.4586596550046326e-06,KWT,2018
24,IDN,Growing fibre crops industry,XEU,3.899821712011931e-08,KWT,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,KWT,2018
26,IDN,Growing grapes industry,XEU,0.0,KWT,2018
27,IDN,Growing fruits and nuts industry,XEU,5.2849921477327985e-06,KWT,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,4.040928070280839e-07,KWT,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.257118355099081e-06,KWT,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,KWT,2018
31,IDN,Raising of cattle industry,XEU,1.4970659016774883e-05,KWT,2018
32,IDN,Growing wheat industry,XAF,0.0,KWT,2018
33,IDN,Growing maize industry,XAF,0.0009249097565299764,KWT,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,KWT,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0009083644461160966,KWT,2018
36,IDN,Growing rice industry,XAF,4.680539784182409e-07,KWT,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,KWT,2018
38,IDN,Growing sugar beet and cane industry,XAF,0.0,KWT,2018
39,IDN,Growing tobacco industry,XAF,9.651224730233002e-06,KWT,2018
40,IDN,Growing fibre crops industry,XAF,2.3059132323081784e-07,KWT,2018
41,IDN,Growing crops n.e.c. industry,XAF,0.0,KWT,2018
42,IDN,Growing grapes industry,XAF,0.0,KWT,2018
43,IDN,Growing fruits and nuts industry,XAF,2.5067829827643147e-05,KWT,2018
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.3929111656712378e-06,KWT,2018
