,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,PRK,2018
1,IDN,Growing maize industry,XAM,1.82774274442811e-06,PRK,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,PRK,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,7.353842283294356e-06,PRK,2018
4,IDN,Growing rice industry,XAM,5.030576252199641e-09,PRK,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,PRK,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,PRK,2018
7,IDN,Growing tobacco industry,XAM,6.437033632756606e-08,PRK,2018
8,IDN,Growing fibre crops industry,XAM,8.840456634767038e-10,PRK,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,PRK,2018
10,IDN,Growing grapes industry,XAM,0.0,PRK,2018
11,IDN,Growing fruits and nuts industry,XAM,2.0204194130309777e-07,PRK,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.43716447979713e-08,PRK,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,4.6552417894160884e-08,PRK,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,PRK,2018
15,IDN,Raising of cattle industry,XAM,7.631458830554751e-07,PRK,2018
16,IDN,Growing wheat industry,XEU,0.0,PRK,2018
17,IDN,Growing maize industry,XEU,2.4041850099720674e-07,PRK,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,PRK,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,1.3404795360738092e-06,PRK,2018
20,IDN,Growing rice industry,XEU,8.779236128368907e-10,PRK,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,PRK,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,PRK,2018
23,IDN,Growing tobacco industry,XEU,1.1646856792683797e-08,PRK,2018
24,IDN,Growing fibre crops industry,XEU,1.1479355335329622e-10,PRK,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,PRK,2018
26,IDN,Growing grapes industry,XEU,0.0,PRK,2018
27,IDN,Growing fruits and nuts industry,XEU,3.759260163812306e-08,PRK,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.8928930655770344e-09,PRK,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.223841708151498e-09,PRK,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,PRK,2018
31,IDN,Raising of cattle industry,XEU,9.445220593120439e-08,PRK,2018
32,IDN,Growing wheat industry,XAF,0.0,PRK,2018
