,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,PSE,2018
1,IDN,Growing maize industry,XAM,3.4734009938374125e-06,PSE,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,PSE,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,1.7853980134239212e-05,PSE,2018
4,IDN,Growing rice industry,XAM,5.573304266523806e-08,PSE,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,PSE,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,PSE,2018
7,IDN,Growing tobacco industry,XAM,1.077162294006865e-07,PSE,2018
8,IDN,Growing fibre crops industry,XAM,2.0239583926971115e-09,PSE,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,PSE,2018
10,IDN,Growing grapes industry,XAM,0.0,PSE,2018
11,IDN,Growing fruits and nuts industry,XAM,1.0589436711024282e-06,PSE,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,7.162000686069612e-08,PSE,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,5.211012527020091e-07,PSE,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,PSE,2018
15,IDN,Raising of cattle industry,XAM,1.1722754950254137e-06,PSE,2018
16,IDN,Growing wheat industry,XEU,0.0,PSE,2018
17,IDN,Growing maize industry,XEU,1.5972526622390172e-06,PSE,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,PSE,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,7.387595681072809e-06,PSE,2018
20,IDN,Growing rice industry,XEU,5.37957909700777e-08,PSE,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,PSE,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,PSE,2018
23,IDN,Growing tobacco industry,XEU,3.75570689635019e-08,PSE,2018
24,IDN,Growing fibre crops industry,XEU,7.86683947138632e-10,PSE,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,PSE,2018
26,IDN,Growing grapes industry,XEU,0.0,PSE,2018
27,IDN,Growing fruits and nuts industry,XEU,4.754611803469831e-07,PSE,2018
