,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,UGA,2018
1,IDN,Growing maize industry,XAM,2.0447250986157583e-05,UGA,2018
2,IDN,Growing cereals n.e.c industry,XAM,0.0,UGA,2018
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0020902821144438795,UGA,2018
4,IDN,Growing rice industry,XAM,3.64172121911854e-07,UGA,2018
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,UGA,2018
6,IDN,Growing sugar beet and cane industry,XAM,0.0,UGA,2018
7,IDN,Growing tobacco industry,XAM,4.534340883201467e-07,UGA,2018
8,IDN,Growing fibre crops industry,XAM,5.999920793108989e-09,UGA,2018
9,IDN,Growing crops n.e.c. industry,XAM,0.0,UGA,2018
10,IDN,Growing grapes industry,XAM,0.0,UGA,2018
11,IDN,Growing fruits and nuts industry,XAM,1.9864976916419255e-05,UGA,2018
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.1927101922982481e-07,UGA,2018
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.9236938508512086e-06,UGA,2018
14,IDN,Seeds and plant propagation industry,XAM,0.0,UGA,2018
15,IDN,Raising of cattle industry,XAM,5.387412914546826e-06,UGA,2018
16,IDN,Growing wheat industry,XEU,0.0,UGA,2018
17,IDN,Growing maize industry,XEU,2.980699079073327e-06,UGA,2018
18,IDN,Growing cereals n.e.c industry,XEU,0.0,UGA,2018
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00011026905287193468,UGA,2018
20,IDN,Growing rice industry,XEU,2.0614062823476715e-08,UGA,2018
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,UGA,2018
22,IDN,Growing sugar beet and cane industry,XEU,0.0,UGA,2018
23,IDN,Growing tobacco industry,XEU,9.466942644565054e-08,UGA,2018
24,IDN,Growing fibre crops industry,XEU,1.7560800274244658e-09,UGA,2018
25,IDN,Growing crops n.e.c. industry,XEU,0.0,UGA,2018
26,IDN,Growing grapes industry,XEU,0.0,UGA,2018
27,IDN,Growing fruits and nuts industry,XEU,1.1149345933164173e-06,UGA,2018
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,7.403537600784676e-08,UGA,2018
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.4263916001912545e-07,UGA,2018
30,IDN,Seeds and plant propagation industry,XEU,0.0,UGA,2018
31,IDN,Raising of cattle industry,XEU,9.097597964583704e-07,UGA,2018
32,IDN,Growing wheat industry,XAF,0.0,UGA,2018
33,IDN,Growing maize industry,XAF,2.4728992874446706e-05,UGA,2018
34,IDN,Growing cereals n.e.c industry,XAF,0.0,UGA,2018
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.000841877774125268,UGA,2018
36,IDN,Growing rice industry,XAF,1.5825039970061297e-07,UGA,2018
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,UGA,2018
38,IDN,Growing sugar beet and cane industry,XAF,0.0,UGA,2018
39,IDN,Growing tobacco industry,XAF,6.138719295299784e-07,UGA,2018
40,IDN,Growing fibre crops industry,XAF,1.5358519519227598e-08,UGA,2018
41,IDN,Growing crops n.e.c. industry,XAF,0.0,UGA,2018
42,IDN,Growing grapes industry,XAF,0.0,UGA,2018
43,IDN,Growing fruits and nuts industry,XAF,8.602944048194768e-06,UGA,2018
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.274070307960258e-07,UGA,2018
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.8333580990608535e-06,UGA,2018
46,IDN,Seeds and plant propagation industry,XAF,0.0,UGA,2018
47,IDN,Raising of cattle industry,XAF,8.589685691582575e-06,UGA,2018
48,IDN,Growing wheat industry,XAS,0.0,UGA,2018
49,IDN,Growing maize industry,XAS,9.404190278700917e-06,UGA,2018
50,IDN,Growing cereals n.e.c industry,XAS,0.0,UGA,2018
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0003195107807439449,UGA,2018
52,IDN,Growing rice industry,XAS,6.15206184466851e-08,UGA,2018
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,UGA,2018
54,IDN,Growing sugar beet and cane industry,XAS,0.0,UGA,2018
55,IDN,Growing tobacco industry,XAS,3.6329874023592177e-07,UGA,2018
56,IDN,Growing fibre crops industry,XAS,4.650592525488234e-09,UGA,2018
57,IDN,Growing crops n.e.c. industry,XAS,0.0,UGA,2018
58,IDN,Growing grapes industry,XAS,0.0,UGA,2018
59,IDN,Growing fruits and nuts industry,XAS,3.286795262429477e-06,UGA,2018
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,8.387784052533629e-08,UGA,2018
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,9.714664015257073e-07,UGA,2018
62,IDN,Seeds and plant propagation industry,XAS,0.0,UGA,2018
63,IDN,Raising of cattle industry,XAS,2.6083424298115784e-06,UGA,2018
64,IDN,Growing wheat industry,AFG,0.0,UGA,2018
65,IDN,Growing maize industry,AFG,5.122934898038771e-06,UGA,2018
66,IDN,Growing cereals n.e.c industry,AFG,0.0,UGA,2018
67,IDN,Growing leguminous crops and oil seeds industry,AFG,9.660435009467975e-05,UGA,2018
68,IDN,Growing rice industry,AFG,2.1624855467617595e-08,UGA,2018
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,UGA,2018
