,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,JAM,2019
1,IDN,Growing maize industry,XAM,0.0007433415401789868,JAM,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,JAM,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0027084241213145054,JAM,2019
4,IDN,Growing rice industry,XAM,2.5494332087160048e-05,JAM,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,JAM,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,JAM,2019
7,IDN,Growing tobacco industry,XAM,0.00016744022203344928,JAM,2019
8,IDN,Growing fibre crops industry,XAM,1.981819640955287e-06,JAM,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,JAM,2019
10,IDN,Growing grapes industry,XAM,0.0,JAM,2019
11,IDN,Growing fruits and nuts industry,XAM,0.0005586820489539109,JAM,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.960291336234532e-05,JAM,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0003724576833327916,JAM,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,JAM,2019
15,IDN,Raising of cattle industry,XAM,0.0002165833396570286,JAM,2019
16,IDN,Growing wheat industry,XEU,0.0,JAM,2019
17,IDN,Growing maize industry,XEU,7.68738641246442e-05,JAM,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,JAM,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0003859134519985126,JAM,2019
20,IDN,Growing rice industry,XEU,1.9102579016013487e-06,JAM,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,JAM,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,JAM,2019
23,IDN,Growing tobacco industry,XEU,1.3712312561312009e-05,JAM,2019
24,IDN,Growing fibre crops industry,XEU,2.766067211781403e-07,JAM,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,JAM,2019
26,IDN,Growing grapes industry,XEU,0.0,JAM,2019
27,IDN,Growing fruits and nuts industry,XEU,5.706483272388249e-05,JAM,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,3.2667537538524612e-06,JAM,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.39960243294966e-05,JAM,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,JAM,2019
31,IDN,Raising of cattle industry,XEU,3.071893997392873e-05,JAM,2019
32,IDN,Growing wheat industry,XAF,0.0,JAM,2019
33,IDN,Growing maize industry,XAF,1.860314436242679e-06,JAM,2019
