,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,MAR,2019
1,IDN,Growing maize industry,XAM,7.23250872124719e-05,MAR,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,MAR,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0004231076833685314,MAR,2019
4,IDN,Growing rice industry,XAM,6.306445395007301e-07,MAR,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,MAR,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,MAR,2019
7,IDN,Growing tobacco industry,XAM,6.311935021820781e-06,MAR,2019
8,IDN,Growing fibre crops industry,XAM,1.4305960879214169e-05,MAR,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,MAR,2019
10,IDN,Growing grapes industry,XAM,0.0,MAR,2019
11,IDN,Growing fruits and nuts industry,XAM,5.5477481850626834e-05,MAR,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,8.267873954634349e-05,MAR,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,2.7481971279159047e-05,MAR,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,MAR,2019
15,IDN,Raising of cattle industry,XAM,0.000125972471082833,MAR,2019
16,IDN,Growing wheat industry,XEU,0.0,MAR,2019
17,IDN,Growing maize industry,XEU,3.0342536697335877e-05,MAR,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,MAR,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00016251175126215652,MAR,2019
20,IDN,Growing rice industry,XEU,2.254575047709544e-07,MAR,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,MAR,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,MAR,2019
23,IDN,Growing tobacco industry,XEU,2.6409965815705127e-06,MAR,2019
24,IDN,Growing fibre crops industry,XEU,9.885294568951755e-06,MAR,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,MAR,2019
26,IDN,Growing grapes industry,XEU,0.0,MAR,2019
27,IDN,Growing fruits and nuts industry,XEU,2.3415924676233974e-05,MAR,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,4.0818406366688076e-05,MAR,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,8.766148731811212e-06,MAR,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,MAR,2019
31,IDN,Raising of cattle industry,XEU,7.640238646117543e-05,MAR,2019
32,IDN,Growing wheat industry,XAF,0.0,MAR,2019
33,IDN,Growing maize industry,XAF,0.00011748927034972623,MAR,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,MAR,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0008686064771163564,MAR,2019
36,IDN,Growing rice industry,XAF,1.1911761920010446e-06,MAR,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,MAR,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,MAR,2019
39,IDN,Growing tobacco industry,XAF,7.5761510758728735e-06,MAR,2019
40,IDN,Growing fibre crops industry,XAF,7.037622415418571e-05,MAR,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,MAR,2019
42,IDN,Growing grapes industry,XAF,0.0,MAR,2019
43,IDN,Growing fruits and nuts industry,XAF,9.082031114026072e-05,MAR,2019
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,0.00013621306782852222,MAR,2019
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,6.306586466957752e-05,MAR,2019
46,IDN,Seeds and plant propagation industry,XAF,0.0,MAR,2019
47,IDN,Raising of cattle industry,XAF,0.0004703843631511242,MAR,2019
48,IDN,Growing wheat industry,XAS,0.0,MAR,2019
49,IDN,Growing maize industry,XAS,7.806281917616398e-05,MAR,2019
50,IDN,Growing cereals n.e.c industry,XAS,0.0,MAR,2019
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0006149537730709844,MAR,2019
52,IDN,Growing rice industry,XAS,8.577919762606527e-07,MAR,2019
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,MAR,2019
54,IDN,Growing sugar beet and cane industry,XAS,0.0,MAR,2019
55,IDN,Growing tobacco industry,XAS,5.878817988990271e-06,MAR,2019
56,IDN,Growing fibre crops industry,XAS,4.2528126711969154e-05,MAR,2019
57,IDN,Growing crops n.e.c. industry,XAS,0.0,MAR,2019
58,IDN,Growing grapes industry,XAS,0.0,MAR,2019
59,IDN,Growing fruits and nuts industry,XAS,5.9699458321536314e-05,MAR,2019
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,0.00010335209522821699,MAR,2019
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.20687363332069e-05,MAR,2019
62,IDN,Seeds and plant propagation industry,XAS,0.0,MAR,2019
63,IDN,Raising of cattle industry,XAS,0.00030575192380090886,MAR,2019
64,IDN,Growing wheat industry,AFG,0.0,MAR,2019
65,IDN,Growing maize industry,AFG,2.375094662029962e-05,MAR,2019
66,IDN,Growing cereals n.e.c industry,AFG,0.0,MAR,2019
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.00010745615987190625,MAR,2019
68,IDN,Growing rice industry,AFG,1.4725136726360833e-07,MAR,2019
