,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,NOR,2019
1,IDN,Growing maize industry,XAM,0.0006530554689251203,NOR,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,NOR,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.003809175959692031,NOR,2019
4,IDN,Growing rice industry,XAM,7.120731501766641e-06,NOR,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,NOR,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,NOR,2019
7,IDN,Growing tobacco industry,XAM,0.00014458229684349567,NOR,2019
8,IDN,Growing fibre crops industry,XAM,8.009810489147329e-06,NOR,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,NOR,2019
10,IDN,Growing grapes industry,XAM,0.0,NOR,2019
11,IDN,Growing fruits and nuts industry,XAM,0.0006261953268351759,NOR,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,5.7171728161703154e-05,NOR,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00015219500595883785,NOR,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,NOR,2019
15,IDN,Raising of cattle industry,XAM,0.0005656300997994496,NOR,2019
16,IDN,Growing wheat industry,XEU,0.0,NOR,2019
17,IDN,Growing maize industry,XEU,0.003771874662089172,NOR,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,NOR,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.03207627971251109,NOR,2019
20,IDN,Growing rice industry,XEU,4.034318032564466e-05,NOR,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,NOR,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,NOR,2019
23,IDN,Growing tobacco industry,XEU,0.00057487911188639,NOR,2019
24,IDN,Growing fibre crops industry,XEU,3.1143106141542695e-05,NOR,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,NOR,2019
26,IDN,Growing grapes industry,XEU,0.0,NOR,2019
27,IDN,Growing fruits and nuts industry,XEU,0.0033625909655591933,NOR,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,0.0002759016865450881,NOR,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,0.0004554304507601357,NOR,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,NOR,2019
31,IDN,Raising of cattle industry,XEU,0.0020269490070420637,NOR,2019
32,IDN,Growing wheat industry,XAF,0.0,NOR,2019
33,IDN,Growing maize industry,XAF,8.414020968026685e-05,NOR,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,NOR,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0005456059867214358,NOR,2019
36,IDN,Growing rice industry,XAF,8.597363258429279e-07,NOR,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,NOR,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,NOR,2019
39,IDN,Growing tobacco industry,XAF,1.5780804113305314e-05,NOR,2019
40,IDN,Growing fibre crops industry,XAF,1.0445586433087384e-06,NOR,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,NOR,2019
42,IDN,Growing grapes industry,XAF,0.0,NOR,2019
43,IDN,Growing fruits and nuts industry,XAF,8.113099261398503e-05,NOR,2019
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,9.83369545005779e-06,NOR,2019
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.4254476702168505e-05,NOR,2019
46,IDN,Seeds and plant propagation industry,XAF,0.0,NOR,2019
47,IDN,Raising of cattle industry,XAF,6.801080601969945e-05,NOR,2019
48,IDN,Growing wheat industry,XAS,0.0,NOR,2019
49,IDN,Growing maize industry,XAS,0.0001470321710875236,NOR,2019
50,IDN,Growing cereals n.e.c industry,XAS,0.0,NOR,2019
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0009709381372298044,NOR,2019
52,IDN,Growing rice industry,XAS,1.5005616992867644e-06,NOR,2019
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,NOR,2019
54,IDN,Growing sugar beet and cane industry,XAS,0.0,NOR,2019
55,IDN,Growing tobacco industry,XAS,2.7342428134961738e-05,NOR,2019
56,IDN,Growing fibre crops industry,XAS,1.7833722239361326e-06,NOR,2019
57,IDN,Growing crops n.e.c. industry,XAS,0.0,NOR,2019
58,IDN,Growing grapes industry,XAS,0.0,NOR,2019
59,IDN,Growing fruits and nuts industry,XAS,0.00012973168019010954,NOR,2019
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,1.9441881760488127e-05,NOR,2019
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,4.4476857433778695e-05,NOR,2019
